id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,fade
d_nikke_crust_05_1,d_nikke_crust_05,Monologue,Locale_NikkeEpisode:d_nikke_crust_05_1,False,CommanderRoom,black,black,1.0,none,,,,,,,,
d_nikke_crust_05_2,d_nikke_crust_05,Monologue,Locale_NikkeEpisode:d_nikke_crust_05_2,False,,black,black,1.0,,,,,,,,,
d_nikke_crust_05_3,d_nikke_crust_05,Monologue,Locale_NikkeEpisode:d_nikke_crust_05_3,False,,black,black,1.0,,,,,,,,,
d_nikke_crust_05_4,d_nikke_crust_05,Narration,Locale_NikkeEpisode:d_nikke_crust_05_4,False,,black,black,1.0,,,,,,,,,
d_nikke_crust_05_5,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_5,False,,1,1,1.0,bgm_story_backtonormal,,,,,,,,
d_nikke_crust_05_6,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_6,False,,1,1,1.0,,,,,,,,,
d_nikke_crust_05_7,d_nikke_crust_05,Narration,Locale_NikkeEpisode:d_nikke_crust_05_7,False,,1,1,1.0,,sfx_scn_knock,,,,,,,
d_nikke_crust_05_8,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_8,True,,1,1,1.0,,,anis,,,,,,
d_nikke_crust_05_9,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_9,False,,1,1,1.0,,,,,,,,,
d_nikke_crust_05_10,d_nikke_crust_05,Narration,Locale_NikkeEpisode:d_nikke_crust_05_10,False,,1,10,1.3,,sfx_scn_autodooropen,,anis,anis,1,idle,,
d_nikke_crust_05_11,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_11,True,,10,10,1.0,,,anis,anis,,1,idle,,
d_nikke_crust_05_12,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_12,True,,10,10,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_13,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_13,True,,10,10,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_14,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_14,True,,10,10,1.0,,,anis,anis,,1,worry,,
d_nikke_crust_05_15,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_15,True,,10,100,1.3,,,anis,anis,,1,delight,,
d_nikke_crust_05_16,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_16,False,,100,100,1.0,,,,anis,,1,delight,,
d_nikke_crust_05_17,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_17,True,,100,10,1.3,,,anis,anis,,1,worry,,
d_nikke_crust_05_18,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_18,False,,10,10,1.0,,,,anis,,1,worry,,
d_nikke_crust_05_19,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_19,False,,10,10,1.0,,,,anis,,1,worry,,
d_nikke_crust_05_20,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_20,True,,10,10,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_21,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_21,True,,10,10,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_22,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_22,False,,10,10,1.0,,,,anis,,1,void,,
d_nikke_crust_05_23,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_23,True,,10,1,1.0,,,anis,anis,,1,angry,,
d_nikke_crust_05_24,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_24,True,,1,1,1.0,,,anis,anis,,1,angry,,
d_nikke_crust_05_25,d_nikke_crust_05,Narration,Locale_NikkeEpisode:d_nikke_crust_05_25,False,,black,black,1.0,,sfx_scn_autodooropen,,anis,,1,angry,,
d_nikke_crust_05_26,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_26,True,,1,1,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_27,d_nikke_crust_05,Narration,Locale_NikkeEpisode:d_nikke_crust_05_27,False,,1,1,1.0,,sfx_scn_paperwiggle,,anis,,1,void,,
d_nikke_crust_05_28,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_28,True,,1,1,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_29,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_29,True,,1,1,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_30,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_30,True,,1,10,1.3,,,anis,anis,,1,void,,
d_nikke_crust_05_31,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_31,True,,10,10,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_32,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_32,True,,10,10,1.0,,,anis,anis,,1,void,,
d_nikke_crust_05_33,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_33,True,,10,10,1.0,,,anis,anis,,1,angry,,
d_nikke_crust_05_34,d_nikke_crust_05,Narration,Locale_NikkeEpisode:d_nikke_crust_05_34,False,Stage,black,black,1.0,bgm_story_sunnycarnival,,,crust,crust,1,delight,anis,black
d_nikke_crust_05_35,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_35,True,,1,XS_10,1.5,,,crust,crust,,1,delight,,
d_nikke_crust_05_36,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_36,True,,XS_10,XS_10,1.0,,,crust,crust,,1,idle,,
d_nikke_crust_05_37,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_37,False,,XS_10,XS_10,1.0,,sfx_scn_bigcrowdcheer,audience03,crust,,1,idle,,
d_nikke_crust_05_38,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_38,False,,XS_10,XS_10,1.0,,,,crust,,1,idle,,
d_nikke_crust_05_39,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_39,True,,XS_10,XS_10,1.0,,,crust,crust,,1,idle,,
d_nikke_crust_05_40,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_40,True,,XS_10,XS_10,1.0,,,crust,crust,,1,idle,,
d_nikke_crust_05_41,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_41,False,,XS_10,XS_10,1.0,,,audience03,crust,,1,idle,,
d_nikke_crust_05_42,d_nikke_crust_05,Self,Locale_NikkeEpisode:d_nikke_crust_05_42,False,,XS_10,XS_10,1.0,,,,crust,,1,idle,,
d_nikke_crust_05_43,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_43,True,,XS_10,XS_10,1.0,,,crust,crust,,1,idle,,
d_nikke_crust_05_44,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_44,True,,XS_10,XS_100,1.3,,,crust,crust,,1,idle,,
d_nikke_crust_05_45,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_45,True,,XS_100,XS_100,1.0,,,crust,crust,,1,delight,,
d_nikke_crust_05_46,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_46,True,,XS_100,XS_10,1.3,,,crust,crust,,1,shy,,
d_nikke_crust_05_47,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_47,True,,XS_10,XS_10,1.0,,,crust,crust,,1,idle,,
d_nikke_crust_05_48,d_nikke_crust_05,Speech,Locale_NikkeEpisode:d_nikke_crust_05_48,True,,XS_10,XS_10,1.0,,,crust,crust,,1,idle,,
