id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_aria_05_1,d_nikke_aria_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_aria_05_1,False,Stage,black,black,1.0,none,,,,,anis,13,void,,,,,,,,,
d_nikke_aria_05_2,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_2,True,,130,130,1.0,,anis,,,,,13,void,,neon,15,idle,,rapi,17,idle,
d_nikke_aria_05_3,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_3,True,,130,130,1.0,,anis,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_4,d_nikke_aria_05,Choice,,Locale_NikkeEpisode:d_nikke_aria_05_4,False,,130,130,1.0,,,d_nikke_aria_05_6,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_5,d_nikke_aria_05,Choice,,Locale_NikkeEpisode:d_nikke_aria_05_5,False,,130,130,1.0,,,d_nikke_aria_05_6,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_6,d_nikke_aria_05,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_05_6,True,,130,1315,1.0,,neon,,,,,13,worry,,,15,idle,,,17,idle,
d_nikke_aria_05_7,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_7,True,,1315,1315,1.0,,anis,,,,,13,worry,,,15,idle,,,17,idle,
d_nikke_aria_05_8,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_8,True,,1315,1315,1.0,,anis,,,,,13,worry,,,15,idle,,,17,idle,
d_nikke_aria_05_9,d_nikke_aria_05,Speech,rapi,Locale_NikkeEpisode:d_nikke_aria_05_9,True,,1315,17,1.0,,rapi,,,,,13,worry,,,15,idle,,,17,idle,
d_nikke_aria_05_10,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_10,True,,17,1315,1.0,,anis,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_11,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_11,True,,1315,1315,1.0,,anis,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_12,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_12,True,,1315,1315,1.0,,anis,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_13,d_nikke_aria_05,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_05_13,True,,1315,1315,1.0,,neon,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_14,d_nikke_aria_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_aria_05_14,False,,black,black,1.0,,,,sfx_scn_biglightout,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_15,d_nikke_aria_05,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_05_15,False,,black,black,1.0,,neon,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_16,d_nikke_aria_05,Speech,neon,Locale_NikkeEpisode:d_nikke_aria_05_16,True,,black,black,1.0,,neon,,,,,13,void,,,15,idle,,,17,idle,
d_nikke_aria_05_17,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_17,True,,black,black,1.0,,anis,,,,,13,sad,,,15,idle,,,17,idle,
d_nikke_aria_05_18,d_nikke_aria_05,Speech,anis,Locale_NikkeEpisode:d_nikke_aria_05_18,True,,black,black,1.0,,anis,,,,,13,worry,,,15,idle,,,17,idle,
d_nikke_aria_05_19,d_nikke_aria_05,Self,Self,Locale_NikkeEpisode:d_nikke_aria_05_19,False,,black,black,1.0,,,,,,aria,13,worry,,,15,idle,,,17,idle,
d_nikke_aria_05_20,d_nikke_aria_05,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_05_20,False,,black,black,1.0,,aria,,,,,7,think,anis,,15,idle,neon,,17,idle,rapi
d_nikke_aria_05_21,d_nikke_aria_05,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_05_21,False,,7,7,1.0,bgm_story_weare,aria,,,,,7,"expression_0,idle",,,,,,,,,
d_nikke_aria_05_22,d_nikke_aria_05,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_05_22,True,,7,7,1.0,,aria,,,,,7,idle,,,,,,,,,
d_nikke_aria_05_23,d_nikke_aria_05,Speech,audiencewoman,Locale_NikkeEpisode:d_nikke_aria_05_23,False,,7,70,1.0,,audiencewoman,,,,,7,idle,,,,,,,,,
d_nikke_aria_05_24,d_nikke_aria_05,Speech,audienceman,Locale_NikkeEpisode:d_nikke_aria_05_24,False,,70,70,1.0,,audienceman,,,,,7,idle,,,,,,,,,
d_nikke_aria_05_25,d_nikke_aria_05,Speech,audienceman,Locale_NikkeEpisode:d_nikke_aria_05_25,False,,70,70,1.0,,audienceman,,,,,7,idle,,,,,,,,,
d_nikke_aria_05_26,d_nikke_aria_05,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_05_26,True,,70,70,1.0,,aria,,,,,7,think,,,,,,,,,
d_nikke_aria_05_27,d_nikke_aria_05,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_05_27,True,,70,70,1.0,,aria,,,,,7,think,,,,,,,,,
d_nikke_aria_05_28,d_nikke_aria_05,Speech,audienceman,Locale_NikkeEpisode:d_nikke_aria_05_28,False,,70,700,1.0,,audienceman,,,,,7,think,,,,,,,,,
d_nikke_aria_05_29,d_nikke_aria_05,Speech,audiencewoman,Locale_NikkeEpisode:d_nikke_aria_05_29,False,,700,700,1.0,,audiencewoman,,,,,7,think,,,,,,,,,
d_nikke_aria_05_30,d_nikke_aria_05,Speech,audienceman,Locale_NikkeEpisode:d_nikke_aria_05_30,False,,700,700,1.0,,audienceman,,,,,7,think,,,,,,,,,
