id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_mica_03_1,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_1,True,Police,17,1,2.0,bgm_story_orangepop,,mica,1,worry,,,,,,,,,
d_nikke_mica_03_2,d_nikke_mica_03,Self,,,Locale_NikkeEpisode:d_nikke_mica_03_2,False,,1,1,1.0,,,,1,worry,,,,,,,,,
d_nikke_mica_03_3,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_3,True,,1,1,1.0,,,,1,worry,,,,,,,,,
d_nikke_mica_03_4,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_4,True,,1,XS_10,0.5,,,,1,idle,,,,,,,,,
d_nikke_mica_03_5,d_nikke_mica_03,Self,,,Locale_NikkeEpisode:d_nikke_mica_03_5,False,,XS_10,XS_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_mica_03_6,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_6,True,,XS_10,XS_10,1.0,,,,1,idle,,,,,,,,,
d_nikke_mica_03_7,d_nikke_mica_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_mica_03_7,True,,XS_10,1315,1.0,,,,1,idle,,poli,13,delight,,miranda,15,idle,
d_nikke_mica_03_8,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_8,True,,1315,1315,1.0,,,,1,idle,,,13,delight,,,15,idle,
d_nikke_mica_03_9,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_9,True,,1315,113,1.0,,,,1,idle,,,13,idle,,,15,idle,
d_nikke_mica_03_10,d_nikke_mica_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_mica_03_10,True,,113,113,1.0,,,,1,worry,,,13,idle,,,15,idle,
d_nikke_mica_03_11,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_11,False,,113,113,1.0,,,,1,worry,,,13,idle,,,15,idle,
d_nikke_mica_03_12,d_nikke_mica_03,Monologue,,,Locale_NikkeEpisode:d_nikke_mica_03_12,False,,113,113,1.0,,,,1,worry,mica,,13,idle,,,15,idle,
d_nikke_mica_03_13,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_13,True,,113,1315,0.8,,,,1,worry,,,13,idle,,,15,idle,
d_nikke_mica_03_14,d_nikke_mica_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_mica_03_14,True,,1315,1315,1.0,,,,1,worry,,,13,surprise,,,15,shy,
d_nikke_mica_03_15,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_15,True,,1315,S_150,0.5,,,,1,worry,,,13,idle,,,15,idle,
d_nikke_mica_03_16,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_16,True,,S_150,S_150,1.0,,,mica,1,worry,,,13,idle,,,15,idle,
d_nikke_mica_03_17,d_nikke_mica_03,Monologue,,,Locale_NikkeEpisode:d_nikke_mica_03_17,False,,S_150,XS_10,1.0,,,,1,idle,,,13,idle,,,15,idle,
d_nikke_mica_03_18,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_18,True,,XS_10,XS_100,1.0,,,,1,idle,,,13,idle,,,15,idle,
d_nikke_mica_03_19,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_19,True,,S_1500,S_1500,1.0,,,,1,idle,,,13,idle,,,15,idle,
d_nikke_mica_03_20,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_20,True,,S_1500,S_1500,1.0,,,,1,idle,,,13,idle,,,15,idle,
d_nikke_mica_03_21,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_21,True,,XS_100,XS_100,1.0,,,,1,idle,,,13,idle,,,15,idle,
d_nikke_mica_03_22,d_nikke_mica_03,Speech,mica,mica,Locale_NikkeEpisode:d_nikke_mica_03_22,True,,XS_100,XS_100,1.0,,,,1,worry,,,13,idle,,,15,idle,
d_nikke_mica_03_23,d_nikke_mica_03,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_mica_03_23,False,,S_1500,S_1500,1.0,,,,1,worry,,,13,idle,,,15,shy,
d_nikke_mica_03_24,d_nikke_mica_03,Self,,,Locale_NikkeEpisode:d_nikke_mica_03_24,False,,S_1500,S_1500,1.0,,,,1,worry,,,13,idle,,,15,shy,
d_nikke_mica_03_25,d_nikke_mica_03,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_mica_03_25,True,,S_1500,1315,1.0,,,,1,worry,,,13,angry,,,15,shy,
