id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,speaker,jump_target
treasurestory_drake_02_1,treasurestory_drake_02,Monologue,Locale_NikkeEpisode:treasurestory_drake_02_1,False,CommanderRoom,1,1,1.0,bgm_story_orangepop,,,,,,,
treasurestory_drake_02_2,treasurestory_drake_02,Monologue,Locale_NikkeEpisode:treasurestory_drake_02_2,False,,1,1,1.0,,,,,,,,
treasurestory_drake_02_3,treasurestory_drake_02,Monologue,Locale_NikkeEpisode:treasurestory_drake_02_3,False,,1,1,1.0,,,,,,,,
treasurestory_drake_02_4,treasurestory_drake_02,Narration,Locale_NikkeEpisode:treasurestory_drake_02_4,False,,1,1,1.0,none,drake,drake,1,idle,sfx_scn_autodooropen,,
treasurestory_drake_02_5,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_5,True,,1,10,0.75,bgm_story_herecomestrouble,drake,,1,delight,,drake,
treasurestory_drake_02_6,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_6,True,,10,10,1.0,,drake,,1,delight,,drake,
treasurestory_drake_02_7,treasurestory_drake_02,Self,Locale_NikkeEpisode:treasurestory_drake_02_7,False,,10,10,1.0,,drake,,1,delight,,,
treasurestory_drake_02_8,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_8,True,,10,10,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_9,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_9,True,,10,10,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_10,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_10,True,,10,10,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_11,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_11,True,,10,10,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_12,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_12,True,,10,10,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_13,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_13,True,,10,10,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_14,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_14,True,,10,100,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_15,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_15,True,,100,100,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_16,treasurestory_drake_02,Self,Locale_NikkeEpisode:treasurestory_drake_02_16,False,,100,100,1.0,,drake,,1,idle,,,
treasurestory_drake_02_17,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_17,True,,100,100,1.0,,drake,,1,angry,,drake,
treasurestory_drake_02_18,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_18,True,,100,100,1.0,,drake,,1,angry,,drake,
treasurestory_drake_02_19,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_19,True,,100,100,1.0,,drake,,1,delight,,drake,
treasurestory_drake_02_20,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_20,True,,100,100,1.0,,drake,,1,delight,,drake,
treasurestory_drake_02_21,treasurestory_drake_02,Self,Locale_NikkeEpisode:treasurestory_drake_02_21,False,,100,100,1.0,,drake,,1,delight,,,
treasurestory_drake_02_22,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_22,True,,100,10,1.0,,drake,,1,no,,drake,
treasurestory_drake_02_23,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_23,True,,10,10,1.0,,drake,,1,no,,drake,
treasurestory_drake_02_24,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_24,True,,10,10,1.0,,drake,,1,no,,drake,
treasurestory_drake_02_25,treasurestory_drake_02,Self,Locale_NikkeEpisode:treasurestory_drake_02_25,False,,10,10,1.0,,drake,,1,no,,,
treasurestory_drake_02_26,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_26,True,,10,100,0.75,,drake,,1,delight,,drake,
treasurestory_drake_02_27,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_27,True,,100,100,1.0,,drake,,1,delight,,drake,
treasurestory_drake_02_28,treasurestory_drake_02,Self,Locale_NikkeEpisode:treasurestory_drake_02_28,False,,100,100,1.0,,drake,,1,delight,,,
treasurestory_drake_02_29,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_29,True,,100,100,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_30,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_30,True,,100,100,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_31,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_31,True,,100,100,1.0,,drake,,1,idle,,drake,
treasurestory_drake_02_32,treasurestory_drake_02,Self,Locale_NikkeEpisode:treasurestory_drake_02_32,False,,100,100,1.0,,drake,,1,idle,,,
treasurestory_drake_02_33,treasurestory_drake_02,Monologue,Locale_NikkeEpisode:treasurestory_drake_02_33,False,,100,100,1.0,,drake,,1,idle,,,
treasurestory_drake_02_34,treasurestory_drake_02,Speech,Locale_NikkeEpisode:treasurestory_drake_02_34,True,,100,100,1.0,,drake,,1,delight,,drake,
