id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,set_filter_02,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
treasurestory_helm_01_1,treasurestory_helm_01,Narration,Locale_NikkeEpisode:treasurestory_helm_01_1,False,CommanderRoom,black,black,1.0,sfx_scn_rustle,none,,,,,,,,,
treasurestory_helm_01_2,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_2,False,,black,black,1.0,,,Vignetting,Blur_Middle,,,,,,,
treasurestory_helm_01_3,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_3,True,,1,1,1.0,,,Vignetting,Blur_Middle,unknown,unknown,,,,,
treasurestory_helm_01_4,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_4,False,,1,1,1.0,,,Vignetting,Blur_Middle,,,,,,,
treasurestory_helm_01_5,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_5,True,,1,1,1.0,,,Vignetting,Blur_Middle,unknown,unknown,,,,,
treasurestory_helm_01_6,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_6,False,,1,1,1.0,,,Vignetting,Blur_Middle,,,,,,,
treasurestory_helm_01_7,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_7,False,,1,1,1.0,,,Vignetting,Blur_Middle,,,,,,,
treasurestory_helm_01_8,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_8,True,,1,1,1.0,,,Vignetting,Blur_Middle,unknown,unknown,,,,,
treasurestory_helm_01_9,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_9,False,,1,1,1.0,sfx_scn_shower,,Vignetting,Blur_Middle,,,,,,,
treasurestory_helm_01_10,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_10,False,,1,1,1.0,,,Vignetting,Blur_Middle,,,,,,,
treasurestory_helm_01_11,treasurestory_helm_01,Narration,Locale_NikkeEpisode:treasurestory_helm_01_11,False,,black,black,1.0,,,,,,,black,,,,
treasurestory_helm_01_12,treasurestory_helm_01,Narration,Locale_NikkeEpisode:treasurestory_helm_01_12,False,,black,black,1.0,,,,,,,,,,,
treasurestory_helm_01_13,treasurestory_helm_01,Narration,Locale_NikkeEpisode:treasurestory_helm_01_13,False,,black,black,1.0,,,,,,,,,,,
treasurestory_helm_01_14,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_14,True,,black,black,1.0,,,,,unknown,unknown,,,,,
treasurestory_helm_01_15,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_15,False,,black,black,1.0,,,,,,,,,,,
treasurestory_helm_01_16,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_16,True,,black,black,1.0,,,,,unknown,unknown,,,,,
treasurestory_helm_01_17,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_17,False,,black,black,1.0,,,,,,,,,,,
treasurestory_helm_01_18,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_18,True,,10,10,1.0,,bgm_story_cottoncandy,,,helm,helm,,helm,1,delight,
treasurestory_helm_01_19,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_19,True,,10,10,1.0,,,,,helm,helm,,,1,delight,
treasurestory_helm_01_20,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_20,False,,10,10,1.0,,,,,helm,,,,1,delight,
treasurestory_helm_01_21,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_21,True,,10,10,1.0,,,,,helm,helm,,,1,delight,
treasurestory_helm_01_22,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_22,False,,10,10,1.0,,,,,helm,,,,1,delight,
treasurestory_helm_01_23,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_23,False,,10,20,1.3,,,,,helm,,,,1,delight,
treasurestory_helm_01_24,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_24,False,,20,20,1.0,,,,,helm,,,,1,delight,
treasurestory_helm_01_25,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_25,False,,20,10,1.3,,,,,helm,helm,,,1,idle,
treasurestory_helm_01_26,treasurestory_helm_01,Monologue,Locale_NikkeEpisode:treasurestory_helm_01_26,False,,10,10,1.0,,,,,helm,,,,1,idle,
treasurestory_helm_01_27,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_27,True,,10,10,1.0,,,,,helm,helm,,,1,idle,
treasurestory_helm_01_28,treasurestory_helm_01,Choice,Locale_NikkeEpisode:treasurestory_helm_01_28,False,,10,10,1.0,,,,,helm,,,,1,idle,treasurestory_helm_01_31
treasurestory_helm_01_29,treasurestory_helm_01,Choice,Locale_NikkeEpisode:treasurestory_helm_01_29,False,,10,10,1.0,,,,,helm,,,,1,idle,treasurestory_helm_01_35
treasurestory_helm_01_30,treasurestory_helm_01,Choice,Locale_NikkeEpisode:treasurestory_helm_01_30,False,,10,10,1.0,,,,,helm,,,,1,idle,treasurestory_helm_01_38
treasurestory_helm_01_31,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_31,True,,10,10,1.0,,,,,helm,helm,,,1,idle,
treasurestory_helm_01_32,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_32,False,,10,10,1.0,,,,,helm,,,,1,idle,
treasurestory_helm_01_33,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_33,True,,10,10,1.0,,,,,helm,helm,,,1,angry,
treasurestory_helm_01_34,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_34,True,,10,10,1.0,,,,,helm,helm,,,1,angry,treasurestory_helm_01_43
treasurestory_helm_01_35,treasurestory_helm_01,Speech,Locale_NikkeEpisode:treasurestory_helm_01_35,True,,10,10,1.0,,,,,helm,helm,,,1,idle,
treasurestory_helm_01_36,treasurestory_helm_01,Self,Locale_NikkeEpisode:treasurestory_helm_01_36,False,,10,10,1.0,,,,,helm,,,,1,idle,
