id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,play_sound,set_camera_shake
d_nikke_brid_05_1,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_1,False,MachineRoom,black,black,1.0,bgm_story_weare,,,,,,,,,
d_nikke_brid_05_2,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_2,True,,black,black,1.0,,brid,unknown,,,,,,,
d_nikke_brid_05_3,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_3,False,,black,black,1.0,,brid,,,,,,,,
d_nikke_brid_05_4,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_4,True,,black,black,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_5,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_5,True,,black,black,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_6,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_6,True,,black,black,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_7,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_7,False,,black,black,1.0,,brid,,,,,,,,
d_nikke_brid_05_8,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_8,True,,black,black,1.0,,brid,brid,,,,,,,
d_nikke_brid_05_9,d_nikke_brid_05,Monologue,Locale_NikkeEpisode:d_nikke_brid_05_9,False,,1,1,1.0,,brid,,brid,1,idle,Blur_High,,,
d_nikke_brid_05_10,d_nikke_brid_05,Self,Locale_NikkeEpisode:d_nikke_brid_05_10,False,,1,1,1.0,,brid,,,1,idle,Blur_High,,,
d_nikke_brid_05_11,d_nikke_brid_05,Speech,Locale_NikkeEpisode:d_nikke_brid_05_11,True,,1,L_10,2.0,,brid,brid,,1,idle,Blur_High,,,
