id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/2/hide_char_id
d_nikke_rei_01_1,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_1,True,ether,16,idle,rei,1,no,Stage,16,16,1.0,bgm_story_tuffguys,,,,,,,,
d_nikke_rei_01_2,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_2,True,,16,idle,,1,no,,16,XS_160,1.0,,,,,,,,,
d_nikke_rei_01_3,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_3,True,,16,idle,,1,no,,XS_160,XS_160,1.0,,,,,,,,,
d_nikke_rei_01_4,d_nikke_rei_01,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_01_4,True,,16,idle,,1,no,,1,1,1.0,,,,,,,,,
d_nikke_rei_01_5,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_5,True,,16,idle,,1,no,,XS_160,XS_160,1.0,,,,,,,,,
d_nikke_rei_01_6,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_6,True,,16,sad,,1,no,,XS_160,XS_160,1.0,,,,,,,,,
d_nikke_rei_01_7,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_7,True,,16,idle,,1,no,,XS_160,XS_160,1.0,,,,,,,,,
d_nikke_rei_01_8,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_8,True,,16,idle,,1,no,,XS_160,XS_160,1.0,,,,,,,,,
d_nikke_rei_01_9,d_nikke_rei_01,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_01_9,True,,16,idle,,1,no,,1,XS_10,1.0,,,,,,,,,
d_nikke_rei_01_10,d_nikke_rei_01,Speech,ether,ether,Locale_NikkeEpisode:d_nikke_rei_01_10,True,,16,idle,,1,no,,XS_160,XS_160,1.0,,,,,,,,,
