id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,set_object,set_object_position,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
treasurestory_milk_06_1,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_1,False,Cafe,black,black,1.0,none,,,,,,milk,1,idle,
treasurestory_milk_06_2,treasurestory_milk_06,Narration,milk,Locale_NikkeEpisode:treasurestory_milk_06_2,False,,1,S_10,1.0,,sfx_scn_sit,,,,,,1,idle,
treasurestory_milk_06_3,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_3,True,,S_10,S_10,1.0,,,milk,,,,,1,no,
treasurestory_milk_06_4,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_4,False,,S_10,S_10,1.0,,,,,,,,1,no,
treasurestory_milk_06_5,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_5,False,,black,black,1.0,bgm_story_flipflop,,,,,,,1,good,
treasurestory_milk_06_6,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_6,False,,black,black,1.0,,,,,,,,1,good,
treasurestory_milk_06_7,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_7,True,,S_10,S_10,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_8,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_8,True,,S_10,S_100,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_9,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_9,False,,S_100,S_100,1.0,,,,,,,,1,good,
treasurestory_milk_06_10,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_10,False,,S_100,S_100,1.0,,,,,,,,1,good,
treasurestory_milk_06_11,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_11,False,,S_100,S_100,1.0,,,,,,,,1,good,
treasurestory_milk_06_12,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_12,True,,S_100,S_100,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_13,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_13,True,,S_100,S_100,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_14,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_14,False,,S_100,S_100,1.0,,,,,,,,1,good,
treasurestory_milk_06_15,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_15,True,,S_100,S_100,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_16,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_16,True,,S_100,S_100,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_17,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_17,False,,S_100,S_10,1.0,,,,,,,,1,good,
treasurestory_milk_06_18,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_18,True,,S_10,S_10,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_19,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_19,False,,S_10,S_10,1.0,,,,,,,,1,good,
treasurestory_milk_06_20,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_20,True,,S_10,1,1.0,,,milk,,,,,1,good,
treasurestory_milk_06_21,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_21,False,,black,black,1.0,,,,,,,,1,good,
treasurestory_milk_06_22,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_22,False,,black,black,1.0,,sfx_scn_dishdebris,,,,,,1,good,
treasurestory_milk_06_23,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_23,False,,S_10,S_10,1.0,,,,,,,,1,good,
treasurestory_milk_06_24,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_24,False,,S_10,S_10,1.0,,,,,,,,1,good,
treasurestory_milk_06_25,treasurestory_milk_06,Monologue,milk,Locale_NikkeEpisode:treasurestory_milk_06_25,False,,S_10,S_10,1.0,,,,,,,,1,good,
treasurestory_milk_06_26,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_26,False,,S_10,S_10,1.0,,,,,,,,1,good,
treasurestory_milk_06_27,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_27,True,,S_10,S_10,1.0,,,milk,,,,,1,idle,
treasurestory_milk_06_28,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_28,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_milk_06_29,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_29,True,,S_10,S_100,1.0,,,milk,,,,,1,surprise,
treasurestory_milk_06_30,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_30,True,,S_100,S_10,1.5,,,milk,,,,,1,surprise,
treasurestory_milk_06_31,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_31,False,,S_10,S_10,1.0,,,,,,,,1,surprise,
treasurestory_milk_06_32,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_32,True,,S_10,S_10,1.0,,,milk,,,,,1,shy,
treasurestory_milk_06_33,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_33,False,,S_10,S_10,1.0,,,,,,,,1,shy,
treasurestory_milk_06_34,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_34,False,,S_10,S_10,1.0,,,,,,,,1,shy,
treasurestory_milk_06_35,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_35,True,,S_10,S_10,1.0,,,milk,,,,,1,shy,
treasurestory_milk_06_36,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_36,False,,S_10,S_10,1.0,,,,,,,,1,shy,
treasurestory_milk_06_37,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_37,True,,black,black,1.0,,,milk,favoriteitem/FavoriteItemScene_c141_00,1,,,1,idle,milk
treasurestory_milk_06_38,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_38,True,,treasurestory_milk_03,treasurestory_milk_01,1.5,,,milk,,,,,,,
treasurestory_milk_06_39,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_39,True,,treasurestory_milk_01,treasurestory_milk_01,1.0,,,milk,,,,,,,
treasurestory_milk_06_40,treasurestory_milk_06,Self,milk,Locale_NikkeEpisode:treasurestory_milk_06_40,False,,treasurestory_milk_01,treasurestory_milk_01,1.0,,,,,,,,,,
treasurestory_milk_06_41,treasurestory_milk_06,Speech,milk,Locale_NikkeEpisode:treasurestory_milk_06_41,True,,treasurestory_milk_01,treasurestory_milk_01,1.0,,,milk,,,,,,,
