id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/1/hide_char_id,fade
d_nikke_Mary_BayGoddess_02_1,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_1,True,mary_s,1,surprise,LogHouseIn_d,black,black,1.0,bgm_story_fairytalesend_if,,,,,,
d_nikke_Mary_BayGoddess_02_2,d_nikke_Mary_BayGoddess_02,Self,mary_s,,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_2,False,,1,surprise,,black,black,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_3,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_3,True,,1,surprise,,black,black,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_4,d_nikke_Mary_BayGoddess_02,Self,mary_s,,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_4,False,,1,surprise,,black,black,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_5,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_5,True,,1,surprise,,1,10,2.0,,,,,,,
d_nikke_Mary_BayGoddess_02_6,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_6,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_7,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_7,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_8,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_8,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_9,d_nikke_Mary_BayGoddess_02,Monologue,mary_s,,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_9,False,,1,surprise,,10,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_10,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_10,True,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_11,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_11,True,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_12,d_nikke_Mary_BayGoddess_02,Self,mary_s,,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_12,False,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_13,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_13,True,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_14,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_14,True,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_15,d_nikke_Mary_BayGoddess_02,Self,mary_s,,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_15,False,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_16,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_16,True,,1,surprise,,100,100,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_17,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_17,True,,1,surprise,,100,10,2.0,,,,,,,
d_nikke_Mary_BayGoddess_02_18,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_18,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_19,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_19,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_20,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_20,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_21,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_21,True,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_Mary_BayGoddess_02_22,d_nikke_Mary_BayGoddess_02,Speech,mary_s,mary_s,Locale_NikkeEpisode:d_nikke_Mary_BayGoddess_02_22,True,,1,surprise,,10,10,1.0,,,,,,,
