id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id,set_filter_01,set_filter_02
d_nikke_trina_04_1,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_1,False,Arboretum,L_10,L_10,1.0,none,,,,,,,,,,
d_nikke_trina_04_2,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_2,True,,L_10,L_10,1.0,,trina,,,,,,,,,
d_nikke_trina_04_3,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_3,False,,L_10,1,1.0,,,sfx_scn_poke2,,,,,,,,
d_nikke_trina_04_4,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_4,False,,1,1,1.0,,,,,,,,,,,
d_nikke_trina_04_5,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_5,False,,1,1,1.0,bgm_story_herecomestrouble,,,,,,,,,,
d_nikke_trina_04_6,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_6,False,,1,1,1.0,,,,,,,,,,,
d_nikke_trina_04_7,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_7,True,,1,1,1.0,,trina,,,,,,,,,
d_nikke_trina_04_8,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_8,False,,1,1,1.0,,,,,,,,,,,
d_nikke_trina_04_9,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_9,True,,1,1,1.0,,trina,,,,,,,,,
d_nikke_trina_04_10,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_10,True,,1,1,1.0,,trina,,,,,,,,,
d_nikke_trina_04_11,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_11,False,,1,1,1.0,,,sfx_scn_poke2,,,,,,,,
d_nikke_trina_04_12,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_12,False,,1,1,1.0,,,,,,,,,,,
d_nikke_trina_04_13,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_13,True,,1,1,1.0,,trina,,,,,,,,,
d_nikke_trina_04_14,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_14,True,,1,1,1.0,,trina,,,,,,,,,
d_nikke_trina_04_15,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_15,False,,1,1,1.0,,,,,,,,,,,
d_nikke_trina_04_16,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_16,True,,L_10,L_10,1.0,none,trina,,trina,trina,1,think2,black,,,
d_nikke_trina_04_17,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_17,True,,L_10,L_10,1.0,,trina,,trina,,1,think2,,,,
d_nikke_trina_04_18,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_18,True,,L_10,L_10,1.0,,trina,,trina,,1,think2,,,,
d_nikke_trina_04_19,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_19,False,,L_10,L_10,1.0,,,,trina,,1,think2,,,,
d_nikke_trina_04_20,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_20,True,,L_10,L_100,1.3,bgm_story_leisuretime,trina,,trina,,1,idle,,,,
d_nikke_trina_04_21,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_21,True,,L_100,L_100,1.0,,trina,,trina,,1,idle,,,,
d_nikke_trina_04_22,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_22,False,,L_100,L_100,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_23,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_23,False,,L_100,L_100,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_24,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_24,False,,L_100,L_100,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_25,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_25,False,,L_100,L_100,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_26,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_26,False,,L_100,L_100,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_27,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_27,True,,L_100,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_28,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_28,True,,L_10,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_29,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_29,False,,L_10,L_10,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_30,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_30,True,,L_10,L_10,1.0,,trina,,trina,,1,think2,,,,
d_nikke_trina_04_31,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_31,False,,L_10,L_10,1.0,,,,trina,,1,think2,,,,
d_nikke_trina_04_32,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_32,True,,L_10,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_33,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_33,True,,L_10,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_34,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_34,False,,L_10,L_10,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_35,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_35,True,,L_10,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_36,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_36,True,,L_10,L_10,1.3,,trina,,trina,,1,idle,,,,
d_nikke_trina_04_37,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_37,True,,L_10,L_10,1.0,,trina,,trina,,1,idle,,,,
d_nikke_trina_04_38,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_38,False,,L_10,L_10,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_39,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_39,True,,1,1,1.0,,trina,,trina,,1,idle,black,,,
d_nikke_trina_04_40,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_40,False,,1,1,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_41,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_41,True,,1,1,1.0,,trina,,trina,,1,delight,,,,
d_nikke_trina_04_42,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_42,True,,1,1,1.0,,trina,,trina,,1,idle,,,,
d_nikke_trina_04_43,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_43,False,,1,L_10,1.3,,,sfx_scn_clothweak,trina,,1,idle,,,,
d_nikke_trina_04_44,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_44,False,,L_10,L_10,1.0,,,,trina,,1,idle,,,,
d_nikke_trina_04_45,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_45,True,,L_10,1,1.0,,trina,,trina,,1,think2,,,,
d_nikke_trina_04_46,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_46,True,,1,1,1.0,,trina,,trina,,1,think2,,,,
d_nikke_trina_04_47,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_47,False,,1,1,1.0,,,,trina,,1,think2,,,,
d_nikke_trina_04_48,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_48,True,,1,1,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_49,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_49,True,,1,1,1.0,,trina,,trina,,1,idle,,,,
d_nikke_trina_04_50,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_50,False,,black,black,1.0,,,sfx_scn_scissors,trina,,1,idle,,,,
d_nikke_trina_04_51,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_51,True,,1,1,1.0,,trina,,trina,,1,idle,,,,
d_nikke_trina_04_52,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_52,False,,black,black,1.0,,,sfx_scn_scissors,trina,,1,idle,,,,
d_nikke_trina_04_53,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_53,True,,L_10,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_54,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_54,False,,L_10,L_10,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_55,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_55,False,,black,black,1.0,,,sfx_scn_scissors,trina,,1,think1,,,,
d_nikke_trina_04_56,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_56,True,,L_10,L_10,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_57,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_57,False,,L_10,L_10,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_58,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_58,False,,L_10,L_10,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_59,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_59,False,,L_10,L_100,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_60,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_60,False,,L_100,L_100,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_61,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_61,False,,L_100,L_100,1.0,,,,trina,,1,think1,,,,
d_nikke_trina_04_62,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_62,True,,L_100,L_100,1.0,,trina,,trina,,1,angry,,,,
d_nikke_trina_04_63,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_63,False,,L_100,L_100,1.0,,,,trina,,1,angry,,,,
d_nikke_trina_04_64,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_64,True,,L_100,L_100,1.0,,trina,,trina,,1,angry,,,,
d_nikke_trina_04_65,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_65,True,,L_100,L_100,1.0,,trina,,trina,,1,angry,,,,
d_nikke_trina_04_66,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_66,False,,L_100,L_100,1.0,,,,trina,,1,angry,,,,
d_nikke_trina_04_67,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_67,False,,L_100,L_100,1.0,none,,,trina,,1,angry,,,,
d_nikke_trina_04_68,d_nikke_trina_04,Narration,Locale_NikkeEpisode:d_nikke_trina_04_68,False,,black,black,1.0,,,sfx_scn_woodbreak,trina,,1,angry,,,,
d_nikke_trina_04_69,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_69,False,,black,black,1.0,,,,trina,,1,angry,,,,
d_nikke_trina_04_70,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_70,False,,black,black,1.0,,,,trina,,1,angry,,,,
d_nikke_trina_04_71,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_71,False,,L_10,1,1.3,,,,trina,,1,think1,,,,
d_nikke_trina_04_72,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_72,True,,1,1,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_73,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_73,True,,1,1,1.0,,trina,,trina,,1,think1,,,,
d_nikke_trina_04_74,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_74,True,,1,1,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_75,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_75,False,,1,1,1.0,bgm_story_sceneofmemory,,,trina,,1,sad,,,,
d_nikke_trina_04_76,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_76,True,,1,1,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_77,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_77,True,,1,L_10,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_78,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_78,True,,L_10,L_10,1.0,,trina,,trina,,1,sad,,,,
d_nikke_trina_04_79,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_79,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_80,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_80,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_81,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_81,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_82,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_82,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_83,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_83,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_84,d_nikke_trina_04,Monologue,Locale_NikkeEpisode:d_nikke_trina_04_84,False,,L_10,L_10,1.0,,,,trina,,1,sad,,,,
d_nikke_trina_04_85,d_nikke_trina_04,Self,Locale_NikkeEpisode:d_nikke_trina_04_85,False,,black,black,1.0,,,,,flora,1,delight,,trina,Vignetting,Grey
d_nikke_trina_04_86,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_86,True,,10,10,1.0,,flora,,flora,,1,delight,,,Vignetting,Grey
d_nikke_trina_04_87,d_nikke_trina_04,Speech,Locale_NikkeEpisode:d_nikke_trina_04_87,True,,10,10,1.0,,flora,,flora,,1,delight,,,Vignetting,Grey
