id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_camera_shake
d_nikke_rupee_wintershopper_05_1,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_1,False,CommanderRoom,5,1,3.0,bgm_story_breakaway,,,,,,,,,,
d_nikke_rupee_wintershopper_05_2,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_2,False,,1,1,1.0,,m_nikke_rupee_wintershopper_05_01,sfx_scn_phonevibration,,,,,,,,
d_nikke_rupee_wintershopper_05_3,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_3,False,,1,1,1.0,,,,,,,,,,,
d_nikke_rupee_wintershopper_05_4,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_4,False,,1,1,1.0,,,,,,,,,,,
d_nikke_rupee_wintershopper_05_5,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_5,False,,1,1,1.0,,,,,,,,,,,
d_nikke_rupee_wintershopper_05_6,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_6,False,,1,1,1.0,,,,,,,,,,,
d_nikke_rupee_wintershopper_05_7,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_7,False,,1,1,1.0,,,,,,,,,,,
d_nikke_rupee_wintershopper_05_8,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_8,False,,1,1,1.0,,m_nikke_rupee_wintershopper_05_02,,,,,,,,,
d_nikke_rupee_wintershopper_05_9,d_nikke_rupee_wintershopper_05,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_9,False,Winter_AmusementPark,5,1,2.0,bgm_story_girlstalk,,,black,,,,,,,
d_nikke_rupee_wintershopper_05_10,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_10,True,,1,1,1.0,,,,,rupee_w,rupee,rupee_w,1,delight,,
d_nikke_rupee_wintershopper_05_11,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_11,True,,1,1,1.0,,,,,rupee_w,rupee,,1,delight,,
d_nikke_rupee_wintershopper_05_12,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_12,True,,1,1,1.0,,,,,rupee_w,rupee,,1,idle_02,,
d_nikke_rupee_wintershopper_05_13,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_13,True,,1,1,1.0,,,,,rupee_w,rupee,,1,idle_02,,
d_nikke_rupee_wintershopper_05_14,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_14,False,,1,1,1.0,,,,,rupee_w,rupee,,1,special,,
d_nikke_rupee_wintershopper_05_15,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_15,False,,1,1,1.0,none,,,,rupee_w,rupee,,1,idle,,
d_nikke_rupee_wintershopper_05_16,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_16,True,,1,L_10,2.0,,,,,rupee_w,rupee,,1,idle,,
d_nikke_rupee_wintershopper_05_17,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_17,True,,L_10,L_10,1.0,,,,,rupee_w,rupee,,1,idle,,
d_nikke_rupee_wintershopper_05_18,d_nikke_rupee_wintershopper_05,Self,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_18,False,,L_10,L_10,1.0,,,,,rupee_w,,,1,idle,,
d_nikke_rupee_wintershopper_05_19,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_19,True,,L_10,L_10,1.0,bgm_story_shapeofhope,,,,rupee_w,rupee,,1,idle_02,,
d_nikke_rupee_wintershopper_05_20,d_nikke_rupee_wintershopper_05,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_05_20,True,,L_10,L_10,1.0,,,,,rupee_w,rupee,,1,idle,,
