id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/0/hide_char_id,fade
d_nikke_privaty_01_1,d_nikke_privaty_01,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_01_1,False,CommanderRoom,9,1,2.5,bgm_story_whosdumber,,,,,,,,,,,,,,,,,,
d_nikke_privaty_01_2,d_nikke_privaty_01,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_01_2,True,,1,S_10,2.0,,privaty,1,idle,rapi,14,idle,neon,18,idle,anis,16,worry,,,,,,
d_nikke_privaty_01_3,d_nikke_privaty_01,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_01_3,False,,S_10,S_10,1.0,,,1,idle,,14,idle,,18,idle,,16,worry,,,,,,
d_nikke_privaty_01_4,d_nikke_privaty_01,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_01_4,True,,S_10,S_10,1.0,,,1,idle,,14,idle,,18,idle,,16,worry,,,,,,
d_nikke_privaty_01_5,d_nikke_privaty_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_privaty_01_5,True,,160,160,1.0,,,1,idle,,14,idle,,18,idle,,16,no,,,,,,
d_nikke_privaty_01_6,d_nikke_privaty_01,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_privaty_01_6,True,,160,140,2.0,,,1,idle,,14,think,,18,idle,,16,no,,,,,,
d_nikke_privaty_01_7,d_nikke_privaty_01,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_01_7,True,,S_10,S_100,0.5,,,1,idle,,14,idle,,18,idle,,16,worry,,,,,,
d_nikke_privaty_01_8,d_nikke_privaty_01,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_01_8,False,,S_100,S_100,1.0,,,1,idle,,14,idle,,18,idle,,16,worry,,,,,,
d_nikke_privaty_01_9,d_nikke_privaty_01,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_privaty_01_9,True,,160,160,1.0,,,1,idle,,14,idle,,18,idle,,16,angry,,,,,,
d_nikke_privaty_01_10,d_nikke_privaty_01,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_privaty_01_10,True,,160,17,1.0,,,1,idle,,14,idle,,18,angry,,16,angry,,,,,,
