id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/hide_char_id
d_nikke_rouge_05_1,d_nikke_rouge_05,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_1,False,rouge,1,sad,City_d,black,black,1.0,bgm_inark,,,,
d_nikke_rouge_05_2,d_nikke_rouge_05,Monologue,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_2,False,,1,sad,,black,black,1.0,,,,,
d_nikke_rouge_05_3,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_3,False,,1,sad,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_4,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_4,True,,1,sad,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_5,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_5,True,,1,sad,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_6,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_6,True,,1,sad,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_7,d_nikke_rouge_05,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_7,False,,1,sad,,10,10,1.0,,,,,
d_nikke_rouge_05_8,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_8,False,,1,surprise,,10,100,1.0,,rouge,,,
d_nikke_rouge_05_9,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_9,True,,1,surprise,,100,100,1.0,,rouge,,,
d_nikke_rouge_05_10,d_nikke_rouge_05,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_10,False,,1,surprise,,100,100,1.0,,,,,
d_nikke_rouge_05_11,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_11,True,,1,shy,,100,100,1.0,,rouge,,,
d_nikke_rouge_05_12,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_12,True,,1,shy,,100,100,1.0,,rouge,,,
d_nikke_rouge_05_13,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_13,True,,1,shy,,100,100,1.0,,rouge,,,
d_nikke_rouge_05_14,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_14,True,,1,shy,,100,100,1.0,,rouge,,,
d_nikke_rouge_05_15,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_15,True,,1,shy,,100,100,1.0,,rouge,,,
d_nikke_rouge_05_16,d_nikke_rouge_05,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_16,False,,1,shy,,100,100,1.0,,,,,
d_nikke_rouge_05_17,d_nikke_rouge_05,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_17,False,,1,shy,,100,100,1.0,,,,,
d_nikke_rouge_05_18,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_18,True,,1,delight,,100,10,1.0,,rouge,,,
d_nikke_rouge_05_19,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_19,True,,1,delight,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_20,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_20,True,,1,delight,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_21,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_21,True,,1,delight,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_22,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_22,False,,1,idle,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_23,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_23,True,,1,idle,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_24,d_nikke_rouge_05,Self,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_24,False,,1,idle,,10,10,1.0,,,,,
d_nikke_rouge_05_25,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_25,True,,1,idle,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_26,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_26,True,,1,idle,,10,10,1.0,,rouge,,,
d_nikke_rouge_05_27,d_nikke_rouge_05,Speech,rouge,Locale_NikkeEpisode:d_nikke_rouge_05_27,True,,1,delight,,10,100,1.0,,rouge,,,
