id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_maiden_02_1,d_nikke_maiden_02,Monologue,Locale_NikkeEpisode:d_nikke_maiden_02_1,False,CommanderRoom,5,1,2.0,bgm_story_whosdumber,,,,,,,,
d_nikke_maiden_02_2,d_nikke_maiden_02,Monologue,Locale_NikkeEpisode:d_nikke_maiden_02_2,False,,1,10,1.0,,m_nikke_maiden_02_01,sfx_scn_phonevibration,,,,,,
d_nikke_maiden_02_3,d_nikke_maiden_02,Monologue,Locale_NikkeEpisode:d_nikke_maiden_02_3,False,,10,10,1.0,,,,,,,,,
d_nikke_maiden_02_4,d_nikke_maiden_02,Narration,Locale_NikkeEpisode:d_nikke_maiden_02_4,False,,1,1,1.0,,,,black,,,,,
d_nikke_maiden_02_5,d_nikke_maiden_02,Monologue,Locale_NikkeEpisode:d_nikke_maiden_02_5,False,,1,1,1.0,,,,,,,,,
d_nikke_maiden_02_6,d_nikke_maiden_02,Monologue,Locale_NikkeEpisode:d_nikke_maiden_02_6,False,,1,1,1.0,,,,,,,,,
d_nikke_maiden_02_7,d_nikke_maiden_02,Narration,Locale_NikkeEpisode:d_nikke_maiden_02_7,False,,1,1,1.0,,m_nikke_maiden_02_02,sfx_scn_phonevibration,,,,,,
d_nikke_maiden_02_8,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_8,True,,black,black,1.0,,,,,maiden,maiden,maiden,1,idle
d_nikke_maiden_02_9,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_9,False,,1,1,2.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_10,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_10,True,,1,S_10,1.0,,,,,maiden,maiden,,1,delight
d_nikke_maiden_02_11,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_11,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_12,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_12,False,,S_10,S_10,1.0,,,,,maiden,,,1,shy
d_nikke_maiden_02_13,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_13,True,,S_10,S_100,0.5,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_14,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_14,False,,S_100,S_100,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_15,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_15,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_16,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_16,True,,S_100,S_100,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_17,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_17,False,,S_100,S_100,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_18,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_18,False,,S_100,S_100,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_19,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_19,False,,S_100,S_100,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_20,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_20,False,,S_100,S_100,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_21,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_21,True,,S_100,S_10,1.0,,,,,maiden,maiden,,1,shy
d_nikke_maiden_02_22,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_22,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
d_nikke_maiden_02_23,d_nikke_maiden_02,Self,Locale_NikkeEpisode:d_nikke_maiden_02_23,False,,S_10,S_10,1.0,,,,,maiden,,,1,idle
d_nikke_maiden_02_24,d_nikke_maiden_02,Speech,Locale_NikkeEpisode:d_nikke_maiden_02_24,True,,S_10,S_10,1.0,,,,,maiden,maiden,,1,idle
