id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,set_camera_shake,characters/0/hide_char_id,fade
d_nikke_mast_03_1,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_1,False,none,black,black,1.0,none,,,,,,,,,
d_nikke_mast_03_2,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_2,False,,black,black,1.0,bgm_story_tuffguys,,,,,,,,,
d_nikke_mast_03_3,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_3,True,ocean,1,10,0.6,,mast,mast,mast,1,delight,,,,
d_nikke_mast_03_4,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_4,False,,10,10,1.0,,mast,filmingstaff,,1,delight,,,,
d_nikke_mast_03_5,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_5,True,,10,10,1.0,,mast,mast,,1,idle2,,,,
d_nikke_mast_03_6,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_6,False,,10,10,1.0,,mast,,,1,idle2,,,,
d_nikke_mast_03_7,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_7,False,,10,10,1.0,,mast,filmingstaff,,1,idle2,,,,
d_nikke_mast_03_8,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_8,False,,10,10,1.0,,mast,,,1,idle2,,,,
d_nikke_mast_03_9,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_9,False,,10,10,1.0,,mast,,,1,idle2,,,,
d_nikke_mast_03_10,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_10,False,,10,10,1.0,,mast,,,1,idle2,,,,
d_nikke_mast_03_11,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_11,True,,10,10,1.0,,mast,mast,,1,idle2,,,,
d_nikke_mast_03_12,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_12,True,,10,10,1.0,,mast,mast,,1,idle2,,,,
d_nikke_mast_03_13,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_13,True,,10,10,1.0,,mast,mast,,1,idle2,,,,
d_nikke_mast_03_14,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_14,False,,10,10,1.0,,mast,,,1,idle2,,,,
d_nikke_mast_03_15,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_15,True,,10,10,1.0,,mast,mast,,1,surprise,,,,
d_nikke_mast_03_16,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_16,False,,10,5,1.0,,mast,filmingstaff,,1,surprise,,,,
d_nikke_mast_03_17,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_17,False,,5,5,1.0,,mast,,,1,surprise,,,,
d_nikke_mast_03_18,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_18,False,none,black,black,1.0,,mast,,,1,idle,,,,
d_nikke_mast_03_19,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_19,False,,black,black,1.0,,mast,,,1,idle,,,,
d_nikke_mast_03_20,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_20,True,Armory,1,10,1.4,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_21,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_21,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_22,d_nikke_mast_03,Choice,Locale_NikkeEpisode:d_nikke_mast_03_22,False,,10,10,1.0,,mast,,,1,shy2,d_nikke_mast_03_24,,,
d_nikke_mast_03_23,d_nikke_mast_03,Choice,Locale_NikkeEpisode:d_nikke_mast_03_23,False,,10,10,1.0,,mast,,,1,shy2,d_nikke_mast_03_24,,,
d_nikke_mast_03_24,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_24,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_25,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_25,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_26,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_26,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_27,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_27,False,,10,5,1.0,,mast,unknown,,1,shy2,,,,
d_nikke_mast_03_28,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_28,False,,5,5,1.0,,mast,unknown,,1,shy2,,,,
d_nikke_mast_03_29,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_29,False,,5,5,1.0,,mast,unknown,,1,shy2,,,,
d_nikke_mast_03_30,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_30,False,,5,10,1.0,,mast,,,1,surprise,,,,
d_nikke_mast_03_31,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_31,False,,10,10,1.0,,mast,mast,,1,surprise,,,,
d_nikke_mast_03_32,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_32,False,,10,10,1.0,,mast,,,1,surprise,,,,
d_nikke_mast_03_33,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_33,True,,10,10,1.0,,mast,mast,,1,surprise,,,,
d_nikke_mast_03_34,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_34,False,none,black,black,1.0,,mast,,,1,surprise,,,,
d_nikke_mast_03_35,d_nikke_mast_03,Monologue,Locale_NikkeEpisode:d_nikke_mast_03_35,False,,black,black,1.0,,mast,,,1,surprise,,,,
d_nikke_mast_03_36,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_36,True,Corridor,1,100,0.6,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_37,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_37,True,,100,100,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_38,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_38,True,,100,10,1.3,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_39,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_39,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_40,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_40,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_41,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_41,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_42,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_42,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_43,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_43,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_44,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_44,True,,10,10,1.0,,mast,mast,,1,shy2,,,,
d_nikke_mast_03_45,d_nikke_mast_03,Self,Locale_NikkeEpisode:d_nikke_mast_03_45,False,,10,10,1.0,,mast,,,1,shy2,,,,
d_nikke_mast_03_46,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_46,True,,10,10,1.0,,mast,mast,,1,sad2,,,,
d_nikke_mast_03_47,d_nikke_mast_03,Speech,Locale_NikkeEpisode:d_nikke_mast_03_47,True,,10,10,1.0,,mast,mast,,1,sad2,,,,
d_nikke_mast_03_48,d_nikke_mast_03,Choice,Locale_NikkeEpisode:d_nikke_mast_03_48,False,,10,10,1.0,,mast,,,1,sad2,d_nikke_mast_03_50,,,
