id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,play_sound
d_nikke_maiden_icerose_01_1,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_1,False,IceLand_02,black,black,1.0,event_bgm_icedragonsaga_title,,,,,,,,,,,,,,,,
d_nikke_maiden_icerose_01_2,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_2,False,,XS_10,XS_10,1.0,,guillotine_w_no,guillotine_w_no,1,idle,,,,,,,,,,,,
d_nikke_maiden_icerose_01_3,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_3,False,,XS_10,XS_10,1.0,,guillotine_w_no,,1,idle,,,,,,,,,,,,
d_nikke_maiden_icerose_01_4,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_4,False,,XS_10,XS_10,1.0,,guillotine_w_no,,1,idle,,,,,,,,,,,,
d_nikke_maiden_icerose_01_5,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_5,False,,black,black,1.0,,,,1,idle,guillotine_w_no,,,,,,,,,,,
d_nikke_maiden_icerose_01_6,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_6,False,SnowTown_d,black,black,1.0,,,,,,,,,,,,,,,,,
d_nikke_maiden_icerose_01_7,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_7,False,,L_120,L_120,1.0,,maiden_w,,,,,maiden_w,12,idle,,,,,,,,
d_nikke_maiden_icerose_01_8,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_8,False,,L_120,L_120,1.0,,maiden_w,,,,,,12,idle,,,,,,,,
d_nikke_maiden_icerose_01_9,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_9,False,HotSpringInnIn_n,L_20,L_20,1.0,none,yulha,yulha,2,idle,,,12,idle,maiden_w,black,,,,,,
d_nikke_maiden_icerose_01_10,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_10,False,,L_20,1,1.0,bgm_story_tepidappleade,yulha,,2,idle,,,,,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_11,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_11,False,,1,1,1.0,,yulha,,2,idle,,,,,,,,,,,,
d_nikke_maiden_icerose_01_12,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_12,False,,1,1,1.0,,yulha,,2,idle,,,,,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_13,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_13,False,,1,1,1.0,,yulha,,2,idle,,,,,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_14,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_14,False,,1,1,1.0,,yulha,,2,idle,,,,,,,,,,,,
d_nikke_maiden_icerose_01_15,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_15,False,,1,1,1.0,,yulha,,2,idle,,,,,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_16,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_16,True,,1,1,1.0,,maiden_w,,2,idle,,maiden_w,12,shy,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_17,d_nikke_maiden_icerose_01,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_17,False,,1,L_20,0.5,,yulha,,2,angry,,,12,surprise,,,,,,,,
d_nikke_maiden_icerose_01_18,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_18,True,,L_20,L_20,1.0,,yulha,,2,angry,,,12,surprise,,,yulha,,,,,
d_nikke_maiden_icerose_01_19,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_19,True,,L_20,1,1.0,,maiden_w,,2,angry,,,12,worry,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_20,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_20,True,,1,1,1.0,,yulha,,2,angry,,,12,worry,,,yulha,,,,,
d_nikke_maiden_icerose_01_21,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_21,True,,1,1,1.0,,yulha,,2,angry,,,12,worry,,,yulha,,,,,
d_nikke_maiden_icerose_01_22,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_22,True,,1,1,1.0,,maiden_w,,2,angry,,,12,worry,maiden_w,,maiden_w,,,,,
d_nikke_maiden_icerose_01_23,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_23,True,,1,L_120,0.5,,maiden_w,,2,angry,,maiden_w,12,no,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_24,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_24,True,,L_120,L_120,1.0,,maiden_w,,2,angry,,,12,no,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_25,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_25,True,,L_120,1,1.0,,yulha,,2,idle,,,12,no,,,yulha,,,,,
d_nikke_maiden_icerose_01_26,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_26,True,,1,1,1.0,,yulha,,2,idle,,,12,no,,,yulha,,,,,
d_nikke_maiden_icerose_01_27,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_27,True,,1,1,1.0,,maiden_w,,2,idle,,,12,idle,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_28,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_28,True,,1,1,1.0,,maiden_w,,2,idle,,,12,idle,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_29,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_29,True,,1,1,1.0,,yulha,,2,idle,,,12,idle,,,yulha,,,,,
d_nikke_maiden_icerose_01_30,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_30,True,,1,1,1.0,,yulha,,2,idle,,,12,idle,,,yulha,,,,,
d_nikke_maiden_icerose_01_31,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_31,True,,1,1,1.0,,maiden_w,,2,idle,,,12,idle,,,maiden_w,,,,,
d_nikke_maiden_icerose_01_32,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_32,True,,1,1,1.0,,yulha,,2,idle,,,12,idle,,,yulha,,,,,
d_nikke_maiden_icerose_01_33,d_nikke_maiden_icerose_01,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_01_33,True,,1,1,1.0,,maiden_w,,2,idle,,,12,idle,,,maiden_w,,,,,
