id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,set_filter_01,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_volume_04_1,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_1,True,NikkeCorridor,10,10,1.0,bgm_story_fairytalesend_if,,,,,,pd,1,idle,,volume,13,idle
d_nikke_volume_04_2,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_2,True,,10,10,1.0,,,,,,,,1,idle,,,13,idle
d_nikke_volume_04_3,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_3,True,,10,10,1.0,,,,,,,,1,idle,,,13,idle
d_nikke_volume_04_4,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_4,True,,10,10,1.0,,,,,,,,1,idle,,,13,idle
d_nikke_volume_04_5,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_5,True,,10,10,1.0,,,,,,,,1,idle,,,13,idle
d_nikke_volume_04_6,d_nikke_volume_04,Choice,,,Locale_NikkeEpisode:d_nikke_volume_04_6,False,,10,10,1.0,,d_nikke_volume_04_8,,,,,,1,idle,,,13,idle
d_nikke_volume_04_7,d_nikke_volume_04,Choice,,,Locale_NikkeEpisode:d_nikke_volume_04_7,False,,10,10,1.0,,d_nikke_volume_04_8,,,,,,1,idle,,,13,idle
d_nikke_volume_04_8,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_8,True,,10,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_9,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_9,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_10,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_10,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_11,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_11,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_12,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_12,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_13,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_13,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_14,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_14,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_15,d_nikke_volume_04,Self,,,Locale_NikkeEpisode:d_nikke_volume_04_15,False,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_16,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_16,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_17,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_17,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_18,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_18,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_19,d_nikke_volume_04,Speech,volume,volume,Locale_NikkeEpisode:d_nikke_volume_04_19,True,,113,113,1.0,,,,,,,,1,idle,,,13,angry
d_nikke_volume_04_20,d_nikke_volume_04,Speech,pd,pd,Locale_NikkeEpisode:d_nikke_volume_04_20,True,,113,10,0.5,,,,,,,,1,idle,,,13,angry
