id,group_id,speech_window,scenario_localkey,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,fade,characters/0/hide_char_id,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_alice_02_1,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_1,City_d,7,1,2.0,bgm_story_orangepop,,,,,,,,,,,,,,,
d_nikke_alice_02_2,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_2,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_alice_02_3,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_3,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_alice_02_4,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_4,,1,1,1.0,,,,,,,,,,,,,,,,
d_nikke_alice_02_5,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_5,,1,1,1.0,,alice,alice,True,alice,1,surprise,,,,,,,,,
d_nikke_alice_02_6,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_6,,1,1,1.0,,alice,alice,True,,1,delight,,,,,,,,,
d_nikke_alice_02_7,d_nikke_alice_02,Self,Locale_NikkeEpisode:d_nikke_alice_02_7,,1,1,1.0,,alice,,,,1,idle,,,,,,,,,
d_nikke_alice_02_8,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_8,,1,S_10,2.0,,alice,,,,1,idle,,,,,,,,,
d_nikke_alice_02_9,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_9,,S_10,S_10,1.0,,alice,alice,True,,1,idle,,,,,,,,,
d_nikke_alice_02_10,d_nikke_alice_02,Self,Locale_NikkeEpisode:d_nikke_alice_02_10,,S_10,S_10,1.0,,alice,,,,1,idle,,,,,,,,,
d_nikke_alice_02_11,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_11,,S_10,S_100,0.5,,alice,alice,False,,1,surprise,,,,,,,,,
d_nikke_alice_02_12,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_12,,S_100,S_100,1.0,,alice,alice,True,,1,surprise,,,,,,,,,
d_nikke_alice_02_13,d_nikke_alice_02,Choice,Locale_NikkeEpisode:d_nikke_alice_02_13,,S_100,S_100,1.0,,alice,,,,1,surprise,d_nikke_alice_02_15,,,,,,,,
d_nikke_alice_02_14,d_nikke_alice_02,Choice,Locale_NikkeEpisode:d_nikke_alice_02_14,,S_100,S_100,1.0,,alice,,,,1,surprise,d_nikke_alice_02_23,,,,,,,,
d_nikke_alice_02_15,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_15,,S_100,S_10,2.0,,alice,,,,1,idle,,,,,,,,,
d_nikke_alice_02_16,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_16,,S_10,S_10,1.0,,alice,alice,False,,1,idle,,,,,,,,,
d_nikke_alice_02_17,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_17,,S_10,S_10,1.0,,alice,alice,True,,1,idle,,,,,,,,,
d_nikke_alice_02_18,d_nikke_alice_02,Self,Locale_NikkeEpisode:d_nikke_alice_02_18,,S_10,S_10,1.0,,alice,,,,1,idle,,,,,,,,,
d_nikke_alice_02_19,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_19,,S_10,S_10,1.0,,alice,,,,1,idle,,,,,,,,,
d_nikke_alice_02_20,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_20,,S_10,S_100,0.5,,alice,alice,True,,1,delight,,,,,,,,,
d_nikke_alice_02_21,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_21,,S_100,S_100,1.0,,alice,,,,1,delight,,,,,,,,,
d_nikke_alice_02_22,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_22,,S_100,S_10,1.0,,alice,alice,True,,1,delight,d_nikke_alice_02_31,,,,,,,,
d_nikke_alice_02_23,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_23,,S_100,S_100,0.5,,alice,alice,True,,1,surprise,,,,,,,,,
d_nikke_alice_02_24,d_nikke_alice_02,Narration,Locale_NikkeEpisode:d_nikke_alice_02_24,,S_100,S_100,1.0,,alice,,,,1,surprise,,,,,,,,,
d_nikke_alice_02_25,d_nikke_alice_02,Speech,Locale_NikkeEpisode:d_nikke_alice_02_25,,S_100,S_10,1.0,,alice,alice,True,,1,surprise,,,,,,,,,
