id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_filter_01,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_centi_03_1,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_1,False,GoodOffice,1,S_10,2.0,bgm_story_tuffguys,,,,,,centi,3,idle,,yan,1,surprise,
d_nikke_centi_03_2,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_2,True,,S_10,2,1.0,,,,,,,,3,delight,,,1,surprise,
d_nikke_centi_03_3,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_3,True,,2,2,1.0,,,,,,,,3,delight,,,1,surprise,
d_nikke_centi_03_4,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_4,True,,2,S_10,1.0,,,,,,,,3,idle,,,1,surprise,
d_nikke_centi_03_5,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_5,True,,S_10,S_10,1.0,,,,,,,,3,idle,,,1,surprise,
d_nikke_centi_03_6,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_6,True,,S_10,L_30,1.0,,,,,,,,3,idle,,,1,surprise,
d_nikke_centi_03_7,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_7,True,,L_30,L_30,1.0,,,,,,,,3,angry,,,1,surprise,
d_nikke_centi_03_8,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_8,True,,L_30,2,1.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_9,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_9,True,,2,2,1.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_10,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_10,True,,2,9,2.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_11,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_11,False,,3,L_30,2.0,,,,,,,,3,surprise,,,1,sad,
d_nikke_centi_03_12,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_12,False,,L_30,L_30,1.0,,,,,,,,3,surprise,,,1,sad,
d_nikke_centi_03_13,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_13,True,,L_30,2,0.5,,,,,,,,3,surprise,,,1,no,
d_nikke_centi_03_14,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_14,True,,2,2,1.0,,,,,,,,3,surprise,,,1,no,
d_nikke_centi_03_15,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_15,True,,2,L_30,0.5,,,,,,,,3,surprise,,,1,no,
d_nikke_centi_03_16,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_16,True,,S_10,S_10,1.0,,,,,,,,3,surprise,,,1,surprise,
d_nikke_centi_03_17,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_17,False,,S_10,L_30,0.5,,,,,,,,3,"expression_0,idle",,,1,surprise,
d_nikke_centi_03_18,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_18,True,,L_30,S_10,0.5,,,,,,,,3,idle,,,1,surprise,
d_nikke_centi_03_19,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_19,True,,L_300,L_300,1.0,,,,,,,,3,angry,,,1,surprise,
d_nikke_centi_03_20,d_nikke_centi_03,Self,yan,Self,Locale_NikkeEpisode:d_nikke_centi_03_20,False,,L_300,2,1.0,,,,,,,,3,angry,,,1,surprise,
d_nikke_centi_03_21,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_21,True,,2,2,1.0,,,,,,,,3,angry,,,1,no,
d_nikke_centi_03_22,d_nikke_centi_03,Self,yan,Self,Locale_NikkeEpisode:d_nikke_centi_03_22,False,,2,2,1.0,,,,,,,,3,angry,,,1,no,
d_nikke_centi_03_23,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_23,True,,2,2,1.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_24,d_nikke_centi_03,Self,yan,Self,Locale_NikkeEpisode:d_nikke_centi_03_24,False,,2,2,1.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_25,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_25,True,,2,S_10,2.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_26,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_26,True,,S_10,S_10,1.0,,,,,,,,3,angry,,,1,sad,
d_nikke_centi_03_27,d_nikke_centi_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_centi_03_27,False,CommanderRoom,1,1,1.0,bgm_story_orangepop,black,,,,,,1,angry,centi,,1,sad,yan
d_nikke_centi_03_28,d_nikke_centi_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_centi_03_28,True,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_centi_03_29,d_nikke_centi_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_centi_03_29,True,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_centi_03_30,d_nikke_centi_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_centi_03_30,True,ShoppingMall,1,1,1.0,,,Grey,,,,,,,,,,,
d_nikke_centi_03_31,d_nikke_centi_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_centi_03_31,True,,1,1,1.0,,,Grey,,,,,,,,,,,
d_nikke_centi_03_32,d_nikke_centi_03,Speech,tvvoice,tvvoice,Locale_NikkeEpisode:d_nikke_centi_03_32,True,GoodOffice,1,1,1.0,,,Grey,,,,,,,,,,,
d_nikke_centi_03_33,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_33,False,,1,1,1.0,,,Grey,,,,,,,,yan,1,"expression_0,no",
d_nikke_centi_03_34,d_nikke_centi_03,Speech,yan,yan,Locale_NikkeEpisode:d_nikke_centi_03_34,True,,1,1,1.0,,,Grey,,,,,,,,,1,no,
d_nikke_centi_03_35,d_nikke_centi_03,Self,yan,Self,Locale_NikkeEpisode:d_nikke_centi_03_35,False,,1,1,1.0,,,Grey,,,,,,,,,1,no,
d_nikke_centi_03_36,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_36,True,CommanderRoom,1,1,1.0,,black,,,,,centi,1,idle,,,1,no,yan
d_nikke_centi_03_37,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_37,False,,1,1,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_38,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_38,True,,1,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_39,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_39,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_40,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_40,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_41,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_41,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_42,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_42,False,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_43,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_43,True,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_44,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_44,False,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_45,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_45,False,,L_10,1,2.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_46,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_46,True,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_47,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_47,False,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_48,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_48,True,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_49,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_49,True,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_50,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_50,True,,1,L_10,2.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_51,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_51,False,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_52,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_52,True,,L_10,1,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_53,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_53,True,RuinIndoor,1,1,1.0,,,Grey,,,,,1,idle,centi,yan,1,delight,
d_nikke_centi_03_54,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_54,True,,1,1,1.0,,,Grey,,,,,,,,,1,delight,
d_nikke_centi_03_55,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_55,True,GoodOffice,1,1,1.0,,,Grey,,,,,,,,,1,delight,yan
d_nikke_centi_03_56,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_56,True,,1,1,1.0,,,Grey,,,,,,,,,,,
d_nikke_centi_03_57,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_57,True,CommanderRoom,1,1,1.0,,,,,,,centi,1,idle,,,,,
d_nikke_centi_03_58,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_58,True,,1,1,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_59,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_59,True,,1,1,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_60,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_60,True,,1,1,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_61,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_61,True,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_62,d_nikke_centi_03,Monologue,centi,Monologue,Locale_NikkeEpisode:d_nikke_centi_03_62,False,Park,L_10,L_10,1.0,,black,Grey,,,,,1,angry,,,,,
d_nikke_centi_03_63,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_63,True,,L_10,L_10,1.0,,,Grey,,,,,1,surprise,,,,,
d_nikke_centi_03_64,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_64,True,,L_10,L_10,1.0,,,Grey,,,,,1,surprise,,,,,
d_nikke_centi_03_65,d_nikke_centi_03,Monologue,centi,Monologue,Locale_NikkeEpisode:d_nikke_centi_03_65,False,,L_10,L_10,1.0,,,Grey,,,,,1,surprise,,,,,
d_nikke_centi_03_66,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_66,True,CommanderRoom,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_67,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_67,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_68,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_68,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_69,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_69,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_70,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_70,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_71,d_nikke_centi_03,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_03_71,False,,L_10,L_10,1.0,,,,d_nikke_centi_03_73,,,,1,delight,,,,,
d_nikke_centi_03_72,d_nikke_centi_03,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_03_72,False,,L_10,L_10,1.0,,,,d_nikke_centi_03_73,,,,1,delight,,,,,
d_nikke_centi_03_73,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_73,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_74,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_74,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_75,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_75,False,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_03_76,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_76,True,,L_10,1,1.5,,,,,,,,1,idle,,,,,
d_nikke_centi_03_77,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_77,True,,1,1,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_78,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_78,True,,1,1,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_03_79,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_79,True,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_80,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_80,True,,1,1,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_81,d_nikke_centi_03,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_03_81,False,,1,1,1.0,,,,d_nikke_centi_03_83,,,,1,angry,,,,,
d_nikke_centi_03_82,d_nikke_centi_03,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_03_82,False,,1,1,1.0,,,,d_nikke_centi_03_83,,,,1,angry,,,,,
d_nikke_centi_03_83,d_nikke_centi_03,Narration,centi,Narration,Locale_NikkeEpisode:d_nikke_centi_03_83,False,,1,1,1.0,none,,,,sfx_scn_phonevibration,,,1,angry,,,,,
d_nikke_centi_03_84,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_84,True,,1,1,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_85,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_85,True,,1,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_86,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_86,True,,L_10,L_10,1.0,bgm_story_breakaway,,,,,,,1,delight,,,,,
d_nikke_centi_03_87,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_87,True,,L_10,L_10,1.0,,,,,,m_nikke_centi_03,,1,delight,,,,,
d_nikke_centi_03_88,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_88,True,,L_10,L_10,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_89,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_89,False,,L_10,L_10,1.0,,,,,,,,1,angry,,,,,
d_nikke_centi_03_90,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_90,True,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_91,d_nikke_centi_03,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_03_91,True,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
d_nikke_centi_03_92,d_nikke_centi_03,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_03_92,False,,L_10,L_10,1.0,,,,,,,,1,surprise,,,,,
