id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/0/hide_char_id,set_filter_01,set_filter_02,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,jump_target
d_nikke_liter_05_1,d_nikke_liter_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_05_1,True,rapi,1,idle,neon,13,idle,liter,3,idle,NikkeRoom,12,12,1.0,bgm_story_backtonormal,,,,,,,,,,
d_nikke_liter_05_2,d_nikke_liter_05,Self,,Self,Locale_NikkeEpisode:d_nikke_liter_05_2,False,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
d_nikke_liter_05_3,d_nikke_liter_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_05_3,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
d_nikke_liter_05_4,d_nikke_liter_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_05_4,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
d_nikke_liter_05_5,d_nikke_liter_05,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_05_5,True,,1,idle,,13,idle,,3,no,,12,2,1.0,,,,,,,,,,,
d_nikke_liter_05_6,d_nikke_liter_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_05_6,True,,1,idle,,13,idle,,3,no,,2,2,1.0,,,,,,,,,,,
d_nikke_liter_05_7,d_nikke_liter_05,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_05_7,True,,1,idle,,13,idle,,3,no,,2,2,1.0,,,,,,,,,,,
d_nikke_liter_05_8,d_nikke_liter_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_05_8,True,,1,idle,,13,idle,,3,no,,13,S_130,1.0,,,,,,,,,,,
d_nikke_liter_05_9,d_nikke_liter_05,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_05_9,True,,1,idle,,13,idle,,3,sorrow,,3,XS_30,1.0,,,,,,,,,,,
d_nikke_liter_05_10,d_nikke_liter_05,Speech,liter,liter,Locale_NikkeEpisode:d_nikke_liter_05_10,False,,1,idle,,13,idle,,3,sorrow,,XS_30,XS_30,1.0,,,,,,,,,,,
