id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,set_filter_01,set_filter_02,jump_target,characters/0/hide_char_id,fade,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_ether_02_1,d_nikke_ether_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_ether_02_1,False,Hospital_n,1,1,1.0,sfx_scn_clock,none,,,,,,,,,,,,,,,,,,
d_nikke_ether_02_2,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_2,False,,1,6001,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_ether_02_3,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_3,False,,6001,6001,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_ether_02_4,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_4,False,,black,black,1.0,,bgm_story_backtonormal,,,,,,,,,,,,,,,,,,
d_nikke_ether_02_5,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_5,False,,black,black,1.0,,,ether,1,delight,,,,,,,,,,,,,,,
d_nikke_ether_02_6,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_6,True,,1,1,1.0,,,,1,delight,ether,Grey,Blur_Middle,,,,,,,,,,,,
d_nikke_ether_02_7,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_7,True,,1,1,1.0,,,,1,delight,ether,Grey,Blur_Low,,,,,,,,,,,,
d_nikke_ether_02_8,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_8,False,,1,1,1.0,,,,1,delight,ether,Grey,Blur_Low,,,,,,,,,,,,
d_nikke_ether_02_9,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_9,True,,1,1,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_10,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_10,True,,1,1,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_11,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_11,True,,1,1,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_12,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_12,False,,1,1,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_13,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_13,True,,1,1,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_14,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_14,False,,1,1,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_15,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_15,True,,1,1,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_16,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_16,False,,1,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_17,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_17,True,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_18,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_18,False,,S_10,S_50,2.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_19,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_19,True,,S_50,S_50,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_20,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_20,False,,S_50,S_10,2.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_21,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_21,True,,S_10,XS_100,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_22,d_nikke_ether_02,Narration,Narration,Locale_NikkeEpisode:d_nikke_ether_02_22,False,,black,black,1.0,sfx_scn_swallow,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_23,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_23,False,,black,black,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_24,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_24,True,,S_100,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_25,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_25,False,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_26,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_26,True,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_27,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_27,False,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_28,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_28,True,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_29,d_nikke_ether_02,Choice,,Locale_NikkeEpisode:d_nikke_ether_02_29,False,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,d_nikke_ether_02_31,,,,,,,,,,,
d_nikke_ether_02_30,d_nikke_ether_02,Choice,,Locale_NikkeEpisode:d_nikke_ether_02_30,False,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,d_nikke_ether_02_34,,,,,,,,,,,
d_nikke_ether_02_31,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_31,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_32,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_32,False,,S_10,XS_100,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_33,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_33,True,,XS_100,XS_100,1.0,,,,1,delight,ether,Grey,,d_nikke_ether_02_40,,,,,,,,,,,
d_nikke_ether_02_34,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_34,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_35,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_35,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_36,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_36,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_37,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_37,True,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_38,d_nikke_ether_02,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ether_02_38,False,,S_10,XS_100,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_39,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_39,True,,XS_100,XS_100,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_40,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_40,True,,XS_100,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_41,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_41,True,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_42,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_42,False,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_43,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_43,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_44,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_44,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_45,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_45,False,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_46,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_46,True,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_47,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_47,True,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_48,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_48,False,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_49,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_49,True,,S_10,S_10,1.0,,none,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_50,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_50,True,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_51,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_51,True,,S_10,S_10,1.0,,,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_52,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_52,True,,S_10,S_10,1.0,,bgm_story_crawlinganxiety,,1,idle,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_53,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_53,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_54,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_54,False,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_55,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_55,True,,S_10,S_10,1.0,,,,1,sad,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_56,d_nikke_ether_02,Speech,ether,Locale_NikkeEpisode:d_nikke_ether_02_56,True,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
d_nikke_ether_02_57,d_nikke_ether_02,Self,Self,Locale_NikkeEpisode:d_nikke_ether_02_57,False,,S_10,S_10,1.0,,,,1,delight,ether,Grey,,,,,,,,,,,,,
