id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_signal_02_1,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_1,True,BriefingRoom,black,black,1.0,bgm_story_whosdumber,,,,,signal,1,idle,,delta,3,idle,
d_nikke_signal_02_2,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_2,False,,S_30,S_30,1.0,,,,,,,1,idle,,,3,surprise,
d_nikke_signal_02_3,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_3,True,,S_30,2,1.0,,,,,,,1,sad,,,3,surprise,
d_nikke_signal_02_4,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_4,True,,2,2,1.0,,,,,,,1,sad,,,3,surprise,
d_nikke_signal_02_5,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_5,True,,2,2,1.0,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_6,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_6,True,,2,S_30,0.5,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_7,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_7,True,,XS_10,XS_10,0.5,,,,,,,1,idle,,,3,idle,
d_nikke_signal_02_8,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_8,True,,2,2,1.0,,,,,,,1,idle,,,3,idle,
d_nikke_signal_02_9,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_9,True,,2,2,1.0,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_10,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_10,False,,2,2,1.0,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_11,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_11,True,,2,2,1.0,,,,,,,1,sad,,,3,sad,
d_nikke_signal_02_12,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_12,True,,2,2,1.0,,,,,,,1,sad,,,3,sad,
d_nikke_signal_02_13,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_13,True,,2,2,1.0,,,,,,,1,sad,,,3,sad,
d_nikke_signal_02_14,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_14,True,,2,S_30,2.0,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_15,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_15,True,,XS_10,XS_10,1.0,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_16,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_16,False,,S_30,S_30,1.0,,,,,,,1,sad,,,3,idle,
d_nikke_signal_02_17,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_17,True,,S_30,2,1.0,,,,,,,1,idle,,,3,surprise,
d_nikke_signal_02_18,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_18,False,,2,3,2.0,,,,,,,15,idle,,,3,surprise,
d_nikke_signal_02_19,d_nikke_signal_02,Self,,,Locale_NikkeEpisode:d_nikke_signal_02_19,False,,3,S_30,1.0,,,,,,,15,idle,signal,,3,surprise,
d_nikke_signal_02_20,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_20,True,,S_30,S_30,1.0,,,,,,,,,,,3,surprise,
d_nikke_signal_02_21,d_nikke_signal_02,Self,delta,,Locale_NikkeEpisode:d_nikke_signal_02_21,True,,S_30,S_30,1.0,,,,,,,,,,,3,surprise,
d_nikke_signal_02_22,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_22,True,,S_30,S_30,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_23,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_23,True,,S_30,S_30,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_24,d_nikke_signal_02,Self,delta,,Locale_NikkeEpisode:d_nikke_signal_02_24,True,,S_30,S_30,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_25,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_25,False,,S_30,S_300,2.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_26,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_26,True,,S_300,S_300,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_27,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_27,True,,S_300,S_300,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_28,d_nikke_signal_02,Speech,delta,delta,Locale_NikkeEpisode:d_nikke_signal_02_28,True,,S_300,S_300,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_29,d_nikke_signal_02,Self,,,Locale_NikkeEpisode:d_nikke_signal_02_29,True,,S_300,S_300,1.0,,,,,,,,,,,3,idle,
d_nikke_signal_02_30,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_30,False,NikkeCorridor,1,1,1.0,none,black,,,,signal,1,idle,signal,,,,delta
d_nikke_signal_02_31,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_31,False,,1,1,1.0,,,sfx_scn_knock,Low_2,,,,,,,,,
d_nikke_signal_02_32,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_32,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_signal_02_33,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_33,False,,1,1,1.0,,,sfx_scn_knock,Low_2,,,,,,,,,
d_nikke_signal_02_34,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_34,False,,1,1,1.0,,,,,,,,,,,,,
d_nikke_signal_02_35,d_nikke_signal_02,Narration,,,Locale_NikkeEpisode:d_nikke_signal_02_35,False,,1,10,2.0,,,,,,,,,,,,,
