id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_anchor_02_1,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_1,False,Pool,1,1,1.0,bgm_inark,,,anchor,1,idle,
d_nikke_anchor_02_2,d_nikke_anchor_02,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_02_2,False,,1,1,1.0,,,,,1,idle,
d_nikke_anchor_02_3,d_nikke_anchor_02,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_02_3,False,,1,1,1.0,,,,,1,idle,
d_nikke_anchor_02_4,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_4,True,,1,1,1.0,,,,,1,idle,
d_nikke_anchor_02_5,d_nikke_anchor_02,Choice,,,Locale_NikkeEpisode:d_nikke_anchor_02_5,False,,1,1,1.0,,d_nikke_anchor_02_7,,,1,idle,
d_nikke_anchor_02_6,d_nikke_anchor_02,Choice,,,Locale_NikkeEpisode:d_nikke_anchor_02_6,False,,1,1,1.0,,d_nikke_anchor_02_14,,,1,idle,
d_nikke_anchor_02_7,d_nikke_anchor_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anchor_02_7,False,,black,black,1.0,,,,,1,idle,
d_nikke_anchor_02_8,d_nikke_anchor_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anchor_02_8,False,,black,black,1.0,,,,,1,idle,
d_nikke_anchor_02_9,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_9,True,,1,S_10,2.0,,,,,1,surprise,
d_nikke_anchor_02_10,d_nikke_anchor_02,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_02_10,False,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_11,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_11,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_12,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_12,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_13,d_nikke_anchor_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anchor_02_13,False,,black,black,1.0,,d_nikke_anchor_02_26,,,1,surprise,
d_nikke_anchor_02_14,d_nikke_anchor_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anchor_02_14,False,,black,black,1.0,,,,,1,special,
d_nikke_anchor_02_15,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_15,True,,1,S_10,2.0,,,,,1,special,
d_nikke_anchor_02_16,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_16,True,,S_10,S_10,1.0,,,,,1,special,
d_nikke_anchor_02_17,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_17,True,,S_10,S_10,1.0,,,,,1,special,
d_nikke_anchor_02_18,d_nikke_anchor_02,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_anchor_02_18,False,,black,black,1.0,,,,,1,surprise,
d_nikke_anchor_02_19,d_nikke_anchor_02,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_02_19,False,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_20,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_20,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_21,d_nikke_anchor_02,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_02_21,False,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_22,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_22,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_23,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_23,True,,S_10,S_10,1.0,,,,,1,surprise,
d_nikke_anchor_02_24,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_24,True,,S_10,S_10,1.0,,,,,1,idle,
d_nikke_anchor_02_25,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_25,True,,S_10,S_10,1.0,,,,,1,idle,
d_nikke_anchor_02_26,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_26,True,,S_10,S_10,1.0,,,,,1,idle,
d_nikke_anchor_02_27,d_nikke_anchor_02,Speech,anchor,anchor,Locale_NikkeEpisode:d_nikke_anchor_02_27,True,,S_10,S_10,1.0,,,,,1,idle,
