id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_c_1_03_1,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_1,True,City_d,13,13,1.0,bgm_story_orangepop,,,,privaty,13,idle,,,,
d_nikke_c_1_03_2,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_2,True,,13,13,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_3,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_3,True,,13,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_4,d_nikke_c_1_03,Choice,privaty,,Locale_NikkeEpisode:d_nikke_c_1_03_4,False,,S_130,S_130,1.0,,d_nikke_c_1_03_6,,,,13,idle,,,,
d_nikke_c_1_03_5,d_nikke_c_1_03,Choice,privaty,,Locale_NikkeEpisode:d_nikke_c_1_03_5,False,,S_130,S_130,1.0,,d_nikke_c_1_03_7,,,,13,idle,,,,
d_nikke_c_1_03_6,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_6,True,,S_130,S_130,1.0,,d_nikke_c_1_03_10,,,,13,surprise,,,,
d_nikke_c_1_03_7,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_7,True,,S_130,S_130,1.0,,,,,,13,surprise,,,,
d_nikke_c_1_03_8,d_nikke_c_1_03,Self,privaty,,Locale_NikkeEpisode:d_nikke_c_1_03_8,False,,S_130,S_130,1.0,,,,,,13,surprise,,,,
d_nikke_c_1_03_9,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_9,True,,S_130,S_130,1.0,,d_nikke_c_1_03_10,,,,13,shy,,,,
d_nikke_c_1_03_10,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_10,True,,S_130,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_11,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_11,True,,S_130,S_1300,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_12,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_12,True,,S_1300,S_1300,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_13,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_13,True,,S_1300,S_1300,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_14,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_14,True,,S_1300,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_15,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_15,True,,S_130,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_16,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_16,True,,S_130,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_17,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_17,True,,S_130,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_18,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_18,True,,S_130,S_130,1.0,,,,,,13,idle,,,,
d_nikke_c_1_03_19,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_19,True,,S_130,S_1300,1.0,,,,,,13,delight,,,,
d_nikke_c_1_03_20,d_nikke_c_1_03,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_c_1_03_20,True,,S_1300,S_1300,1.0,,,,,,13,delight,,,,
