id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/0/hide_char_id,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_ade_05_1,d_nikke_ade_05,Narration,Locale_NikkeEpisode:d_nikke_ade_05_1,False,CommanderRoom_n,1,1,1.0,none,,,,,,,,,,,,,,
d_nikke_ade_05_2,d_nikke_ade_05,Narration,Locale_NikkeEpisode:d_nikke_ade_05_2,False,,1,1,1.0,,,,,,,,,,,,,,,
d_nikke_ade_05_3,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_3,True,,1,1,1.0,bgm_story_shapeofhope,ade,ade,ade,1,idle,,,,,,,,,
d_nikke_ade_05_4,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_4,True,,1,1,1.0,,ade,ade,,1,idle,,,,,,,,,
d_nikke_ade_05_5,d_nikke_ade_05,Self,Locale_NikkeEpisode:d_nikke_ade_05_5,False,,1,1,1.0,,ade,,,1,idle,,,,,,,,,
d_nikke_ade_05_6,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_6,True,,1,10,1.0,,ade,ade,,1,idle,,,,,,,,,
d_nikke_ade_05_7,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_7,True,,10,10,1.0,,ade,ade,,1,idle,,,,,,,,,
d_nikke_ade_05_8,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_8,True,,10,10,1.0,,ade,ade,,1,idle,,,,,,,,,
d_nikke_ade_05_9,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_9,True,,10,10,1.0,,ade,ade,,1,shy,,,,,,,,,
d_nikke_ade_05_10,d_nikke_ade_05,Speech,Locale_NikkeEpisode:d_nikke_ade_05_10,False,,10,10,1.0,,ade,ade,,1,shy,,,,,,,,,
