id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake
d_nikke_mast_04_1,d_nikke_mast_04,Narration,Locale_NikkeEpisode:d_nikke_mast_04_1,False,none,black,black,1.0,sfx_scn_pendrag,bgm_story_breakaway,,,,,,,,,,,,,,,,
d_nikke_mast_04_2,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,
d_nikke_mast_04_3,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_3,True,CommanderRoom,2,2,1.0,,,anis,anis,anis,3,void,rapi,1,idle,,,,,,,,
d_nikke_mast_04_4,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_4,True,,2,2,1.0,,,rapi,rapi,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_5,d_nikke_mast_04,Self,Locale_NikkeEpisode:d_nikke_mast_04_5,False,,2,2,1.0,,,,,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_6,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_6,True,,2,2,1.0,,,rapi,rapi,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_7,d_nikke_mast_04,Self,Locale_NikkeEpisode:d_nikke_mast_04_7,False,,2,2,1.0,,,,,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_8,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_8,True,,2,2,1.0,,,rapi,rapi,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_9,d_nikke_mast_04,Self,Locale_NikkeEpisode:d_nikke_mast_04_9,False,,2,2,1.0,,,,,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_10,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_10,True,,2,2,1.0,,,rapi,rapi,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_11,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_11,True,,2,2,1.0,,,anis,anis,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_12,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_12,True,,2,2,1.0,,,anis,anis,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_13,d_nikke_mast_04,Self,Locale_NikkeEpisode:d_nikke_mast_04_13,False,,2,2,1.0,,,,,,3,void,,1,idle,,,,,,,,
d_nikke_mast_04_14,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_14,False,NikkeRoom,black,black,1.0,,none,,,,3,void,,1,idle,anis,rapi,black,,,,,
d_nikke_mast_04_15,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_15,False,,1,1,1.0,,,,,mast,1,sad,,,,,,,,,,,
d_nikke_mast_04_16,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_16,False,,1,1,1.0,,bgm_story_tragedy,,,,1,sad,,,,,,,,,,,
d_nikke_mast_04_17,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_17,False,Corridor,1,7,1.0,,,,jackrowactor,,1,sad,,,,mast,,,,,,,
d_nikke_mast_04_18,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_18,False,,7,7,1.0,,,,jackrowactor,,,,,,,,,,,,,,
d_nikke_mast_04_19,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_19,False,,7,7,1.0,,,,jackrowactor,,,,,,,,,,,,,,
d_nikke_mast_04_20,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_20,False,NikkeRoom,7,1,1.0,,,,,mast,1,sad,,,,,,,,,,,
d_nikke_mast_04_21,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_21,False,,1,1,1.0,,,,,,1,sad,,,,,,,,,,,
d_nikke_mast_04_22,d_nikke_mast_04,Speech,Locale_NikkeEpisode:d_nikke_mast_04_22,True,,1,1,1.0,,,mast,mast,,1,sad,,,,,,,,,,,
d_nikke_mast_04_23,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_23,False,,1,10,1.0,,,,,,1,sad,,,,,,,,,,,
d_nikke_mast_04_24,d_nikke_mast_04,Monologue,Locale_NikkeEpisode:d_nikke_mast_04_24,False,,10,10,1.0,,,,,,1,sad,,,,,,,,,,,
