id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_poli_04_1,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_1,True,Library,6001,XS_10,2.0,bgm_story_tuffguys,,,,,poli,1,angry,,,,,
d_nikke_poli_04_2,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_2,True,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_3,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_3,False,,XS_10,XS_100,2.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_4,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_4,False,,XS_100,XS_100,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_5,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_5,True,,XS_100,XS_10,0.5,,,,,,,1,idle,,,,,
d_nikke_poli_04_6,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_6,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_7,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_7,True,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_8,d_nikke_poli_04,Self,poli,,Locale_NikkeEpisode:d_nikke_poli_04_8,False,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_poli_04_9,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_9,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_10,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_10,True,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,,
d_nikke_poli_04_11,d_nikke_poli_04,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_poli_04_11,True,,XS_10,XS_100,1.0,,,,,,,1,idle,,,,,
