id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,set_filter_01,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_noise_03_1,d_nikke_noise_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_noise_03_1,False,Backstreet,15,15,1.0,sfx_scn_emptywind,none,,,,,noise,1,idle
d_nikke_noise_03_2,d_nikke_noise_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_noise_03_2,False,,15,15,1.0,,,,,,,,1,idle
d_nikke_noise_03_3,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_3,False,,15,1,1.0,,,noise,,,,,1,idle
d_nikke_noise_03_4,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_4,True,,1,1,1.0,,,noise,,,,,1,idle
d_nikke_noise_03_5,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_5,False,,1,1,1.0,,,noise,,,,,1,idle
d_nikke_noise_03_6,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_6,True,,1,1,1.0,,,noise,,,,,1,idle
d_nikke_noise_03_7,d_nikke_noise_03,Self,Self,Locale_NikkeEpisode:d_nikke_noise_03_7,False,,1,1,1.0,,bgm_story_stormbreakers,,,,,,1,idle
d_nikke_noise_03_8,d_nikke_noise_03,Self,Self,Locale_NikkeEpisode:d_nikke_noise_03_8,False,,1,1,1.0,,,,,,,,1,idle
d_nikke_noise_03_9,d_nikke_noise_03,Self,Self,Locale_NikkeEpisode:d_nikke_noise_03_9,False,,1,1,1.0,,,,,,,,1,idle
d_nikke_noise_03_10,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_10,True,,1,10,1.0,,none,noise,,,,,1,angry
d_nikke_noise_03_11,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_11,True,,10,10,1.0,,,noise,,,,,1,angry
d_nikke_noise_03_12,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_12,True,,10,10,1.0,,,noise,,,,,1,angry
d_nikke_noise_03_13,d_nikke_noise_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_noise_03_13,False,CommanderRoom,black,black,1.0,,,,Grey,,,,1,angry
d_nikke_noise_03_14,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_14,True,,10,10,1.0,,bgm_story_whosdumber,noise,Grey,,,,1,idle
d_nikke_noise_03_15,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_15,True,,10,10,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_16,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_16,True,,10,10,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_17,d_nikke_noise_03,Choice,,Locale_NikkeEpisode:d_nikke_noise_03_17,False,,10,10,1.0,,,,Grey,d_nikke_noise_03_19,,,1,idle
d_nikke_noise_03_18,d_nikke_noise_03,Choice,,Locale_NikkeEpisode:d_nikke_noise_03_18,False,,10,10,1.0,,,,Grey,d_nikke_noise_03_19,,,1,idle
d_nikke_noise_03_19,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_19,True,,10,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_20,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_20,True,,100,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_21,d_nikke_noise_03,Self,Self,Locale_NikkeEpisode:d_nikke_noise_03_21,False,,100,100,1.0,,,,Grey,,,,1,idle
d_nikke_noise_03_22,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_22,True,,100,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_23,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_23,True,,100,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_24,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_24,True,,100,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_25,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_25,True,,100,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_26,d_nikke_noise_03,Speech,noise,Locale_NikkeEpisode:d_nikke_noise_03_26,True,,100,100,1.0,,,noise,Grey,,,,1,idle
d_nikke_noise_03_27,d_nikke_noise_03,Self,Self,Locale_NikkeEpisode:d_nikke_noise_03_27,False,,100,100,1.0,,,,Grey,,,,1,idle
