id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_maiden_icerose_05_1,d_nikke_maiden_icerose_05,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_1,False,RuinTechIndoor,6,6,1.0,bgm_story_sceneofmemory,,,,,maiden_w,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_2,d_nikke_maiden_icerose_05,Narration,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_2,False,,6,6,1.0,,sfx_scn_emptywind,,,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_3,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_3,False,,6,1,2.0,,,maiden_w,,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_4,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_4,False,,1,1,1.0,,,maiden_w,,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_5,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_5,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_6,d_nikke_maiden_icerose_05,Monologue,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_6,False,,1,1,1.0,,,maiden_w,,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_7,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_7,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_8,d_nikke_maiden_icerose_05,Monologue,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_8,False,,1,1,1.0,,,maiden_w,,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_9,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_9,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,worry,,,,,,,,
d_nikke_maiden_icerose_05_10,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_10,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,worry,,,,,,,,
d_nikke_maiden_icerose_05_11,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_11,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,worry,,,,,,,,
d_nikke_maiden_icerose_05_12,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_12,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,worry,,,,,,,,
d_nikke_maiden_icerose_05_13,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_13,False,,1,1,1.0,,,maiden_w,,,,1,worry,,,,,,,,
d_nikke_maiden_icerose_05_14,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_14,False,,1,1,1.0,,,maiden_w,,,,1,worry,,,,,,,,
d_nikke_maiden_icerose_05_15,d_nikke_maiden_icerose_05,Speech,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_15,True,,1,1,1.0,,,maiden_w,maiden_w,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_16,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_16,False,,1,1,1.0,,,maiden_w,,,,1,shy,,,,,,,,
d_nikke_maiden_icerose_05_17,d_nikke_maiden_icerose_05,Monologue,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_17,False,Sky_n,1,6,2.0,,,,,,,1,shy,maiden_w,,,,,,,
d_nikke_maiden_icerose_05_18,d_nikke_maiden_icerose_05,Monologue,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_18,False,,6,60,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_icerose_05_19,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_19,False,,60,60,1.0,,,,,,,,,,,,,,,,
d_nikke_maiden_icerose_05_20,d_nikke_maiden_icerose_05,Self,Locale_NikkeEpisode:d_nikke_maiden_icerose_05_20,False,,60,60,1.0,,,,,,,,,,,,,,,,
