id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,play_sound,fade,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_nikke_rupee_02_1,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_1,False,Cafe,1,1,1.0,bgm_story_kneeldownfools,,,,,,rupee,1,sad,,,,,
d_nikke_rupee_02_2,d_nikke_rupee_02,Choice,rupee,,Locale_NikkeEpisode:d_nikke_rupee_02_2,False,,1,1,1.0,,d_nikke_rupee_02_4,,,,,,1,sad,,,,,
d_nikke_rupee_02_3,d_nikke_rupee_02,Choice,rupee,,Locale_NikkeEpisode:d_nikke_rupee_02_3,False,,1,1,1.0,,d_nikke_rupee_02_12,,,,,,1,sad,,,,,
d_nikke_rupee_02_4,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_4,True,,1,1,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_5,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_5,True,,1,1,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_6,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_6,True,,1,1,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_7,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_7,True,,1,L_10,1.0,,,,,,,,1,shy,,,,,
d_nikke_rupee_02_8,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_8,True,,L_10,L_10,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_9,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_9,True,,L_10,L_10,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_10,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_10,True,,L_10,L_10,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_11,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_11,True,,L_10,L_10,1.0,,d_nikke_rupee_02_14,,,,,,1,idle,,,,,
d_nikke_rupee_02_12,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_12,True,,1,L_10,0.5,,,,,,,,1,surprise,,,,,
d_nikke_rupee_02_13,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_13,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_rupee_02_14,d_nikke_rupee_02,Self,rupee,Self,Locale_NikkeEpisode:d_nikke_rupee_02_14,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_rupee_02_15,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_15,True,,L_10,L_10,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_16,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_16,True,,L_10,L_10,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_17,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_17,True,,L_10,L_10,1.0,,,,,,,,1,sad,,,,,
d_nikke_rupee_02_18,d_nikke_rupee_02,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_rupee_02_18,True,,L_10,L_100,0.5,,,,,,,,1,sad,,,,,
