id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake
treasurestory_exia_01_1,treasurestory_exia_01,Speech,gamespeaker,gamespeaker,Locale_NikkeEpisode:treasurestory_exia_01_1,False,NikkeRoom,1,1,1.0,bgm_story_heynewbie,,,,,
treasurestory_exia_01_2,treasurestory_exia_01,Speech,gamespeaker,gamespeaker,Locale_NikkeEpisode:treasurestory_exia_01_2,False,,1,1,1.0,,sfx_scn_energecharge,,,,
treasurestory_exia_01_3,treasurestory_exia_01,Speech,gamespeaker,gamespeaker,Locale_NikkeEpisode:treasurestory_exia_01_3,False,,1,1,1.0,,sfx_scn_lasershot,,,,
treasurestory_exia_01_4,treasurestory_exia_01,Speech,gamespeaker,gamespeaker,Locale_NikkeEpisode:treasurestory_exia_01_4,False,,1,1,1.0,,sfx_scn_fanfare,,,,
treasurestory_exia_01_5,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_5,True,,1,S_10,1.0,,,exia,1,good,
treasurestory_exia_01_6,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_6,True,,S_10,S_10,1.0,,,,1,good,
treasurestory_exia_01_7,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_7,True,,S_10,S_10,1.0,,,,1,good,
treasurestory_exia_01_8,treasurestory_exia_01,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_01_8,False,,S_10,S_10,1.0,,,,1,good,
treasurestory_exia_01_9,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_9,True,,S_10,S_100,1.0,,,,1,delight,
treasurestory_exia_01_10,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_10,True,,S_100,S_100,1.0,,,,1,delight,
treasurestory_exia_01_11,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_11,True,,S_100,S_100,1.0,,,,1,delight,
treasurestory_exia_01_12,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_12,True,,S_100,S_100,1.0,,,,1,delight,
treasurestory_exia_01_13,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_13,True,,S_100,S_10,1.0,,,,1,idle,
treasurestory_exia_01_14,treasurestory_exia_01,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_01_14,True,,S_10,S_10,1.0,,,,1,idle,
treasurestory_exia_01_15,treasurestory_exia_01,Narration,,,Locale_NikkeEpisode:treasurestory_exia_01_15,False,,S_10,S_10,1.0,none,,,1,idle,
treasurestory_exia_01_16,treasurestory_exia_01,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_01_16,False,,S_10,S_10,1.0,,,,1,idle,
treasurestory_exia_01_17,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_17,True,,S_10,S_10,1.0,,,,1,surprise,
treasurestory_exia_01_18,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_18,True,,S_10,S_10,1.0,,,,1,surprise,
treasurestory_exia_01_19,treasurestory_exia_01,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_01_19,True,,S_10,S_10,1.0,,,,1,surprise,
treasurestory_exia_01_20,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_20,False,,S_10,S_10,1.0,,,,1,surprise,
treasurestory_exia_01_21,treasurestory_exia_01,Monologue,,,Locale_NikkeEpisode:treasurestory_exia_01_21,False,,S_10,S_10,1.0,,,,1,surprise,
treasurestory_exia_01_22,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_22,False,,S_10,S_10,1.0,bgm_emergency,,,1,sad,Low_2
treasurestory_exia_01_23,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_23,True,,S_10,S_100,0.7,,,,1,sad,
treasurestory_exia_01_24,treasurestory_exia_01,Speech,exia,exia,Locale_NikkeEpisode:treasurestory_exia_01_24,True,,S_100,S_100,1.0,,,,1,sad,
