id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,conversation_id,play_sound,set_filter_01
d_nikke_centi_05_1,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_1,True,centi,1,angry,Restaurant,1,L_10,2.0,bgm_story_fairytalesend_if,,,,,,,,,,
d_nikke_centi_05_2,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_2,True,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_centi_05_3,d_nikke_centi_05,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_05_3,False,,1,angry,,L_10,L_10,1.0,,d_nikke_centi_05_5,,,,,,,,,
d_nikke_centi_05_4,d_nikke_centi_05,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_05_4,False,,1,angry,,L_10,L_10,1.0,,d_nikke_centi_05_6,,,,,,,,,
d_nikke_centi_05_5,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_5,True,,1,surprise,,L_10,L_10,1.0,,d_nikke_centi_05_7,,,,,,,,,
d_nikke_centi_05_6,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_6,True,,1,surprise,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_centi_05_7,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_7,True,,1,surprise,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_centi_05_8,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_8,True,,1,angry,,L_10,1,2.0,,,,,,,,,,,
d_nikke_centi_05_9,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_9,True,,1,angry,,1,1,1.0,,,,,,,,,,,
d_nikke_centi_05_10,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_10,True,,1,angry,,1,1,1.0,,,,,,,,,,,
d_nikke_centi_05_11,d_nikke_centi_05,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_05_11,False,,1,angry,,1,1,1.0,,,,,,,,,,,
d_nikke_centi_05_12,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_12,True,,1,angry,,1,L_10,2.0,,,,,,,,,,,
d_nikke_centi_05_13,d_nikke_centi_05,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_05_13,True,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,
