id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,set_filter_01,set_filter_02,fade,characters/0/hide_char_id
d_nikke_yulha_03_1,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_1,False,Storage,5,1,1.0,bgm_story_breakaway,,,,,,,,,,,,,
d_nikke_yulha_03_2,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_2,False,,1,1,1.0,,,,,,,,,,,,,,
d_nikke_yulha_03_3,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_3,False,,1,S_10,0.5,,,,,,,,,,,,,,
d_nikke_yulha_03_4,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_4,True,,S_10,S_150,2.0,none,papillon,papillon,papillon,15,delight,,,,,,,,
d_nikke_yulha_03_5,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_5,True,,S_150,S_150,1.0,,papillon,papillon,,15,idle,,,,,,,,
d_nikke_yulha_03_6,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_6,False,,S_150,S_130,1.0,,papillon,,,15,idle,,,,,,,,
d_nikke_yulha_03_7,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_7,True,,S_130,S_130,1.0,bgm_story_kneeldownfools,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_8,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_8,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_9,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_9,True,,S_130,S_1300,1.0,,papillon,papillon,,13,delight,,,,,,,,
d_nikke_yulha_03_10,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_10,False,,S_1300,S_1300,1.0,,papillon,,,13,delight,,,,,,,,
d_nikke_yulha_03_11,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_11,True,,S_1300,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_12,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_12,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_13,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_13,True,,S_130,S_130,1.0,,papillon,papillon,,13,surprise,,,,,,,,
d_nikke_yulha_03_14,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_14,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_15,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_15,False,,S_130,S_130,1.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_16,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_16,True,,S_130,S_130,1.0,,papillon,papillon,,13,delight,,,,,,,,
d_nikke_yulha_03_17,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_17,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_18,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_18,False,,S_130,S_130,1.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_19,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_19,True,,S_130,S_130,1.0,,papillon,papillon,,13,angry,,,,,,,,
d_nikke_yulha_03_20,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_20,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_21,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_21,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_22,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_22,False,,S_130,S_130,1.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_23,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_23,True,,S_130,S_130,1.0,,papillon,papillon,,13,surprise,,,,,,,,
d_nikke_yulha_03_24,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_24,True,,S_130,S_130,1.0,,papillon,papillon,,13,angry,,,,,,,,
d_nikke_yulha_03_25,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_25,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_26,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_26,False,,S_130,S_1300,2.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_27,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_27,True,,S_1300,S_1300,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_28,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_28,False,,S_1300,S_1300,1.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_29,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_29,False,,S_1300,S_1300,1.0,,papillon,papillon,,13,think,,,,,,,,
d_nikke_yulha_03_30,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_30,True,,S_1300,13,2.0,,papillon,papillon,,13,delight,,,,,,,,
d_nikke_yulha_03_31,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_31,True,,13,13,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_32,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_32,False,,13,13,1.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_33,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_33,True,,13,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_34,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_34,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_35,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_35,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_36,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_36,False,,S_130,S_130,1.0,,papillon,,,13,idle,,,,,,,,
d_nikke_yulha_03_37,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_37,True,,S_130,S_130,1.0,,papillon,papillon,,13,delight,,,,,,,,
d_nikke_yulha_03_38,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_38,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,,,,,,,
d_nikke_yulha_03_39,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_39,True,,S_130,L_30,2.0,,papillon,papillon,,13,idle,yulha,3,idle,,,,,
d_nikke_yulha_03_40,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_40,False,,L_30,L_30,1.0,,yulha,,,13,idle,,3,idle,,,,,
d_nikke_yulha_03_41,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_41,True,,L_30,12,1.0,,yulha,yulha,,13,idle,,1,angry,,,,,
d_nikke_yulha_03_42,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_42,True,,12,12,1.0,,papillon,papillon,,13,delight,,1,angry,,,,,
d_nikke_yulha_03_43,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_43,True,,12,12,1.0,,papillon,papillon,,13,idle,,1,angry,,,,,
d_nikke_yulha_03_44,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_44,True,,12,12,1.0,,yulha,yulha,,13,idle,,1,angry,,,,,
d_nikke_yulha_03_45,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_45,True,,12,S_130,1.0,,papillon,papillon,,13,idle,,1,angry,,,,,
d_nikke_yulha_03_46,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_46,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,1,angry,,,,,
d_nikke_yulha_03_47,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_47,True,,L_10,L_10,1.0,,yulha,yulha,,13,idle,,1,angry,,,,,
d_nikke_yulha_03_48,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_48,True,,S_130,S_130,1.0,,papillon,papillon,,13,idle,,1,idle,,,,,
d_nikke_yulha_03_49,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_49,True,,S_130,12,1.0,,yulha,yulha,,13,idle,,1,idle,,,,,
d_nikke_yulha_03_50,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_50,True,,12,12,1.0,,papillon,papillon,,13,angry,,1,idle,,,,,
d_nikke_yulha_03_51,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_51,True,,12,12,1.0,,papillon,papillon,,13,angry,,1,idle,,,,,
d_nikke_yulha_03_52,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_52,True,,12,12,1.0,,yulha,yulha,,13,angry,,1,idle,,,,,
d_nikke_yulha_03_53,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_53,True,,12,12,1.0,,yulha,yulha,,13,angry,,1,idle,,,,,
d_nikke_yulha_03_54,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_54,False,,12,S_130,2.0,,papillon,papillon,,13,angry,,1,idle,,,,,
d_nikke_yulha_03_55,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_55,True,,S_130,S_130,1.0,,papillon,papillon,,13,angry,,1,idle,,,,,
d_nikke_yulha_03_56,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_56,False,,S_130,1,1.0,none,papillon,,,13,angry,,1,idle,papillon,,,,
d_nikke_yulha_03_57,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_57,True,,1,1,1.0,,yulha,yulha,,,,,1,sad,,,,,
d_nikke_yulha_03_58,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_58,False,,1,1,1.0,,yulha,,,,,,1,sad,,,,,
d_nikke_yulha_03_59,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_59,True,,1,L_10,1.0,,yulha,yulha,,,,,1,idle,,,,,
d_nikke_yulha_03_60,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_60,True,,L_10,L_10,1.0,,yulha,yulha,,,,,1,idle,,,,,
d_nikke_yulha_03_61,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_61,True,,L_10,L_10,1.0,,yulha,yulha,,,,,1,idle,,,,,
d_nikke_yulha_03_62,d_nikke_yulha_03,Monologue,Locale_NikkeEpisode:d_nikke_yulha_03_62,False,Bar,black,black,1.0,,yulha,,,,,,1,idle,,Grey,Blur_Middle,,
d_nikke_yulha_03_63,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_63,True,,L_10,L_10,1.0,bgm_story_epicjazzymoods,yulha,yulha,,,,,1,sad,,Grey,Blur_Middle,,
d_nikke_yulha_03_64,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_64,True,,L_10,L_10,1.0,,yulha,yulha,,,,,1,sad,,Grey,Blur_Middle,,
d_nikke_yulha_03_65,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_65,True,,L_10,L_10,1.0,,yulha,yulha,,,,,1,sad,,Grey,Blur_Middle,,
d_nikke_yulha_03_66,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_66,False,,L_10,L_10,1.0,,yulha,,,,,,1,sad,,Grey,Blur_Middle,,
d_nikke_yulha_03_67,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_67,True,,L_10,L_10,1.0,,yulha,yulha,,,,,1,angry,,Grey,Blur_Middle,,
d_nikke_yulha_03_68,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_68,False,,L_10,L_10,1.0,,yulha,,,,,,1,angry,,Grey,Blur_Middle,,
d_nikke_yulha_03_69,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_69,True,Storage,black,black,1.0,none,yulha,yulha,,,,,1,shy,,Grey,Blur_Middle,,
d_nikke_yulha_03_70,d_nikke_yulha_03,Self,Locale_NikkeEpisode:d_nikke_yulha_03_70,False,,L_10,L_10,1.0,,yulha,,,,,,1,idle,,,,,
d_nikke_yulha_03_71,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_71,True,,L_10,L_100,2.0,,yulha,yulha,,,,,1,angry,,,,,
d_nikke_yulha_03_72,d_nikke_yulha_03,Speech,Locale_NikkeEpisode:d_nikke_yulha_03_72,True,,L_100,L_100,1.0,,yulha,yulha,,,,,1,angry,,,,,
