id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_zwei_05_1,d_nikke_zwei_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_05_1,True,zwei,13,surprise,yulha,1,idle,Office,12,12,1.0,bgm_story_breakaway,,,,,,,,,
d_nikke_zwei_05_2,d_nikke_zwei_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_05_2,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_3,d_nikke_zwei_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_05_3,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_4,d_nikke_zwei_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_05_4,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_5,d_nikke_zwei_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_05_5,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_6,d_nikke_zwei_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_05_6,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_7,d_nikke_zwei_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_05_7,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_8,d_nikke_zwei_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_05_8,True,,13,shy,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_9,d_nikke_zwei_05,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_05_9,True,,13,shy,,1,idle,,12,12,1.0,,,,,,,,,,
d_nikke_zwei_05_10,d_nikke_zwei_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_05_10,True,,13,shy,,1,idle,,12,12,1.0,,,,,,,,,,
