id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_clay_04_1,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_1,False,City_d,10,10,1.0,bgm_story_orangepop,,,,,clay,1,idle,,,,,,,
d_nikke_clay_04_2,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_2,True,,10,10,1.0,,clay,clay,,,,1,delight,,,,,,,
d_nikke_clay_04_3,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_3,True,,10,10,1.0,,clay,clay,,,,1,sad,,,,,,,
d_nikke_clay_04_4,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_4,False,,10,10,1.0,,,,,,,1,sad,,,,,,,
d_nikke_clay_04_5,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_5,True,,10,10,1.0,,clay,clay,,,,1,sad,,,,,,,
d_nikke_clay_04_6,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_6,True,,10,10,1.0,,clay,clay,,,,1,sad,,,,,,,
d_nikke_clay_04_7,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_7,True,,10,10,1.0,,clay,clay,,,,1,sad,,,,,,,
d_nikke_clay_04_8,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_8,False,,10,10,1.0,,,,,,,1,sad,,,,,,,
d_nikke_clay_04_9,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_9,False,,10,10,1.0,,,,,,,1,sad,,,,,,,
d_nikke_clay_04_10,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_10,True,,10,10,1.0,,clay,clay,,,,1,delight,,,,,,,
d_nikke_clay_04_11,d_nikke_clay_04,Narration,Locale_NikkeEpisode:d_nikke_clay_04_11,False,CommanderRoom,black,black,1.0,none,,,sfx_scn_autodooropen,,,1,delight,clay,,,,,,
d_nikke_clay_04_12,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_12,True,,10,10,1.0,bgm_story_whosdumber,anis,anis,,,,,,,anis,1,idle,neon,13,idle
d_nikke_clay_04_13,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_13,True,,10,10,1.0,,anis,anis,,,,,,,,1,idle,,13,idle
d_nikke_clay_04_14,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_14,True,,10,S_130,1.0,,neon,neon,,,,,,,,1,idle,,13,idle
d_nikke_clay_04_15,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_15,True,,S_130,S_130,1.0,,neon,neon,,,,,,,,1,idle,,13,idle
d_nikke_clay_04_16,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_16,True,,S_130,S_1300,1.0,,neon,neon,,,,,,,,1,idle,,13,no
d_nikke_clay_04_17,d_nikke_clay_04,Monologue,Locale_NikkeEpisode:d_nikke_clay_04_17,True,,S_1300,12,1.0,,neon,,,,,,,,,1,idle,,13,no
d_nikke_clay_04_18,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_18,True,,12,12,1.0,,neon,neon,,,,,,,,1,idle,,13,surprise
d_nikke_clay_04_19,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_19,True,,3,30,1.0,,clay,clay,,,clay,3,idle,,,1,idle,,13,surprise
d_nikke_clay_04_20,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_20,True,,30,2,1.0,,anis,anis,,,,3,idle,,,1,idle,,13,surprise
d_nikke_clay_04_21,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_21,True,,2,12,1.0,,neon,neon,,,,3,idle,,,1,idle,,13,delight
d_nikke_clay_04_22,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_22,True,,12,2,1.0,,clay,clay,,,,3,delight,,,1,idle,,13,delight
d_nikke_clay_04_23,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_23,True,,2,2,1.0,,anis,anis,,,,3,delight,,,1,idle,,13,delight
d_nikke_clay_04_24,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_24,True,,2,2,1.0,,clay,clay,,,,3,delight,,,1,idle,,13,delight
d_nikke_clay_04_25,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_25,True,,2,2,1.0,,anis,anis,,,,3,delight,,,1,no,,13,delight
d_nikke_clay_04_26,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_26,True,,2,S_130,1.0,,neon,neon,,,,3,delight,,,1,no,,13,no
d_nikke_clay_04_27,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_27,False,,S_130,2,1.0,,neon,,,,,3,delight,,,1,no,,13,no
d_nikke_clay_04_28,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_28,True,,2,2,1.0,,clay,clay,,,,3,delight,,,1,no,,13,no
d_nikke_clay_04_29,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_29,True,,2,2,1.0,,anis,anis,,Low_2,,3,delight,,,1,angry,,13,no
d_nikke_clay_04_30,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_30,True,,2,S_130,1.0,,neon,neon,,,,3,delight,,,1,angry,,13,no
d_nikke_clay_04_31,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_31,False,,S_130,S_130,1.0,,neon,,,,,3,delight,,,1,angry,,13,no
d_nikke_clay_04_32,d_nikke_clay_04,Monologue,Locale_NikkeEpisode:d_nikke_clay_04_32,False,,black,black,1.0,,neon,,,,,3,delight,,,1,angry,,13,no
d_nikke_clay_04_33,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_33,False,,2,2,1.0,,anis,anis,,,,3,idle,,,1,void,,13,idle
d_nikke_clay_04_34,d_nikke_clay_04,Self,Locale_NikkeEpisode:d_nikke_clay_04_34,False,,2,2,1.0,,anis,,,,,3,idle,,,1,void,,13,idle
d_nikke_clay_04_35,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_35,True,,2,2,1.0,,clay,clay,,,,3,idle,,,1,void,,13,idle
d_nikke_clay_04_36,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_36,True,,2,2,1.0,,anis,anis,,,,3,idle,,,1,delight,,13,idle
d_nikke_clay_04_37,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_37,True,,2,12,1.0,,neon,neon,,,,3,idle,,,1,delight,,13,idle
d_nikke_clay_04_38,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_38,True,,12,12,1.0,,anis,anis,,,,3,idle,,,1,sad,,13,idle
d_nikke_clay_04_39,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_39,True,,12,12,1.0,,neon,neon,,,,3,idle,,,1,sad,,13,angry
d_nikke_clay_04_40,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_40,True,,12,2,1.0,,anis,anis,,,,3,idle,,,1,idle,,13,angry
d_nikke_clay_04_41,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_41,True,,2,30,1.0,,clay,clay,,,,3,surprise,,,1,idle,,13,angry
d_nikke_clay_04_42,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_42,True,,10,10,1.0,,anis,anis,,,,3,surprise,,,1,no,,13,angry
d_nikke_clay_04_43,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_43,True,,S_130,S_130,1.0,,neon,neon,,,,3,surprise,,,1,no,,13,surprise
d_nikke_clay_04_44,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_44,False,,S_130,10,1.0,,anis,anis,,,,3,surprise,,,1,sad,,13,surprise
d_nikke_clay_04_45,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_45,True,,10,2,1.0,,anis,anis,,,,3,surprise,,,1,idle,,13,idle
d_nikke_clay_04_46,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_46,True,,2,2,1.0,,anis,anis,,,,3,surprise,,,1,idle,,13,idle
d_nikke_clay_04_47,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_47,True,,2,2,1.0,,clay,clay,,,,3,idle,,,1,idle,,13,idle
d_nikke_clay_04_48,d_nikke_clay_04,Monologue,Locale_NikkeEpisode:d_nikke_clay_04_48,True,,black,black,1.0,,clay,,,,,3,idle,,,1,idle,,13,idle
d_nikke_clay_04_49,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_49,True,,2,2,1.0,,anis,anis,,,,3,idle,,,1,idle,,13,idle
d_nikke_clay_04_50,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_50,True,,2,2,1.0,,anis,anis,,,,3,idle,,,1,idle,,13,idle
d_nikke_clay_04_51,d_nikke_clay_04,Monologue,Locale_NikkeEpisode:d_nikke_clay_04_51,False,,2,2,1.0,,anis,,,,,3,idle,,,1,idle,,13,idle
d_nikke_clay_04_52,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_52,True,,2,30,1.0,,clay,clay,,Low_2,,3,worry,,,1,idle,,13,idle
d_nikke_clay_04_53,d_nikke_clay_04,Speech,Locale_NikkeEpisode:d_nikke_clay_04_53,True,,30,2,1.0,,anis,anis,,,,3,worry,,,1,idle,,13,idle
