id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_camera_shake,fade,jump_target
d_nikke_rapunzel_02_1,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_1,True,rapunzel,1,idle,Desert_01,1,1,1.0,bgm_distress,,,,,,,,,,
d_nikke_rapunzel_02_2,d_nikke_rapunzel_02,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_02_2,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_3,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_3,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_4,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_4,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_5,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_5,True,,1,shy,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_6,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_6,True,,1,shy,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_7,d_nikke_rapunzel_02,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_02_7,False,,1,shy,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_8,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_8,True,,1,delight,,1,10,2.0,,,,,,,,,,,
d_nikke_rapunzel_02_9,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_9,True,,1,delight,,10,10,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_10,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_10,True,,1,delight,,10,10,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_11,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_11,True,,1,pain,,10,10,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_12,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_12,True,,1,pain,,10,10,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_13,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_13,True,,1,pain,,10,10,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_14,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_14,True,,1,pain,,10,100,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_15,d_nikke_rapunzel_02,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_02_15,False,,1,pain,,100,100,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_16,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_16,True,,1,pain,,100,100,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_17,d_nikke_rapunzel_02,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_02_17,False,,1,pain,,100,100,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_18,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_18,True,,1,shy,,100,1,2.0,,,,,,,,,,,
d_nikke_rapunzel_02_19,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_19,True,,1,delight,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_20,d_nikke_rapunzel_02,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_02_20,False,,1,delight,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_21,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_21,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_22,d_nikke_rapunzel_02,Narration,rapunzel,Narration,Locale_NikkeEpisode:d_nikke_rapunzel_02_22,False,,1,idle,Desert_03,black,black,1.0,,rapunzel,,,,,,,,,
d_nikke_rapunzel_02_23,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_23,True,rapunzel,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_24,d_nikke_rapunzel_02,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_02_24,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_25,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_25,True,,1,delight,,1,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_26,d_nikke_rapunzel_02,Narration,rapunzel,Narration,Locale_NikkeEpisode:d_nikke_rapunzel_02_26,False,,1,delight,,1,2,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_27,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_27,True,,1,idle,,2,12,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_28,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_28,True,,1,idle,,12,1,1.0,,,,,,,,,,,
d_nikke_rapunzel_02_29,d_nikke_rapunzel_02,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_02_29,True,,1,idle,,1,1,1.0,,,,,,,,,,,
