id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_rumani_04_1,d_nikke_rumani_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_04_1,True,Park,6,6,1.0,none,,,anis,7,idle,,rapi,5,idle,,neon,3,idle,,,,,
d_nikke_rumani_04_2,d_nikke_rumani_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_04_2,True,,6,6,1.0,bgm_story_onlineshopping,,,,7,idle,,,5,idle,,,3,idle,,,,,
d_nikke_rumani_04_3,d_nikke_rumani_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_04_3,True,,6,6,1.0,,,,,7,void,,,5,idle,,,3,idle,,,,,
d_nikke_rumani_04_4,d_nikke_rumani_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_04_4,True,,6,6,1.0,,,,,7,void,,,5,idle,,,3,idle,,,,,
d_nikke_rumani_04_5,d_nikke_rumani_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_04_5,True,,6,6,1.0,,,,,7,void,,,5,idle,,,3,idle,,,,,
d_nikke_rumani_04_6,d_nikke_rumani_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_04_6,True,,6,6,1.0,,,,,7,void,,,5,think,,,3,idle,,,,,
d_nikke_rumani_04_7,d_nikke_rumani_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_04_7,True,,6,6,1.0,,,,,7,no,,,5,think,,,3,idle,,,,,
d_nikke_rumani_04_8,d_nikke_rumani_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rumani_04_8,True,,6,4,1.0,,,,,7,no,,,5,think,,,3,idle,,,,,
d_nikke_rumani_04_9,d_nikke_rumani_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_04_9,True,,4,4,1.0,,,,,7,no,,,5,idle,,,3,idle,,,,,
d_nikke_rumani_04_10,d_nikke_rumani_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_04_10,True,,70,70,1.0,,,,,7,idle,,,5,idle,,,3,idle,,,,,
