id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_c_2_03_1,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_1,True,OutpostOut,113,113,1.0,bgm_story_orangepop,,,,,drake,1,idle,c_2,13,sad,,,,
d_nikke_c_2_03_2,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_2,True,,113,113,1.0,,,,,,,1,idle,,13,sad,,,,
d_nikke_c_2_03_3,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_3,True,,113,113,1.0,,,,,,,1,idle,,13,sad,,,,
d_nikke_c_2_03_4,d_nikke_c_2_03,Self,,,Locale_NikkeEpisode:d_nikke_c_2_03_4,False,,113,113,1.0,,,,,,,1,idle,,13,sad,,,,
d_nikke_c_2_03_5,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_5,True,,113,113,1.0,,,,,,,1,angry,,13,sad,,,,
d_nikke_c_2_03_6,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_6,True,,113,113,1.0,,,,,,,1,idle,,13,sad,,,,
d_nikke_c_2_03_7,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_7,True,,113,113,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_8,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_8,True,,113,113,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_9,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_9,True,,113,113,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_10,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_10,True,,113,113,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_11,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_11,False,,113,1,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_12,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_12,True,,1,100,1.0,,,,,,,1,delight,,13,smile,,,,
d_nikke_c_2_03_13,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_13,True,,100,100,1.0,,,,,,,1,delight,,13,smile,,,,
d_nikke_c_2_03_14,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_14,True,,1300,1300,1.0,,,,,,,1,delight,,13,smile,,,,
d_nikke_c_2_03_15,d_nikke_c_2_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_c_2_03_15,True,,100,100,1.0,,,,,,,1,delight,,13,smile,,,,
d_nikke_c_2_03_16,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_16,True,,1300,1300,1.0,,,,,,,1,delight,,13,smile,,,,
d_nikke_c_2_03_17,d_nikke_c_2_03,Self,,,Locale_NikkeEpisode:d_nikke_c_2_03_17,False,,1300,1300,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_18,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_18,True,,1300,130,1.0,,,,,,,1,idle,,13,smile,,,,
d_nikke_c_2_03_19,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_19,True,,130,130,1.0,,,,,,,1,idle,,13,sad,,,,
d_nikke_c_2_03_20,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_20,True,,130,130,1.0,,,,,,,1,idle,,13,sad,,,,
d_nikke_c_2_03_21,d_nikke_c_2_03,Narration,,,Locale_NikkeEpisode:d_nikke_c_2_03_21,False,Armory,black,black,1.0,none,sfx_scn_bang,,,,,1,idle,,13,sad,eunhwa,15,angry,
d_nikke_c_2_03_22,d_nikke_c_2_03,Narration,,,Locale_NikkeEpisode:d_nikke_c_2_03_22,False,,1315,1315,1.0,,sfx_scn_aim,,,,,1,idle,,13,sad,,15,angry,
d_nikke_c_2_03_23,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_23,False,,1315,1315,1.0,bgm_story_fairytalesend_if,,,,,,1,idle,,13,no,,15,angry,
d_nikke_c_2_03_24,d_nikke_c_2_03,Monologue,,,Locale_NikkeEpisode:d_nikke_c_2_03_24,False,,1315,1315,1.0,,,,,,,1,idle,,13,no,,15,angry,
d_nikke_c_2_03_25,d_nikke_c_2_03,Speech,c_2,c_2,Locale_NikkeEpisode:d_nikke_c_2_03_25,True,,1315,1315,1.0,,,,,,,1,idle,,13,no,,15,angry,
