id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_ce006_03_04_1,d_nikke_ce006_03_04,Narration,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_1,False,ce006_03,1,special,elegg,13,idle,artcity_d,black,black,1.0,sfx_scn_drillrapture,bgm_chapter37_field_swarmnest,,,,
d_nikke_ce006_03_04_2,d_nikke_ce006_03_04,Narration,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_2,False,,1,special,,13,idle,,black,black,1.0,sfx_scn_metalpartsassemble,,,,,
d_nikke_ce006_03_04_3,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_3,True,,1,special,,13,idle,,S_1300,S_130,1.3,,,elegg,,,
d_nikke_ce006_03_04_4,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_4,True,,1,special,,13,idle,,S_130,S_130,1.0,,,elegg,,,
d_nikke_ce006_03_04_5,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_5,True,,1,special,,13,idle,,S_130,S_130,1.0,,,elegg,,,
d_nikke_ce006_03_04_6,d_nikke_ce006_03_04,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_04_6,True,,1,no,,13,idle,,S_130,12,1.3,,,ce006_03,,,
d_nikke_ce006_03_04_7,d_nikke_ce006_03_04,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_04_7,True,,1,no,,13,idle,,12,12,1.0,,,ce006_03,,,
d_nikke_ce006_03_04_8,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_8,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_9,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_9,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_10,d_nikke_ce006_03_04,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_04_10,True,,1,no,,13,idle,,12,12,1.0,,,ce006_03,,,
d_nikke_ce006_03_04_11,d_nikke_ce006_03_04,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_04_11,True,,1,no,,13,idle,,12,12,1.0,,,ce006_03,,,
d_nikke_ce006_03_04_12,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_12,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_13,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_13,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_14,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_14,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_15,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_15,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_16,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_16,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_17,d_nikke_ce006_03_04,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_04_17,True,,1,no,,13,idle,,12,12,1.0,,,elegg,,,
d_nikke_ce006_03_04_18,d_nikke_ce006_03_04,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_04_18,True,,1,special,,13,idle,,12,12,1.0,,,ce006_03,,,
