id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,fade,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,jump_target,effects/0/stop_effect_id,characters/0/hide_char_id
d_nikke_rupee_03_1,d_nikke_rupee_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_03_1,False,CommanderRoom,m_nikke_rupee_03_01,1,1,1.0,sfx_scn_phonevibration,bgm_story_whosdumber,,,,,,,,,,,
d_nikke_rupee_03_2,d_nikke_rupee_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_03_2,False,,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rupee_03_3,d_nikke_rupee_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_rupee_03_3,False,,,1,1,1.0,,,,,,,,,,,,,
d_nikke_rupee_03_4,d_nikke_rupee_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_rupee_03_4,False,RoyalRoad,,5,1,2.0,,bgm_story_sundayintheark,black,,,,,,,,,,
d_nikke_rupee_03_5,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_5,True,,,1,1,1.0,,,,rupee,rupee,1,idle,fx_Eventscene_camera_recording,rec,True,,,
d_nikke_rupee_03_6,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_6,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_7,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_7,True,,,1,1,1.0,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_8,d_nikke_rupee_03,Speech,rupee,Locale_NikkeEpisode:d_nikke_rupee_03_8,True,,,1,L_10,0.5,,,,rupee,,1,idle,,,,,,
d_nikke_rupee_03_9,d_nikke_rupee_03,Choice,,Locale_NikkeEpisode:d_nikke_rupee_03_9,False,,,L_10,L_10,1.0,,,,rupee,,1,idle,,,,d_nikke_rupee_03_11,,
d_nikke_rupee_03_10,d_nikke_rupee_03,Choice,,Locale_NikkeEpisode:d_nikke_rupee_03_10,False,,,L_10,L_10,1.0,,,,rupee,,1,idle,,,,d_nikke_rupee_03_13,,
