id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade
d_nikke_zwei_03_1,d_nikke_zwei_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_03_1,True,zwei,13,surprise,yulha,1,idle,Office,12,12,1.0,bgm_story_tuffguys,,,,,,,
d_nikke_zwei_03_2,d_nikke_zwei_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_03_2,True,,13,surprise,,1,idle,,12,12,1.0,,,,,,,,
d_nikke_zwei_03_3,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_3,True,,13,surprise,,1,idle,,12,L_10,1.0,,,,,,,,
d_nikke_zwei_03_4,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_4,True,,13,surprise,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_zwei_03_5,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_5,True,,13,surprise,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_zwei_03_6,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_6,True,,13,surprise,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_zwei_03_7,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_7,True,,13,surprise,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_zwei_03_8,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_8,True,,13,surprise,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_zwei_03_9,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_9,True,,13,surprise,,1,idle,,L_10,L_10,1.0,,,,,,,,
d_nikke_zwei_03_10,d_nikke_zwei_03,Speech,zwei,zwei,Locale_NikkeEpisode:d_nikke_zwei_03_10,True,,13,angry,,1,idle,,L_10,12,1.0,,,,,,,,
d_nikke_zwei_03_11,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_11,True,,13,angry,,1,idle,,12,12,1.0,,,,,,,,
d_nikke_zwei_03_12,d_nikke_zwei_03,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_zwei_03_12,True,,13,angry,,1,idle,,12,12,1.0,,,,,,,,
d_nikke_zwei_03_13,d_nikke_zwei_03,Narration,yulha,,Locale_NikkeEpisode:d_nikke_zwei_03_13,False,,13,angry,,1,idle,,12,L_10,1.0,,,,,,,,
