id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_nikke_alice_wonderlandbunny_03_1,d_nikke_alice_wonderlandbunny_03,Narration,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_1,False,alice,13,idle,soda,1,idle,ClothingStore,4,12,1.0,bgm_story_girlstalk,,,,
d_nikke_alice_wonderlandbunny_03_2,d_nikke_alice_wonderlandbunny_03,Narration,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_2,False,,13,idle,,1,idle,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_3,d_nikke_alice_wonderlandbunny_03,Self,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_3,False,,13,idle,,1,idle,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_4,d_nikke_alice_wonderlandbunny_03,Speech,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_4,True,,13,idle,,1,idle,,12,12,1.0,,alice,,,
d_nikke_alice_wonderlandbunny_03_5,d_nikke_alice_wonderlandbunny_03,Self,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_5,False,,13,idle,,1,idle,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_6,d_nikke_alice_wonderlandbunny_03,Self,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_6,False,,13,idle,,1,idle,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_7,d_nikke_alice_wonderlandbunny_03,Speech,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_7,True,,13,delight,,1,idle,,12,12,1.0,,alice,,,
d_nikke_alice_wonderlandbunny_03_8,d_nikke_alice_wonderlandbunny_03,Speech,alice,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_8,True,,13,delight,,1,idle,,12,12,1.0,,alice,,,
d_nikke_alice_wonderlandbunny_03_9,d_nikke_alice_wonderlandbunny_03,Speech,soda,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_9,True,,13,delight,,1,shy,,12,12,1.0,,soda,,,
d_nikke_alice_wonderlandbunny_03_10,d_nikke_alice_wonderlandbunny_03,Speech,soda,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_10,True,,13,delight,,1,shy,,12,12,1.0,,soda,,,
d_nikke_alice_wonderlandbunny_03_11,d_nikke_alice_wonderlandbunny_03,Speech,soda,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_11,True,,13,delight,,1,shy,,12,12,1.0,,soda,,,
d_nikke_alice_wonderlandbunny_03_12,d_nikke_alice_wonderlandbunny_03,Self,soda,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_12,False,,13,delight,,1,shy,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_13,d_nikke_alice_wonderlandbunny_03,Narration,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_13,False,alice_b,13,delight,,1,shy,,black,black,1.0,,,alice,soda,
d_nikke_alice_wonderlandbunny_03_14,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_14,True,,13,idle,,,,,black,black,1.0,,alice_b,,,
d_nikke_alice_wonderlandbunny_03_15,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_15,True,,13,delight,,,,,13,XS_130,0.7,,alice_b,,,
d_nikke_alice_wonderlandbunny_03_16,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_16,True,,13,delight,,,,,XS_130,XS_130,1.0,,alice_b,,,
d_nikke_alice_wonderlandbunny_03_17,d_nikke_alice_wonderlandbunny_03,Narration,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_17,False,,13,delight,,,,,XS_130,XS_130,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_18,d_nikke_alice_wonderlandbunny_03,Narration,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_18,False,,13,shy,,,,,XS_130,XS_130,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_19,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_19,True,,13,shy,,,,,XS_130,XS_130,1.0,,alice_b,,,
d_nikke_alice_wonderlandbunny_03_20,d_nikke_alice_wonderlandbunny_03,Narration,,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_20,False,,13,idle,,,,,black,black,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_21,d_nikke_alice_wonderlandbunny_03,Speech,soda_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_21,True,,13,idle,soda_b,1,delight,,1,S_10,1.0,,soda_b,,,
d_nikke_alice_wonderlandbunny_03_22,d_nikke_alice_wonderlandbunny_03,Speech,soda_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_22,True,,13,idle,,1,delight,,S_10,S_10,1.0,,soda_b,,,
d_nikke_alice_wonderlandbunny_03_23,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_23,True,,13,surprise,,1,delight,,S_10,12,1.0,,alice_b,,,
d_nikke_alice_wonderlandbunny_03_24,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_24,True,,13,surprise,,1,delight,,12,12,1.0,,alice_b,,,
d_nikke_alice_wonderlandbunny_03_25,d_nikke_alice_wonderlandbunny_03,Narration,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_25,False,,13,surprise,,1,delight,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_26,d_nikke_alice_wonderlandbunny_03,Narration,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_26,False,,13,idle,,1,delight,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_27,d_nikke_alice_wonderlandbunny_03,Narration,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_27,False,,13,idle,,1,delight,,12,12,1.0,,,,,
d_nikke_alice_wonderlandbunny_03_28,d_nikke_alice_wonderlandbunny_03,Speech,alice_b,Locale_NikkeEpisode:d_nikke_alice_wonderlandbunny_03_28,True,,13,idle,,1,surprise,,12,12,1.0,,alice_b,,,
