id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,conversation_id,characters/0/hide_char_id,set_object,set_object_position,jump_target
treasurestory_drake_06_1,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_1,True,drake,1,idle,GoddessOfVictory,10,10,1.0,bgm_story_breakaway,,,,,,
treasurestory_drake_06_2,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_2,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_3,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_3,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_4,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_4,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_5,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_5,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_6,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_6,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_7,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_7,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_8,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_8,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_9,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_9,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_10,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_10,True,,1,delight,,10,100,1.0,,,,,,,
treasurestory_drake_06_11,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_11,False,,1,delight,,100,100,1.0,,,,,,,
treasurestory_drake_06_12,treasurestory_drake_06,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_06_12,False,,1,delight,,100,100,1.0,,sfx_scn_phonevibration,,,,,
treasurestory_drake_06_13,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_13,False,,1,delight,,100,100,1.0,,,,,,,
treasurestory_drake_06_14,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_14,True,,1,no,,100,10,1.0,,,m_treasurestory_drake_06_01,,,,
treasurestory_drake_06_15,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_15,False,,1,no,,10,10,1.0,,,,,,,
treasurestory_drake_06_16,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_16,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_17,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_17,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_18,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_18,True,,1,delight,,10,10,1.0,,,,,,,
treasurestory_drake_06_19,treasurestory_drake_06,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_06_19,False,,1,delight,,10,10,1.0,,,,,,,
treasurestory_drake_06_20,treasurestory_drake_06,Narration,drake,,Locale_NikkeEpisode:treasurestory_drake_06_20,False,,1,delight,,10,10,1.0,,sfx_scn_phonevibration,m_treasurestory_drake_06_02,,,,
treasurestory_drake_06_21,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_21,False,,1,delight,,10,10,1.0,,,,,,,
treasurestory_drake_06_22,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_22,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_23,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_23,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_24,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_24,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_25,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_25,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_26,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_26,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_27,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_27,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_28,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_28,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_29,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_29,True,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_30,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_30,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_31,treasurestory_drake_06,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_06_31,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_32,treasurestory_drake_06,Monologue,drake,,Locale_NikkeEpisode:treasurestory_drake_06_32,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_33,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_33,False,,1,idle,,10,10,1.0,,,,,,,
treasurestory_drake_06_34,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_34,True,,1,idle,,black,black,1.0,none,,,drake,favoriteitem/FavoriteItemScene_c101_00,1,
treasurestory_drake_06_35,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_35,True,,,,,treasurestory_drake_01,treasurestory_drake_02,1.5,bgm_spot_rapturestorm_a,,,,,,
treasurestory_drake_06_36,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_36,True,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,
treasurestory_drake_06_37,treasurestory_drake_06,Choice,drake,,Locale_NikkeEpisode:treasurestory_drake_06_37,False,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,treasurestory_drake_06_39
treasurestory_drake_06_38,treasurestory_drake_06,Choice,drake,,Locale_NikkeEpisode:treasurestory_drake_06_38,False,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,treasurestory_drake_06_39
treasurestory_drake_06_39,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_39,True,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,
treasurestory_drake_06_40,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_40,True,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,
treasurestory_drake_06_41,treasurestory_drake_06,Self,drake,,Locale_NikkeEpisode:treasurestory_drake_06_41,False,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,
treasurestory_drake_06_42,treasurestory_drake_06,Speech,drake,drake,Locale_NikkeEpisode:treasurestory_drake_06_42,True,,,,,treasurestory_drake_02,treasurestory_drake_02,1.0,,,,,,,
