id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,conversation_id,fade,play_sound,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_liter_04_1,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_1,False,CommanderRoom,2,2,1.0,bgm_story_fairytalesend_if,,,,,,,rapi,3,think,,neon,1,worry,,,,,,,,
d_nikke_liter_04_2,d_nikke_liter_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_04_2,False,,2,2,1.0,,,,,,,,,3,think,,,1,worry,,,,,,,,
d_nikke_liter_04_3,d_nikke_liter_04,Self,,Self,Locale_NikkeEpisode:d_nikke_liter_04_3,False,,2,2,1.0,,,,,,,,,3,think,,,1,worry,,,,,,,,
d_nikke_liter_04_4,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_4,True,,2,2,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_5,d_nikke_liter_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_04_5,True,,2,2,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_6,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_6,True,,2,2,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_7,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_7,True,,2,30,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_8,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_8,True,,30,30,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_9,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_9,True,,30,30,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_10,d_nikke_liter_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_liter_04_10,True,,30,30,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_11,d_nikke_liter_04,Self,,Self,Locale_NikkeEpisode:d_nikke_liter_04_11,False,,30,30,1.0,,,,,,,,,3,idle,,,1,worry,,,,,,,,
d_nikke_liter_04_12,d_nikke_liter_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_04_12,True,,30,2,1.0,,,,,,,,,3,idle,,,1,idle,,,,,,,,
d_nikke_liter_04_13,d_nikke_liter_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_liter_04_13,True,,2,2,1.0,,,,,,,,,3,idle,,,1,idle,,,,,,,,
d_nikke_liter_04_14,d_nikke_liter_04,Choice,,,Locale_NikkeEpisode:d_nikke_liter_04_14,False,,2,2,1.0,,d_nikke_liter_04_16,,,,,,,3,idle,,,1,idle,,,,,,,,
