id,group_id,speech_window,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_nihilister_05_1,d_nikke_nihilister_05,Narration,Locale_NikkeEpisode:d_nikke_nihilister_05_1,False,rapi,13,idle,anis,15,void,neon,17,idle,Volcano_04,black,black,1.0,sfx_scn_fire,none,,,,,,,,,,
d_nikke_nihilister_05_2,d_nikke_nihilister_05,Speech,Locale_NikkeEpisode:d_nikke_nihilister_05_2,True,,13,idle,,15,void,,17,idle,,16,16,1.0,,bgm_volcanicnest,neon,neon,,,,,,,,
d_nikke_nihilister_05_3,d_nikke_nihilister_05,Monologue,Locale_NikkeEpisode:d_nikke_nihilister_05_3,False,,13,idle,,15,void,,17,idle,,16,19,2.0,,,,,,,,,,,,
d_nikke_nihilister_05_4,d_nikke_nihilister_05,Self,Locale_NikkeEpisode:d_nikke_nihilister_05_4,False,,13,idle,,15,void,,17,idle,,19,19,1.0,,,,,,,,,,,,
d_nikke_nihilister_05_5,d_nikke_nihilister_05,Speech,Locale_NikkeEpisode:d_nikke_nihilister_05_5,True,,13,idle,,15,no,,17,idle,,19,16,0.7,,,anis,anis,,,,,,,,
d_nikke_nihilister_05_6,d_nikke_nihilister_05,Speech,Locale_NikkeEpisode:d_nikke_nihilister_05_6,True,,13,idle,,15,no,,17,idle,,16,16,1.0,,,anis,anis,,,,,,,,
d_nikke_nihilister_05_7,d_nikke_nihilister_05,Speech,Locale_NikkeEpisode:d_nikke_nihilister_05_7,True,,13,idle,,15,idle,,17,delight,,16,16,1.0,,,neon,neon,,,,,,,,
d_nikke_nihilister_05_8,d_nikke_nihilister_05,Speech,Locale_NikkeEpisode:d_nikke_nihilister_05_8,True,,13,idle,,15,delight,,17,delight,,16,16,1.0,,,anis,anis,,,,,,,,
d_nikke_nihilister_05_9,d_nikke_nihilister_05,Speech,Locale_NikkeEpisode:d_nikke_nihilister_05_9,True,,13,idle,,15,delight,,17,delight,,16,16,1.0,,,anis,anis,,,,,,,,
d_nikke_nihilister_05_10,d_nikke_nihilister_05,Monologue,Locale_NikkeEpisode:d_nikke_nihilister_05_10,False,,13,idle,,15,idle,,17,idle,,16,3,2.0,,,,,,,,,,,,
