id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,set_camera_shake,play_sound,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_drake_03_1,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_1,True,OutpostOut,1,10,1.0,bgm_story_orangepop,,,,,,,drake,1,idle
d_nikke_drake_03_2,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_2,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_3,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_3,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_4,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_4,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_5,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_5,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_6,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_6,True,,10,100,0.5,,,,,,,,,1,delight
d_nikke_drake_03_7,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_7,True,,100,100,1.0,,,,,,,,,1,delight
d_nikke_drake_03_8,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_8,False,,100,100,1.0,,,,,,,,,1,delight
d_nikke_drake_03_9,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_9,True,,100,100,1.0,,,,,,,,,5,delight
d_nikke_drake_03_10,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_10,False,ShoppingMall,black,black,0.5,none,,,,,,,,1,idle
d_nikke_drake_03_11,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_11,False,,black,black,1.0,,,,,,,,,1,idle
d_nikke_drake_03_12,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_12,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_13,d_nikke_drake_03,Choice,,,Locale_NikkeEpisode:d_nikke_drake_03_13,False,,10,10,1.0,,d_nikke_drake_03_15,,,,,,,1,idle
d_nikke_drake_03_14,d_nikke_drake_03,Choice,,,Locale_NikkeEpisode:d_nikke_drake_03_14,False,,10,10,1.0,,d_nikke_drake_03_17,,,,,,,1,idle
d_nikke_drake_03_15,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_15,True,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_16,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_16,True,,10,10,0.5,,d_nikke_drake_03_20,,,,,,,1,delight
d_nikke_drake_03_17,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_17,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_18,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_18,True,,10,100,1.0,,,,,,,,,1,idle
d_nikke_drake_03_19,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_19,True,,100,10,0.5,,d_nikke_drake_03_20,,,,,,,1,idle
d_nikke_drake_03_20,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_20,True,,10,30,1.0,bgm_story_whosdumber,,,,,,,,3,no
d_nikke_drake_03_21,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_21,False,,30,3,1.0,,,,,,,,,3,no
d_nikke_drake_03_22,d_nikke_drake_03,Speech,citizenry,citizenry,Locale_NikkeEpisode:d_nikke_drake_03_22,True,,3,3,1.0,,,,,,,,,3,no
d_nikke_drake_03_23,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_23,True,,3,5,1.0,,,,,,,,,5,no
d_nikke_drake_03_24,d_nikke_drake_03,Speech,citizenry,citizenry,Locale_NikkeEpisode:d_nikke_drake_03_24,True,,5,5,1.0,,,,,,,,,5,no
d_nikke_drake_03_25,d_nikke_drake_03,Speech,citizenry,citizenry,Locale_NikkeEpisode:d_nikke_drake_03_25,True,,5,5,1.0,,,,,,,,,5,no
d_nikke_drake_03_26,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_26,True,FastFood,5,50,0.5,,,,,,,,,5,no
d_nikke_drake_03_27,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_27,False,,50,50,1.0,,,,,,,,,5,no
d_nikke_drake_03_28,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_28,True,,50,50,1.0,,,,,,,,,5,no
d_nikke_drake_03_29,d_nikke_drake_03,Narration,,,Locale_NikkeEpisode:d_nikke_drake_03_29,False,,black,black,1.0,,,,,,,,,5,no
d_nikke_drake_03_30,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_30,False,,black,black,1.0,,,,,,,,,5,no
d_nikke_drake_03_31,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_31,True,,50,5,1.0,,,,,,,,,5,no
d_nikke_drake_03_32,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_32,False,,5,5,1.0,,,,,,,,,1,no
d_nikke_drake_03_33,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_33,True,ShoppingMall,5,1,1.0,,,,,,,,,1,delight
d_nikke_drake_03_34,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_34,True,,1,10,0.5,,,,,,,,,1,delight
d_nikke_drake_03_35,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_35,False,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_36,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_36,True,,10,100,0.5,,,,,,,,,1,angry
d_nikke_drake_03_37,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_37,False,,100,100,1.0,,,,,,,,,1,angry
d_nikke_drake_03_38,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_38,False,,100,100,1.0,,,,,,,,,1,angry
d_nikke_drake_03_39,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_39,True,,100,100,0.5,,,,,,,,,1,idle
d_nikke_drake_03_40,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_40,False,Park,100,100,1.0,,,black,,,,,,1,idle
d_nikke_drake_03_41,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_41,True,,100,100,1.0,,,,,,,,,1,delight
d_nikke_drake_03_42,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_42,True,,100,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_43,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_43,True,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_44,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_44,True,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_45,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_45,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_46,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_46,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_47,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_47,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_48,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_48,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_49,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_49,False,,10,1,1.0,,,,,,,,,1,idle
d_nikke_drake_03_50,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_50,True,,1,10,0.5,,,,Low_2,,,,,1,delight
d_nikke_drake_03_51,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_51,True,,10,10,1.0,,,,Low_2,,,,,1,delight
d_nikke_drake_03_52,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_52,False,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_53,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_53,True,,10,10,1.0,,,,,,,,,1,angry
d_nikke_drake_03_54,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_54,True,,10,10,1.0,,,,,,,,,1,angry
d_nikke_drake_03_55,d_nikke_drake_03,Choice,,,Locale_NikkeEpisode:d_nikke_drake_03_55,False,,10,10,1.0,,d_nikke_drake_03_57,,,,,,,1,angry
d_nikke_drake_03_56,d_nikke_drake_03,Choice,,,Locale_NikkeEpisode:d_nikke_drake_03_56,False,,10,10,1.0,,d_nikke_drake_03_59,,,,,,,1,angry
d_nikke_drake_03_57,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_57,True,,10,100,0.5,,,,,,,,,1,angry
d_nikke_drake_03_58,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_58,True,,100,100,1.0,,d_nikke_drake_03_60,,,,,,,1,angry
d_nikke_drake_03_59,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_59,True,,10,100,1.0,,d_nikke_drake_03_60,,,,,,,1,angry
d_nikke_drake_03_60,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_60,True,,100,100,1.0,,,,Low_2,,,,,1,delight
d_nikke_drake_03_61,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_61,True,,100,100,1.0,,,,Low_2,,,,,1,delight
d_nikke_drake_03_62,d_nikke_drake_03,Narration,,,Locale_NikkeEpisode:d_nikke_drake_03_62,False,,100,1,1.0,,,,,sfx_scn_windowsopen,,,,1,idle
d_nikke_drake_03_63,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_63,False,,1,1,1.0,,,,,,,,,1,idle
d_nikke_drake_03_64,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_64,False,,1,1,1.0,,,,,,,,,1,idle
d_nikke_drake_03_65,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_65,True,,1,10,0.5,,,,,,,,,1,idle
d_nikke_drake_03_66,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_66,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_67,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_67,True,,10,10,0.5,,,,,,,,,1,idle
d_nikke_drake_03_68,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_68,False,Backstreet,black,black,0.5,,,,,,,,,1,idle
d_nikke_drake_03_69,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_69,True,,1,1,1.0,,,,,,,,,1,delight
d_nikke_drake_03_70,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_70,True,,1,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_71,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_71,True,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_72,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_72,False,,10,1,1.0,,,,,,,,,1,delight
d_nikke_drake_03_73,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_73,True,,1,1,1.0,,,,,,,,,1,angry
d_nikke_drake_03_74,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_74,False,,1,1,1.0,,,,,,,,,1,angry
d_nikke_drake_03_75,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_75,True,,1,10,0.5,,,,,,,,,1,angry
d_nikke_drake_03_76,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_76,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_77,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_77,True,,10,100,0.5,none,,,,,,,,1,idle
d_nikke_drake_03_78,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_78,False,,black,black,1.0,,,,,,,,,1,idle
d_nikke_drake_03_79,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_79,False,CommanderRoom,black,black,1.0,,,,,,,,,1,idle
d_nikke_drake_03_80,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_80,False,,7,5,1.0,,,,,,,,,1,idle
d_nikke_drake_03_81,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_81,False,,5,5,1.0,,,,,,,,,1,idle
d_nikke_drake_03_82,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_82,False,,5,50,1.0,,,,,,,,,1,idle
d_nikke_drake_03_83,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_83,True,,50,10,1.0,,,,,,,,,1,angry
d_nikke_drake_03_84,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_84,True,,10,10,1.0,,,,,,,,,1,angry
d_nikke_drake_03_85,d_nikke_drake_03,Monologue,,,Locale_NikkeEpisode:d_nikke_drake_03_85,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_86,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_86,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_87,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_87,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_88,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_88,True,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_89,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_89,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_90,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_90,False,,10,1,1.0,,,,,,,,,1,no
d_nikke_drake_03_91,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_91,True,,1,1,1.0,,,,,,,,,1,no
d_nikke_drake_03_92,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_92,True,,1,1,1.0,,,,,,,,,1,no
d_nikke_drake_03_93,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_93,True,,1,1,1.0,,,,,,,,,1,no
d_nikke_drake_03_94,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_94,True,,1,1,1.0,,,,,,,,,1,no
d_nikke_drake_03_95,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_95,True,,1,1,1.0,,,,,,,,,1,no
d_nikke_drake_03_96,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_96,True,,1,10,0.5,,,,,,,,,1,idle
d_nikke_drake_03_97,d_nikke_drake_03,Self,,,Locale_NikkeEpisode:d_nikke_drake_03_97,False,,10,10,1.0,,,,,,,,,1,idle
d_nikke_drake_03_98,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_98,True,,10,10,1.0,,,,,,,,,1,delight
d_nikke_drake_03_99,d_nikke_drake_03,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_03_99,True,,10,100,0.5,,,,,,,,,1,delight
d_nikke_drake_03_100,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_100,True,,black,black,1.0,bgm_story_herecomestrouble,,,,,,,,1,no
d_nikke_drake_03_101,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_101,True,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_102,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_102,True,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_103,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_103,True,,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_104,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_104,True,FastFood,black,black,1.0,,,,,,,,,1,no
d_nikke_drake_03_105,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_105,True,,10,10,1.0,,,,,,Grey,Vignetting,,1,delight
d_nikke_drake_03_106,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_106,True,,10,10,1.0,,,,,,Grey,Vignetting,,1,delight
d_nikke_drake_03_107,d_nikke_drake_03,Speech,announcer,announcer,Locale_NikkeEpisode:d_nikke_drake_03_107,True,CommanderRoom,black,black,1.0,,,,,,,,,1,no
