id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce005_01_03_1,d_nikke_ce005_01_03,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_03_1,True,ce005_01_01,1,idle,CommanderRoom,1,1,1.0,bgm_inark,,,,
d_nikke_ce005_01_03_2,d_nikke_ce005_01_03,Narration,ce005_01_01,,Locale_NikkeEpisode:d_nikke_ce005_01_03_2,False,,1,idle,,1,1,1.0,,,,,
d_nikke_ce005_01_03_3,d_nikke_ce005_01_03,Self,ce005_01_01,,Locale_NikkeEpisode:d_nikke_ce005_01_03_3,False,,1,idle,,1,1,1.0,,,,,
d_nikke_ce005_01_03_4,d_nikke_ce005_01_03,Speech,ce005_01_01,ce005_01_01,Locale_NikkeEpisode:d_nikke_ce005_01_03_4,True,,1,idle,,1,1,1.0,,,,,
d_nikke_ce005_01_03_5,d_nikke_ce005_01_03,Self,ce005_01_01,,Locale_NikkeEpisode:d_nikke_ce005_01_03_5,False,,1,idle,,1,1,1.0,,,,,
d_nikke_ce005_01_03_6,d_nikke_ce005_01_03,Narration,,,Locale_NikkeEpisode:d_nikke_ce005_01_03_6,False,,1,idle,Arboretum,1,3,1.0,,black,,,
d_nikke_ce005_01_03_7,d_nikke_ce005_01_03,Narration,flora,,Locale_NikkeEpisode:d_nikke_ce005_01_03_7,False,,1,idle,,3,3,1.0,,,flora,3,idle
d_nikke_ce005_01_03_8,d_nikke_ce005_01_03,Self,flora,,Locale_NikkeEpisode:d_nikke_ce005_01_03_8,False,,1,idle,,3,3,1.0,,,,3,idle
d_nikke_ce005_01_03_9,d_nikke_ce005_01_03,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_03_9,True,,1,idle,,3,3,1.0,,,,3,idle
d_nikke_ce005_01_03_10,d_nikke_ce005_01_03,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_03_10,True,,1,idle,,3,3,1.0,,,,3,idle
d_nikke_ce005_01_03_11,d_nikke_ce005_01_03,Narration,flora,,Locale_NikkeEpisode:d_nikke_ce005_01_03_11,False,,1,idle,,3,3,1.0,,,,3,idle
d_nikke_ce005_01_03_12,d_nikke_ce005_01_03,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_03_12,True,,1,idle,,3,3,1.0,,,,3,idle
d_nikke_ce005_01_03_13,d_nikke_ce005_01_03,Speech,flora,flora,Locale_NikkeEpisode:d_nikke_ce005_01_03_13,True,,1,idle,,3,3,1.0,,,,3,idle
