id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_c_1_02_1,d_nikke_c_1_02,Monologue,Locale_NikkeEpisode:d_nikke_c_1_02_1,False,Library,XS_50,XS_50,1.0,bgm_story_backtonormal,,,,,,admi,13,idle,,,,
d_nikke_c_1_02_2,d_nikke_c_1_02,Monologue,Locale_NikkeEpisode:d_nikke_c_1_02_2,False,,XS_50,XS_30,1.0,,,,,,,,13,idle,,,,
d_nikke_c_1_02_3,d_nikke_c_1_02,Self,Locale_NikkeEpisode:d_nikke_c_1_02_3,False,,XS_30,XS_30,1.0,,,,,,,,13,idle,,,,
d_nikke_c_1_02_4,d_nikke_c_1_02,Speech,Locale_NikkeEpisode:d_nikke_c_1_02_4,True,,XS_30,XS_130,2.0,,admi,admi,,,,,13,idle,,,,
d_nikke_c_1_02_5,d_nikke_c_1_02,Speech,Locale_NikkeEpisode:d_nikke_c_1_02_5,True,,XS_130,XS_130,1.0,,admi,admi,,,,,13,idle,,,,
d_nikke_c_1_02_6,d_nikke_c_1_02,Speech,Locale_NikkeEpisode:d_nikke_c_1_02_6,True,,XS_130,XS_130,1.0,,admi,admi,,,,,13,idle,,,,
d_nikke_c_1_02_7,d_nikke_c_1_02,Choice,Locale_NikkeEpisode:d_nikke_c_1_02_7,False,,XS_130,XS_130,1.0,,admi,,d_nikke_c_1_02_9,,,,13,idle,,,,
d_nikke_c_1_02_8,d_nikke_c_1_02,Choice,Locale_NikkeEpisode:d_nikke_c_1_02_8,False,,XS_130,XS_130,1.0,,admi,,d_nikke_c_1_02_9,,,,13,idle,,,,
d_nikke_c_1_02_9,d_nikke_c_1_02,Speech,Locale_NikkeEpisode:d_nikke_c_1_02_9,True,,XS_130,13,1.0,,admi,admi,,,,,13,idle,,,,
d_nikke_c_1_02_10,d_nikke_c_1_02,Speech,Locale_NikkeEpisode:d_nikke_c_1_02_10,True,,13,13,1.0,,admi,admi,,,,,13,idle,,,,
