id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_soline_05_1,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_1,True,City,S_10,S_10,1.0,bgm_story_sunnycarnival,,,,,,soline,1,angry,
d_nikke_soline_05_2,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_2,False,,S_10,S_10,1.0,,,,,,,,1,angry,
d_nikke_soline_05_3,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_3,True,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_4,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_4,False,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_5,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_5,False,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_6,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_6,True,,S_10,S_100,0.5,,,,,,,,1,shy,
d_nikke_soline_05_7,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_7,True,,S_100,S_100,1.0,,,,,,,,1,shy,
d_nikke_soline_05_8,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_8,False,,S_100,S_100,1.0,,,,,,,,1,shy,
d_nikke_soline_05_9,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_9,True,,S_100,S_10,0.5,,,,,,,,1,shy,
d_nikke_soline_05_10,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_10,True,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_11,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_11,True,,S_10,S_10,1.0,,,,,,,,1,angry,
d_nikke_soline_05_12,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_12,False,,S_10,S_10,1.0,,,,,,,,1,angry,
d_nikke_soline_05_13,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_13,True,,S_10,S_100,0.5,,,,,,,,1,idle,
d_nikke_soline_05_14,d_nikke_soline_05,Narration,soline,,Locale_NikkeEpisode:d_nikke_soline_05_14,False,,black,black,1.0,,,,,,,,1,idle,soline
d_nikke_soline_05_15,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_15,False,,S_10,S_10,1.0,,,,,,,soline,1,surprise,
d_nikke_soline_05_16,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_16,True,,S_10,S_10,1.0,,,,,,,,1,shy,
d_nikke_soline_05_17,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_17,True,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_18,d_nikke_soline_05,Narration,soline,,Locale_NikkeEpisode:d_nikke_soline_05_18,False,,S_10,S_100,0.5,,,,,,,,1,surprise,
d_nikke_soline_05_19,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_19,False,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_20,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_20,True,,S_100,S_100,1.0,,,,,,,,1,angry,
d_nikke_soline_05_21,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_21,True,,S_100,S_100,1.0,,,,,,,,1,angry,
d_nikke_soline_05_22,d_nikke_soline_05,Narration,soline,,Locale_NikkeEpisode:d_nikke_soline_05_22,False,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_23,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_23,False,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_24,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_24,True,,S_100,S_10,2.0,,,,,,,,1,surprise,
d_nikke_soline_05_25,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_25,True,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_26,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_26,False,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_27,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_27,True,,S_10,S_10,1.0,,,,,,,,1,shy,
d_nikke_soline_05_28,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_28,True,,S_10,S_10,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_29,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_29,True,,S_10,S_100,0.5,,,,,,,,1,shy,
d_nikke_soline_05_30,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_30,True,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_31,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_31,True,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_32,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_32,True,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_33,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_33,False,,S_100,S_100,1.0,,,,,,,,1,surprise,
d_nikke_soline_05_34,d_nikke_soline_05,Speech,soline,soline,Locale_NikkeEpisode:d_nikke_soline_05_34,True,,S_100,S_10,1.0,none,,,,,,,1,idle,
d_nikke_soline_05_35,d_nikke_soline_05,Self,soline,,Locale_NikkeEpisode:d_nikke_soline_05_35,False,,S_10,S_10,1.0,,,,,,,,1,idle,
