id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_camera_shake,jump_target,fade
d_nikke_diesel_04_1,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_1,False,none,5,5,1.0,bgm_risk,Grey,Vignetting,,,,,,,,,
d_nikke_diesel_04_2,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_2,False,Station_n,5,1,2.0,,Grey,Vignetting,,,,,,,,,
d_nikke_diesel_04_3,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_3,False,,1,1,1.0,,Grey,Vignetting,,,,,,,,,
d_nikke_diesel_04_4,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_4,False,,1,1,1.0,,Grey,Vignetting,,,,,,,,,
d_nikke_diesel_04_5,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_5,False,,1,1,1.0,,Grey,Vignetting,,,,,,,,,
d_nikke_diesel_04_6,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_6,False,,1,XS_10,2.0,,Grey,Vignetting,,,,,,,,,
d_nikke_diesel_04_7,d_nikke_diesel_04,Speech,Locale_NikkeEpisode:d_nikke_diesel_04_7,False,,XS_10,XS_10,1.0,,Grey,Vignetting,diesel,unknown,,,,,,,
d_nikke_diesel_04_8,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_8,False,,XS_10,XS_10,1.0,,Grey,Vignetting,diesel,,,,,,,,
d_nikke_diesel_04_9,d_nikke_diesel_04,Monologue,Locale_NikkeEpisode:d_nikke_diesel_04_9,False,,black,black,1.0,,Grey,Vignetting,diesel,,,,,,,,
d_nikke_diesel_04_10,d_nikke_diesel_04,Self,Locale_NikkeEpisode:d_nikke_diesel_04_10,False,none,black,black,1.0,none,Grey,Vignetting,diesel,,diesel,1,worry,,,,
d_nikke_diesel_04_11,d_nikke_diesel_04,Speech,Locale_NikkeEpisode:d_nikke_diesel_04_11,False,NikkeRoom,1,100,0.5,,,,diesel,diesel,,1,surprise,,,,
d_nikke_diesel_04_12,d_nikke_diesel_04,Speech,Locale_NikkeEpisode:d_nikke_diesel_04_12,True,,100,10,2.0,,,,diesel,diesel,,1,worry,,,,
d_nikke_diesel_04_13,d_nikke_diesel_04,Self,Locale_NikkeEpisode:d_nikke_diesel_04_13,False,,10,10,1.0,,,,diesel,,,1,worry,,,,
d_nikke_diesel_04_14,d_nikke_diesel_04,Speech,Locale_NikkeEpisode:d_nikke_diesel_04_14,True,,10,10,1.0,,,,diesel,diesel,,1,worry,,,,
d_nikke_diesel_04_15,d_nikke_diesel_04,Speech,Locale_NikkeEpisode:d_nikke_diesel_04_15,True,,10,10,1.0,,,,diesel,diesel,,1,worry,,,,
d_nikke_diesel_04_16,d_nikke_diesel_04,Self,Locale_NikkeEpisode:d_nikke_diesel_04_16,False,,10,10,1.0,,,,diesel,,,1,worry,,,,
d_nikke_diesel_04_17,d_nikke_diesel_04,Speech,Locale_NikkeEpisode:d_nikke_diesel_04_17,True,,10,10,1.0,,,,diesel,diesel,,1,worry,,,,
d_nikke_diesel_04_18,d_nikke_diesel_04,Self,Locale_NikkeEpisode:d_nikke_diesel_04_18,False,none,black,black,1.0,,,,diesel,,,1,worry,diesel,,,
