id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_nikke_rei_03_1,d_nikke_rei_03,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_03_1,True,rei,1,cry,SchoolCorridor,XS_10,XS_10,1.0,bgm_story_whosdumber,,,,,,,,,
d_nikke_rei_03_2,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_2,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_3,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_3,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_4,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_4,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_5,d_nikke_rei_03,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_03_5,True,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_6,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_6,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_7,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_7,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_8,d_nikke_rei_03,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_03_8,True,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_9,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_9,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
d_nikke_rei_03_10,d_nikke_rei_03,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_03_10,False,,1,cry,,XS_10,XS_10,1.0,,,,,,,,,,
