id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_drake_04_1,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_1,True,CommanderRoom,10,10,1.0,bgm_story_whosdumber,,,,,drake,1,no,,,,,,,,,
d_nikke_drake_04_2,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_2,True,,10,10,1.0,,,,,,,1,no,,,,,,,,,
d_nikke_drake_04_3,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_3,True,,10,10,1.0,,,,,,,1,no,,,,,,,,,
d_nikke_drake_04_4,d_nikke_drake_04,Self,,,Locale_NikkeEpisode:d_nikke_drake_04_4,False,,10,10,1.0,,,,,,,1,no,,,,,,,,,
d_nikke_drake_04_5,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_5,True,,10,10,1.0,,,,,,,1,no,,,,,,,,,
d_nikke_drake_04_6,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_6,True,,10,100,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_drake_04_7,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_7,True,,100,100,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_drake_04_8,d_nikke_drake_04,Self,,,Locale_NikkeEpisode:d_nikke_drake_04_8,False,,100,100,1.0,,,,,,,1,idle,,,,,,,,,
d_nikke_drake_04_9,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_9,True,,100,10,0.5,,,,,,,1,angry,,,,,,,,,
d_nikke_drake_04_10,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_10,True,,10,10,1.0,,,,,,,1,angry,,,,,,,,,
d_nikke_drake_04_11,d_nikke_drake_04,Self,,,Locale_NikkeEpisode:d_nikke_drake_04_11,False,,10,10,1.0,,,,,,,1,angry,,,,,,,,,
d_nikke_drake_04_12,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_12,True,,10,10,1.0,,,,,,,1,delight,,,,,,,,,
d_nikke_drake_04_13,d_nikke_drake_04,Speech,drake,drake,Locale_NikkeEpisode:d_nikke_drake_04_13,True,,10,10,1.0,,,,,,,1,delight,,,,,,,,,
