id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,effects/0/stop_effect_id
d_nikke_tove_05_1,d_nikke_tove_05,Monologue,Locale_NikkeEpisode:d_nikke_tove_05_1,True,IceLand_03,3,S_30,1.0,bgm_frostpillar,,,,,tove,3,idle,,ludmilla,1,think,,alice,13,idle,,neve,15,idle,,
d_nikke_tove_05_2,d_nikke_tove_05,Monologue,Locale_NikkeEpisode:d_nikke_tove_05_2,True,,S_30,S_30,1.0,,,,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_3,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_3,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_4,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_4,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_5,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_5,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_6,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_6,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_7,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_7,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_8,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_8,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_9,d_nikke_tove_05,Narration,Locale_NikkeEpisode:d_nikke_tove_05_9,True,,S_30,S_30,1.0,,tove,,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_10,d_nikke_tove_05,Monologue,Locale_NikkeEpisode:d_nikke_tove_05_10,True,,S_30,S_300,2.0,,tove,,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_11,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_11,True,,S_300,S_300,1.0,,survivornikke,survivornikke,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_12,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_12,True,,S_300,S_300,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_13,d_nikke_tove_05,Monologue,Locale_NikkeEpisode:d_nikke_tove_05_13,True,,S_300,S_300,1.0,,tove,,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_14,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_14,True,,S_300,S_300,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_15,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_15,True,,S_300,S_300,1.0,,survivornikke,survivornikke,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_16,d_nikke_tove_05,Narration,Locale_NikkeEpisode:d_nikke_tove_05_16,True,,S_300,S_300,1.0,,survivornikke,,sfx_scn_swallow,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_17,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_17,True,,S_300,S_30,1.0,,survivornikke,survivornikke,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_18,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_18,True,,S_30,S_30,1.0,,survivornikke,survivornikke,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
d_nikke_tove_05_19,d_nikke_tove_05,Speech,Locale_NikkeEpisode:d_nikke_tove_05_19,True,,S_30,S_30,1.0,,tove,tove,,,,3,idle,,,1,think,,,13,idle,,,15,idle,,
