id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,set_object,set_object_position,fade
treasurestory_bay_05_1,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_1,True,bay,1,idle,dancepracticeroom,1,1,1.0,none,,,,,
treasurestory_bay_05_2,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_2,True,,1,idle,,1,1,1.0,,,,,,
treasurestory_bay_05_3,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_3,True,,1,idle,,1,1,1.0,,,,,,
treasurestory_bay_05_4,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_4,False,,1,idle,,1,1,1.0,,,,,,
treasurestory_bay_05_5,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_5,False,,1,idle,,1,1,1.0,,,,,,
treasurestory_bay_05_6,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_6,True,,1,idle,,1,10,1.3,,,,,,
treasurestory_bay_05_7,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_7,True,,1,"expression_0,idle",,black,black,1.0,event_bgm_onemoretime,,,,,
treasurestory_bay_05_8,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_8,True,,1,delight,,10,10,1.0,,sfx_scn_pompom3,,,,
treasurestory_bay_05_9,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_9,True,,1,delight,,10,100,0.7,,sfx_scn_pompom3,,,,
treasurestory_bay_05_10,treasurestory_bay_05,Monologue,bay,,Locale_NikkeEpisode:treasurestory_bay_05_10,False,,1,delight,,black,black,1.0,,,,,,
treasurestory_bay_05_11,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_11,False,,1,delight,,100,100,1.0,,,,,,
treasurestory_bay_05_12,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_12,False,,1,worry,,100,10,1.0,,,,,,
treasurestory_bay_05_13,treasurestory_bay_05,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_05_13,False,,1,worry,,black,black,1.0,,sfx_scn_waterslip,,,,
treasurestory_bay_05_14,treasurestory_bay_05,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_05_14,False,,1,worry,,black,black,1.0,,sfx_scn_down,,,,
treasurestory_bay_05_15,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_15,False,,1,worry,,1,1,1.0,,,,,,
treasurestory_bay_05_16,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_16,False,,1,worry,,1,1,1.0,,,,,,
treasurestory_bay_05_17,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_17,True,,1,idle,,1,1,1.0,,,,,,
treasurestory_bay_05_18,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_18,True,,1,idle,,1,10,1.3,,,,,,
treasurestory_bay_05_19,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_19,True,,1,delight,,black,black,1.0,,sfx_scn_pompom3,,,,
treasurestory_bay_05_20,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_20,True,,1,delight,,black,black,1.0,,sfx_scn_pompom3,,,,
treasurestory_bay_05_21,treasurestory_bay_05,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_05_21,False,,1,delight,,black,black,1.0,,,,,,
treasurestory_bay_05_22,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_22,False,,1,delight,,black,black,1.0,,,,,,
treasurestory_bay_05_23,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_23,True,,1,sad,,100,100,1.0,,,,,,
treasurestory_bay_05_24,treasurestory_bay_05,Monologue,bay,,Locale_NikkeEpisode:treasurestory_bay_05_24,False,,1,sad,,100,100,1.0,,,,,,
treasurestory_bay_05_25,treasurestory_bay_05,Monologue,bay,,Locale_NikkeEpisode:treasurestory_bay_05_25,False,,1,sad,,100,100,1.0,,,,,,
treasurestory_bay_05_26,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_26,True,,1,worry,,100,10,0.7,none,,,,,
treasurestory_bay_05_27,treasurestory_bay_05,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_05_27,False,,1,worry,,black,black,1.0,,sfx_scn_waterslip,bay,,,
treasurestory_bay_05_28,treasurestory_bay_05,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_05_28,False,,,,,black,black,1.0,,sfx_scn_down,,favoriteitem/FavoriteItemScene_c550_00,1,
treasurestory_bay_05_29,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_29,True,,,,,treasurestory_bay_01,treasurestory_bay_02,1.5,bgm_story_sunshinesorrow,,,,,black
treasurestory_bay_05_30,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_30,False,,,,,treasurestory_bay_02,treasurestory_bay_02,1.0,,,,,,
treasurestory_bay_05_31,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_31,False,,,,,treasurestory_bay_02,treasurestory_bay_02,1.0,,,,,,
treasurestory_bay_05_32,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_32,True,,,,,treasurestory_bay_02,treasurestory_bay_02,1.0,,,,,,
treasurestory_bay_05_33,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_33,True,,,,,treasurestory_bay_02,treasurestory_bay_02,1.0,,,,,,
treasurestory_bay_05_34,treasurestory_bay_05,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_05_34,True,,,,,treasurestory_bay_02,treasurestory_bay_02,1.0,,,,,,
treasurestory_bay_05_35,treasurestory_bay_05,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_05_35,False,,,,,treasurestory_bay_02,treasurestory_bay_02,1.0,,,,,,
