id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,set_camera_shake
d_nikke_folkwang_04_1,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_1,True,folkwang,1,surprise,HotSpring,10,10,1.0,bgm_story_orangepop,,,,,,,,
d_nikke_folkwang_04_2,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_2,True,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_3,d_nikke_folkwang_04,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_3,False,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_4,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_4,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_5,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_5,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_6,d_nikke_folkwang_04,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_6,False,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_7,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_7,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_8,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_8,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_9,d_nikke_folkwang_04,Narration,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_9,False,,1,idle,,10,1,1.0,,sfx_scn_waterwalk,,,,,,,
d_nikke_folkwang_04_10,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_10,True,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_folkwang_04_11,d_nikke_folkwang_04,Narration,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_11,False,,1,pain,,1,1,1.0,,,,,,,,,
d_nikke_folkwang_04_12,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_12,True,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_folkwang_04_13,d_nikke_folkwang_04,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_13,False,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_folkwang_04_14,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_14,True,,1,surprise,,1,10,2.0,,,,,,,,,
d_nikke_folkwang_04_15,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_15,True,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_16,d_nikke_folkwang_04,Monologue,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_16,False,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_17,d_nikke_folkwang_04,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_17,False,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_18,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_18,True,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_19,d_nikke_folkwang_04,Monologue,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_19,False,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_20,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_20,False,,1,surprise,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_21,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_21,True,,1,pain,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_22,d_nikke_folkwang_04,Narration,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_22,False,,1,pain,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_23,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_23,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_24,d_nikke_folkwang_04,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_24,False,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_25,d_nikke_folkwang_04,Speech,folkwang,folkwang,Locale_NikkeEpisode:d_nikke_folkwang_04_25,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_folkwang_04_26,d_nikke_folkwang_04,Self,folkwang,,Locale_NikkeEpisode:d_nikke_folkwang_04_26,False,,1,idle,,10,10,1.0,,,,,,,,,
