id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/hide_char_id,characters/0/hide_char_id
d_nikke_guillotine_04_1,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_1,True,erodednikke,1,idle,City,1,1,1.0,bgm_story_trauma,,,,,,,,
d_nikke_guillotine_04_2,d_nikke_guillotine_04,Narration,,,Locale_NikkeEpisode:d_nikke_guillotine_04_2,False,,1,idle,,black,black,1.0,,sfx_scn_fireblindly,,,,,,,
d_nikke_guillotine_04_3,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_3,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_guillotine_04_4,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_4,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_guillotine_04_5,d_nikke_guillotine_04,Monologue,,,Locale_NikkeEpisode:d_nikke_guillotine_04_5,False,,1,idle,,9,5,2.0,,,,,,,,,
d_nikke_guillotine_04_6,d_nikke_guillotine_04,Monologue,,,Locale_NikkeEpisode:d_nikke_guillotine_04_6,False,,1,idle,,5,5,1.0,,,,,,,,,
d_nikke_guillotine_04_7,d_nikke_guillotine_04,Monologue,,,Locale_NikkeEpisode:d_nikke_guillotine_04_7,False,,1,idle,,5,1,0.5,,sfx_scn_gunfire,Low_2,,,,,,
d_nikke_guillotine_04_8,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_8,True,,1,idle,,1,1,1.0,,,,,,,,,
d_nikke_guillotine_04_9,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_9,True,,1,idle,,1,10,0.5,,,,,,,,,
d_nikke_guillotine_04_10,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_10,True,,1,idle,,10,10,1.0,,,,,,,,,
d_nikke_guillotine_04_11,d_nikke_guillotine_04,Speech,erodednikke,erodednikke,Locale_NikkeEpisode:d_nikke_guillotine_04_11,True,,1,idle,,10,10,1.0,,,,guillotine,15,idle,,,
d_nikke_guillotine_04_12,d_nikke_guillotine_04,Choice,,,Locale_NikkeEpisode:d_nikke_guillotine_04_12,False,,1,idle,,10,10,1.0,,,,,15,idle,d_nikke_guillotine_04_14,,
d_nikke_guillotine_04_13,d_nikke_guillotine_04,Choice,,,Locale_NikkeEpisode:d_nikke_guillotine_04_13,False,,1,idle,,10,10,1.0,,,,,15,idle,d_nikke_guillotine_04_14,,
d_nikke_guillotine_04_14,d_nikke_guillotine_04,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_04_14,True,,1,idle,,10,S_150,1.0,,,,,15,angry,,,
d_nikke_guillotine_04_15,d_nikke_guillotine_04,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_04_15,True,,1,idle,,S_150,S_150,1.0,,,,,15,angry,,,
d_nikke_guillotine_04_16,d_nikke_guillotine_04,Speech,guillotine,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_04_16,True,,1,idle,,S_150,15,0.5,,,,,15,angry,,,
