id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_snowwhite_05_1,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_1,True,HotSpring,1,1,1.0,bgm_recognition,,,snowwhite,1,idle,
d_nikke_snowwhite_05_2,d_nikke_snowwhite_05,Monologue,snowwhite,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_05_2,False,,1,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_3,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_3,True,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_4,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_4,True,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_5,d_nikke_snowwhite_05,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_05_5,False,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_6,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_6,True,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_7,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_7,True,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_8,d_nikke_snowwhite_05,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_05_8,False,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_9,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_9,False,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_10,d_nikke_snowwhite_05,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_05_10,False,,L_10,L_10,1.0,,,,,1,idle,
d_nikke_snowwhite_05_11,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_11,True,,L_10,1,1.0,,,,,1,idle,
d_nikke_snowwhite_05_12,d_nikke_snowwhite_05,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_05_12,True,,1,1,1.0,,,,,1,pain,
d_nikke_snowwhite_05_13,d_nikke_snowwhite_05,Narration,snowwhite,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_05_13,False,,black,black,1.0,,sfx_scn_waterdive,,,1,pain,
