id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,jump_target
d_nikke_mast_romanticmaid_01_1,d_nikke_mast_romanticmaid_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_1,False,CommanderRoom,S_100,S_100,1.0,bgm_story_breakaway,,,,,,,,,,,,,
d_nikke_mast_romanticmaid_01_2,d_nikke_mast_romanticmaid_01,Narration,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_2,False,,S_100,S_100,1.0,,,,,,,,,,,,,,
d_nikke_mast_romanticmaid_01_3,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_3,False,,S_100,S_100,1.0,,,,,,,,,,,,,,
d_nikke_mast_romanticmaid_01_4,d_nikke_mast_romanticmaid_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_4,False,,S_100,1,1.0,,,,,,,,,,,,,,
d_nikke_mast_romanticmaid_01_5,d_nikke_mast_romanticmaid_01,Narration,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_5,False,,1,1,1.0,,mast_m,1,idle,sfx_scn_autodooropen,,,,,,,,,
d_nikke_mast_romanticmaid_01_6,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_6,True,,1,1,1.0,,,1,idle,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_7,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_7,False,,1,1,1.0,,,1,idle,,mast_m,,,,,,,,
d_nikke_mast_romanticmaid_01_8,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_8,True,,1,S_10,1.0,,,1,idle,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_9,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_9,False,,S_10,S_10,1.0,,,1,idle,,mast_m,,,,,,,,
d_nikke_mast_romanticmaid_01_10,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_10,True,,S_10,S_10,1.0,,,1,idle2,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_11,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_11,False,,S_10,S_10,1.0,,,1,idle2,,mast_m,,,,,,,,
d_nikke_mast_romanticmaid_01_12,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_12,True,,S_10,S_100,1.0,,,1,delight,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_13,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_13,True,,S_100,S_100,1.0,,,1,delight,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_14,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_14,False,,S_100,S_100,1.0,,,1,delight,,mast_m,,,,,,,,
d_nikke_mast_romanticmaid_01_15,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_15,True,,S_100,S_100,1.0,,,1,idle2,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_16,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_16,True,,S_100,S_100,1.0,,,1,idle2,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_17,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_17,True,,S_100,S_100,1.0,,,1,idle2,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_18,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_18,False,,S_100,S_100,1.0,,,1,idle2,,mast_m,,,,,,,,
d_nikke_mast_romanticmaid_01_19,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_19,True,,S_100,S_100,1.0,,,1,idle,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_20,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_20,True,,S_100,S_100,1.0,,,1,idle,,mast_m,mast_m,,,,,,,
d_nikke_mast_romanticmaid_01_21,d_nikke_mast_romanticmaid_01,Self,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_21,False,,S_100,S_100,1.0,,,1,idle,,mast_m,,,,,,,,
d_nikke_mast_romanticmaid_01_22,d_nikke_mast_romanticmaid_01,Speech,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_01_22,True,,S_100,S_10,0.7,,,1,idle2,,mast_m,mast_m,,,,,,,
