id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,fade,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_trony_05_1,d_nikke_trony_05,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_05_1,True,trony,12,surprise,laplace,14,idle,Park_n,13,13,1.0,bgm_story_backtonormal,,,,,,,,
d_nikke_trony_05_2,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_2,True,,12,surprise,,14,idle,,13,S_140,1.0,,,,,,,,,
d_nikke_trony_05_3,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_3,True,,12,surprise,,14,idle,,S_140,S_140,1.0,,,,,,,,,
d_nikke_trony_05_4,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_4,True,,12,surprise,,14,idle,,S_140,S_140,1.0,,,,,,,,,
d_nikke_trony_05_5,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_5,True,,12,surprise,,14,idle,,S_140,S_140,1.0,,,,,,,,,
d_nikke_trony_05_6,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_6,True,,12,surprise,,14,idle,,S_140,S_140,1.0,,,,,,,,,
d_nikke_trony_05_7,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_7,True,,12,surprise,,14,idle,,S_140,S_140,1.0,,,,,,,,,
d_nikke_trony_05_8,d_nikke_trony_05,Speech,trony,trony,Locale_NikkeEpisode:d_nikke_trony_05_8,True,,12,sad,,14,idle,,S_140,13,1.0,,,,,,,,,
d_nikke_trony_05_9,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_9,True,,12,sad,,14,idle,,13,13,1.0,,,,,,,,,
d_nikke_trony_05_10,d_nikke_trony_05,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_trony_05_10,True,,12,sad,,14,idle,,13,13,1.0,,,,,,,,,
