id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/2/hide_char_id
d_nikke_helm_01_1,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_1,False,Restaurant,17,1,3.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,
d_nikke_helm_01_2,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
d_nikke_helm_01_3,d_nikke_helm_01,Self,Locale_NikkeEpisode:d_nikke_helm_01_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
d_nikke_helm_01_4,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_4,True,,1,1,1.0,,andersen,andersen,andersen,1,idle,,,,,,,,,,,,
d_nikke_helm_01_5,d_nikke_helm_01,Self,Locale_NikkeEpisode:d_nikke_helm_01_5,False,,1,1,1.0,,andersen,,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_6,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_6,True,,1,1,1.0,,andersen,andersen,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_7,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_7,True,,1,1,1.0,,andersen,andersen,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_8,d_nikke_helm_01,Self,Locale_NikkeEpisode:d_nikke_helm_01_8,False,,1,1,1.0,,andersen,,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_9,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_9,True,,1,1,1.0,,andersen,andersen,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_10,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_10,True,,1,1,1.0,,andersen,andersen,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_11,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_11,True,,1,1,1.0,,andersen,andersen,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_12,d_nikke_helm_01,Choice,Locale_NikkeEpisode:d_nikke_helm_01_12,False,,1,1,1.0,,andersen,,,1,idle,d_nikke_helm_01_14,,,,,,,,,,,
d_nikke_helm_01_13,d_nikke_helm_01,Choice,Locale_NikkeEpisode:d_nikke_helm_01_13,False,,1,1,1.0,,andersen,,,1,idle,d_nikke_helm_01_15,,,,,,,,,,,
d_nikke_helm_01_14,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_14,True,,1,1,1.0,,andersen,andersen,,1,idle,d_nikke_helm_01_16,,,,,,,,,,,
d_nikke_helm_01_15,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_15,True,,1,1,1.0,,andersen,andersen,,1,idle,d_nikke_helm_01_16,,,,,,,,,,,
d_nikke_helm_01_16,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_16,True,,1,1,1.0,,andersen,andersen,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_17,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_17,False,,1,1,1.0,,,,,1,idle,,andersen,,,,,,,,,,
d_nikke_helm_01_18,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_18,False,,1,17,3.0,,,,,,,,,,,,,,,,,,
d_nikke_helm_01_19,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_19,False,,17,17,1.0,,,,,,,,,,,,,,,,,,
d_nikke_helm_01_20,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_20,True,,17,17,1.0,,colorfulvip,colorfulvip,,,,,,,,,,,,,,,
d_nikke_helm_01_21,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_21,True,,17,3,2.0,,burningum,burningum,,,,,,burningum,3,idle,,,,,,,
d_nikke_helm_01_22,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_22,True,,3,3,1.0,,burningum,burningum,,,,,,,3,idle,,,,,,,
d_nikke_helm_01_23,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_23,True,,3,3,1.0,,burningum,burningum,,,,,,,3,idle,,,,,,,
d_nikke_helm_01_24,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_24,True,,3,3,1.0,,solemnofficer,solemnofficer,,,,,,,3,idle,,,,,,,
d_nikke_helm_01_25,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_25,True,,3,31,1.0,none,burningum,burningum,,,,,,,3,idle,,,,,,,
d_nikke_helm_01_26,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_26,True,,31,1,1.0,,helm,helm,helm,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_27,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_27,True,,1,1,1.0,bgm_story_fairytalesend_b,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_28,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_28,True,,1,1,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_29,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_29,True,,1,1,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_30,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_30,True,,1,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_31,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_31,True,,10,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_32,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_32,True,,10,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_33,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_33,True,,10,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_34,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_34,True,,10,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_35,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_35,True,,10,1,1.0,,colorfulvip,colorfulvip,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_36,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_36,True,,1,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_37,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_37,True,,10,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_38,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_38,True,,10,10,1.0,,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_39,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_39,True,,10,1,1.0,,colorfulvip,colorfulvip,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_40,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_40,True,,1,1,1.0,,solemnofficer,solemnofficer,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_41,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_41,False,,1,1,1.0,none,helm,helm,,1,idle,,,,3,idle,,,,,,,
d_nikke_helm_01_42,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_42,True,,1,31,1.0,,burningum,burningum,,1,idle,,,,3,delight,,,,,,,
d_nikke_helm_01_43,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_43,True,,31,31,1.0,,helm,helm,,1,idle,,,,3,delight,,,,,,,
d_nikke_helm_01_44,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_44,True,,31,3,1.0,,burningum,burningum,,1,idle,,,,3,delight,,,,,,,
d_nikke_helm_01_45,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_45,True,,3,3,1.0,,burningum,burningum,,1,idle,,,,3,delight,,,,,,,
d_nikke_helm_01_46,d_nikke_helm_01,Narration,Locale_NikkeEpisode:d_nikke_helm_01_46,False,,3,1,1.0,,burningum,,,1,idle,,helm,,3,delight,burningum,,,,,,
d_nikke_helm_01_47,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_47,False,,1,1,1.0,,burningum,,,,,,,,,,,,,,,,
d_nikke_helm_01_48,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_48,False,,1,1,1.0,,burningum,,,,,,,,,,,,,,,,
d_nikke_helm_01_49,d_nikke_helm_01,Monologue,Locale_NikkeEpisode:d_nikke_helm_01_49,False,,1,1,1.0,,burningum,,,,,,,,,,,,,,,,
d_nikke_helm_01_50,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_50,False,Corridor,1,1,1.0,,helm,helm,helm,1,no,,,,,,,black,,,,,
d_nikke_helm_01_51,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_51,True,,1,1,1.0,,helm,helm,,1,no,,,,,,,,,,,,
d_nikke_helm_01_52,d_nikke_helm_01,Self,Locale_NikkeEpisode:d_nikke_helm_01_52,False,,1,1,1.0,,helm,,,1,no,,,,,,,,,,,,
d_nikke_helm_01_53,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_53,True,,1,10,1.0,,helm,helm,,1,surprise,,,,,,,,,,,,
d_nikke_helm_01_54,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_54,True,,10,10,1.0,bgm_story_backtonormal,helm,helm,,1,surprise,,,,,,,,,,,,
d_nikke_helm_01_55,d_nikke_helm_01,Choice,Locale_NikkeEpisode:d_nikke_helm_01_55,False,,10,10,1.0,,helm,,,1,idle,d_nikke_helm_01_57,,,,,,,,,,,
d_nikke_helm_01_56,d_nikke_helm_01,Choice,Locale_NikkeEpisode:d_nikke_helm_01_56,False,,10,10,1.0,,helm,,,1,idle,d_nikke_helm_01_60,,,,,,,,,,,
d_nikke_helm_01_57,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_57,True,,10,10,1.0,,helm,helm,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_58,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_58,True,,10,10,1.0,,helm,helm,,1,idle,,,,,,,,,,,,
d_nikke_helm_01_59,d_nikke_helm_01,Speech,Locale_NikkeEpisode:d_nikke_helm_01_59,True,,10,10,1.0,,helm,helm,,1,idle,d_nikke_helm_01_62,,,,,,,,,,,
