id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,fade
d_nikke_delta_04_1,d_nikke_delta_04,Narration,Locale_NikkeEpisode:d_nikke_delta_04_1,False,OuterRim,7,1,3.0,bgm_enemyclose,,,,,,,,,,,,,
d_nikke_delta_04_2,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_2,True,,1,1,1.0,,crow,crow,crow,2,idle,delta,12,idle,,,,,
d_nikke_delta_04_3,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_3,True,,1,1,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_4,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_4,True,,1,1,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_5,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_5,True,,1,1,1.0,,delta,delta,,2,idle,,12,idle,,,,,
d_nikke_delta_04_6,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_6,True,,1,1,1.0,,crow,crow,,2,smile,,12,idle,,,,,
d_nikke_delta_04_7,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_7,True,,1,1,1.0,,crow,crow,,2,smile,,12,idle,,,,,
d_nikke_delta_04_8,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_8,True,,1,1,1.0,,delta,delta,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_9,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_9,True,,1,1,1.0,,crow,crow,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_10,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_10,True,,1,1,1.0,,crow,crow,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_11,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_11,True,,1,1,1.0,,crow,crow,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_12,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_12,True,,1,1,1.0,,delta,delta,,2,idle,,12,sad,,,,,
d_nikke_delta_04_13,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_13,True,,1,1,1.0,,delta,delta,,2,idle,,12,sad,,,,,
d_nikke_delta_04_14,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_14,True,,1,1,1.0,,delta,delta,,2,idle,,12,sad,,,,,
d_nikke_delta_04_15,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_15,True,,1,1,1.0,,crow,crow,,2,surprise,,12,sad,,,,,
d_nikke_delta_04_16,d_nikke_delta_04,Self,Locale_NikkeEpisode:d_nikke_delta_04_16,False,,1,1,1.0,,crow,,,2,surprise,,12,idle,,,,,
d_nikke_delta_04_17,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_17,True,,1,20,1.0,,crow,crow,,2,smile,,12,idle,,,,,
d_nikke_delta_04_18,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_18,True,,20,20,1.0,,crow,crow,,2,smile,,12,idle,,,,,
d_nikke_delta_04_19,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_19,True,,20,1,0.7,,delta,delta,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_20,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_20,True,,1,1,1.0,,crow,crow,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_21,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_21,True,,1,1,1.0,,crow,crow,,2,smile,,12,surprise,,,,,
d_nikke_delta_04_22,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_22,True,,1,120,1.0,,delta,delta,,2,idle,,12,sad,,,,,
d_nikke_delta_04_23,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_23,True,,120,120,1.0,,delta,delta,,2,idle,,12,sad,,,,,
d_nikke_delta_04_24,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_24,False,,120,120,1.0,,delta,,,2,idle,,12,sad,d_nikke_delta_04_26,,,,
d_nikke_delta_04_25,d_nikke_delta_04,Choice,Locale_NikkeEpisode:d_nikke_delta_04_25,False,,120,120,1.0,,delta,,,2,idle,,12,sad,d_nikke_delta_04_28,,,,
d_nikke_delta_04_26,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_26,False,,120,120,1.0,,delta,delta,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_27,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_27,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,d_nikke_delta_04_31,,,,
d_nikke_delta_04_28,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_28,False,,120,120,1.0,,delta,delta,,2,idle,,12,surprise,,,,,
d_nikke_delta_04_29,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_29,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_30,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_30,True,,120,120,1.0,,delta,delta,,2,idle,,12,think,,,,,
d_nikke_delta_04_31,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_31,True,,120,120,1.0,,delta,delta,,2,idle,,12,delight,,,,,
d_nikke_delta_04_32,d_nikke_delta_04,Narration,Locale_NikkeEpisode:d_nikke_delta_04_32,False,Backstreet_n,black,black,1.0,,,,,,,,,,,crow,delta,,
d_nikke_delta_04_33,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_33,True,,20,20,1.0,,crow,crow,crow,2,idle,delta,12,idle,,,,,
d_nikke_delta_04_34,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_34,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
d_nikke_delta_04_35,d_nikke_delta_04,Speech,Locale_NikkeEpisode:d_nikke_delta_04_35,True,,20,20,1.0,,crow,crow,,2,idle,,12,idle,,,,,
