id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_snowwhite_02_1,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_1,True,WasteLand_03,L_190,L_190,1.0,bgm_distress,,,,,snowwhite,19,idle,
d_nikke_snowwhite_02_2,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_2,True,,L_190,L_190,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_3,d_nikke_snowwhite_02,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_02_3,False,,L_190,L_190,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_4,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_4,True,,L_190,L_10,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_5,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_5,True,,L_10,L_10,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_6,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_6,True,,L_10,L_190,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_7,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_7,True,,L_190,L_190,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_8,d_nikke_snowwhite_02,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_02_8,False,,L_190,L_190,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_9,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_9,True,,L_190,19,1.0,,,,,,,19,idle,
d_nikke_snowwhite_02_10,d_nikke_snowwhite_02,Narration,snowwhite,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_02_10,False,WasteLand_01,black,black,1.0,,,,,,,9,idle,snowwhite
d_nikke_snowwhite_02_11,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_11,True,,9,9,1.0,,,,,,snowwhite,9,idle,
d_nikke_snowwhite_02_12,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_12,True,,9,9,1.0,,,,,,,9,idle,
d_nikke_snowwhite_02_13,d_nikke_snowwhite_02,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_02_13,True,,9,9,1.0,,,,,,,9,idle,
