id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_belorta_02_1,d_nikke_belorta_02,Monologue,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_1,False,none,1,1,1.0,none,Black,,,,,,,,,,,,,,,,
d_nikke_belorta_02_2,d_nikke_belorta_02,Monologue,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_2,False,CommanderRoom,1,1,1.0,,Black,belorta,1,delight,,,,,,,,,,,,,
d_nikke_belorta_02_3,d_nikke_belorta_02,Speech,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_3,True,,XS_10,XS_10,1.0,bgm_story_languor,,,1,delight,belorta,,,,,,,,,,,,
d_nikke_belorta_02_4,d_nikke_belorta_02,Monologue,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_4,False,,XS_10,XS_100,0.5,,,,1,delight,,,,,,,,,,,,,
d_nikke_belorta_02_5,d_nikke_belorta_02,Self,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_5,False,,XS_100,XS_100,1.0,,,,1,delight,,,,,,,,,,,,,
d_nikke_belorta_02_6,d_nikke_belorta_02,Speech,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_6,True,,XS_100,XS_100,1.0,,,,1,shy,belorta,,,,,,,,,,,,
d_nikke_belorta_02_7,d_nikke_belorta_02,Speech,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_7,True,,XS_100,XS_100,1.0,,,,1,shy,belorta,,,,,,,,,,,,
d_nikke_belorta_02_8,d_nikke_belorta_02,Speech,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_8,True,,XS_100,XS_100,1.0,,,,1,delight,belorta,,,,,,,,,,,,
d_nikke_belorta_02_9,d_nikke_belorta_02,Monologue,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_9,False,,XS_100,XS_10,1.0,,,,1,delight,,,,,,,,,,,,,
d_nikke_belorta_02_10,d_nikke_belorta_02,Self,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_10,False,,XS_10,XS_10,1.0,,,,1,delight,,,,,,,,,,,,,
d_nikke_belorta_02_11,d_nikke_belorta_02,Narration,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_11,False,,XS_10,XS_10,1.0,,,,1,delight,,sfx_scn_magicboxopen,Low_2,,,,,,,,,,
d_nikke_belorta_02_12,d_nikke_belorta_02,Monologue,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_12,False,,XS_10,XS_10,1.0,,,,1,shy,,,,,,,,,,,,,
d_nikke_belorta_02_13,d_nikke_belorta_02,Self,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_13,False,,XS_10,XS_10,1.0,,,,1,shy,,,,,,,,,,,,,
d_nikke_belorta_02_14,d_nikke_belorta_02,Speech,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_14,False,,XS_10,XS_10,1.0,,,,1,shy,teddybear,,,,,,,,,,,,
d_nikke_belorta_02_15,d_nikke_belorta_02,Speech,belorta,Locale_NikkeEpisode:d_nikke_belorta_02_15,True,,XS_10,XS_10,1.0,,,,1,delight,belorta,,,,,,,,,,,,
