id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,set_filter_01,jump_target,play_sound,set_camera_shake
d_nikke_hongryeon_04_1,d_nikke_hongryeon_04,Narration,Locale_NikkeEpisode:d_nikke_hongryeon_04_1,False,CityForest_03_d,1,1,1.0,bgm_story_orangepop,,,,,,,,,,
d_nikke_hongryeon_04_2,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_2,True,,1,1,1.0,,hongryeon,hongryeon,hongryeon,1,idle,,,,,
d_nikke_hongryeon_04_3,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_3,False,,1,1,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_4,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_4,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_5,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_5,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_6,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_6,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_7,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_7,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_8,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_8,False,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_9,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_9,True,,1,10,0.5,,hongryeon,hongryeon,,1,delight,,,,,
d_nikke_hongryeon_04_10,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_10,False,,10,10,1.0,,hongryeon,,,1,delight,,,,,
d_nikke_hongryeon_04_11,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_11,True,,10,10,1.0,,hongryeon,hongryeon,,1,delight,,,,,
d_nikke_hongryeon_04_12,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_12,True,,10,10,1.0,,hongryeon,hongryeon,,1,delight,,,,,
d_nikke_hongryeon_04_13,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_13,False,,10,10,1.0,,hongryeon,,,1,delight,,,,,
d_nikke_hongryeon_04_14,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_14,True,,10,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_15,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_15,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_16,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_16,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_17,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_17,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_18,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_18,False,,1,1,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_19,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_19,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_20,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_20,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_21,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_21,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_22,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_22,True,,1,10,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_23,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_23,True,CityForest_02,10,10,1.0,,hongryeon,hongryeon,,1,idle,black,,,,
d_nikke_hongryeon_04_24,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_24,True,,10,10,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_25,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_25,True,,10,10,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_26,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_26,True,,10,10,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_27,d_nikke_hongryeon_04,Monologue,Locale_NikkeEpisode:d_nikke_hongryeon_04_27,False,,10,70,2.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_28,d_nikke_hongryeon_04,Monologue,Locale_NikkeEpisode:d_nikke_hongryeon_04_28,False,,70,70,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_29,d_nikke_hongryeon_04,Monologue,Locale_NikkeEpisode:d_nikke_hongryeon_04_29,False,,70,70,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_30,d_nikke_hongryeon_04,Monologue,Locale_NikkeEpisode:d_nikke_hongryeon_04_30,False,,70,70,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_31,d_nikke_hongryeon_04,Monologue,Locale_NikkeEpisode:d_nikke_hongryeon_04_31,False,,70,70,1.0,,hongryeon,,,1,idle,,Blur_Middle,,,
d_nikke_hongryeon_04_32,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_32,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_33,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_33,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_34,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_34,False,,1,1,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_35,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_35,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_36,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_36,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_37,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_37,False,,1,1,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_38,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_38,True,,1,1,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_39,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_39,False,,1,1,1.0,,hongryeon,,,1,idle,,,,,
d_nikke_hongryeon_04_40,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_40,True,,1,10,0.7,,hongryeon,hongryeon,,1,no,,,,,
d_nikke_hongryeon_04_41,d_nikke_hongryeon_04,Self,Locale_NikkeEpisode:d_nikke_hongryeon_04_41,False,,10,10,1.0,,hongryeon,,,1,no,,,,,
d_nikke_hongryeon_04_42,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_42,True,,10,10,1.0,,hongryeon,hongryeon,,1,idle,,,,,
d_nikke_hongryeon_04_43,d_nikke_hongryeon_04,Speech,Locale_NikkeEpisode:d_nikke_hongryeon_04_43,True,,10,10,1.0,,hongryeon,hongryeon,,1,idle,,,,,
